Orthogroup	Praj	Prbb
OG0000000	Praj.g_00419	Prbb.g_00433
OG0000000	Praj.g_00419	Prbb.g_01318
OG0000000	Praj.g_00419	Prbb.g_01353
OG0000000	Praj.g_01356	Prbb.g_00433
OG0000000	Praj.g_01356	Prbb.g_01318
OG0000000	Praj.g_01356	Prbb.g_01353
OG0000000	Praj.g_01076	Prbb.g_01119
OG0000000	Praj.g_01201	Prbb.g_01243
OG0000000	Praj.g_01201	Prbb.g_01400
OG0000000	Praj.g_01271	Prbb.g_01243
OG0000000	Praj.g_01271	Prbb.g_01400
OG0000000	Praj.g_01308	Prbb.g_01243
OG0000000	Praj.g_01308	Prbb.g_01400
OG0000000	Praj.g_01099	Prbb.g_01144
OG0000000	Praj.g_01737	Prbb.g_01792
OG0000000	Praj.g_00415	Prbb.g_01321
OG0000000	Praj.g_00415	Prbb.g_01356
OG0000000	Praj.g_01204	Prbb.g_01321
OG0000000	Praj.g_01204	Prbb.g_01356
OG0000000	Praj.g_01274	Prbb.g_01321
OG0000000	Praj.g_01274	Prbb.g_01356
OG0000000	Praj.g_01311	Prbb.g_01321
OG0000000	Praj.g_01311	Prbb.g_01356
OG0000000	Praj.g_01736	Prbb.g_01791
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357	Prbb.g_00432, Prbb.g_01120, Prbb.g_01401
OG0000000	Praj.g_01730	Prbb.g_01785
OG0000000	Praj.g_01272	Prbb.g_00431
OG0000000	Praj.g_01272	Prbb.g_01121
OG0000000	Praj.g_01272	Prbb.g_01319
OG0000000	Praj.g_01309	Prbb.g_00431
OG0000000	Praj.g_01309	Prbb.g_01121
OG0000000	Praj.g_01309	Prbb.g_01319
OG0000000	Praj.g_00417, Praj.g_01202	Prbb.g_01244
OG0000000	Praj.g_01307	Prbb.g_01123
OG0000000	Praj.g_01307	Prbb.g_01352
OG0000000	Praj.g_01307	Prbb.g_01403
OG0000000	Praj.g_01307	Prbb.g_01787
OG0000000	Praj.g_01359	Prbb.g_01123
OG0000000	Praj.g_01359	Prbb.g_01352
OG0000000	Praj.g_01359	Prbb.g_01403
OG0000000	Praj.g_01359	Prbb.g_01787
