Orthogroup	Praj	Prbm
OG0000000	Praj.g_00419	Prbm.g_01408
OG0000000	Praj.g_01356	Prbm.g_01408
OG0000000	Praj.g_01076	Prbm.g_01115
OG0000000	Praj.g_01201	Prbm.g_00437
OG0000000	Praj.g_01201	Prbm.g_01228
OG0000000	Praj.g_01201	Prbm.g_01312
OG0000000	Praj.g_01201	Prbm.g_01381
OG0000000	Praj.g_01271	Prbm.g_00437
OG0000000	Praj.g_01271	Prbm.g_01228
OG0000000	Praj.g_01271	Prbm.g_01312
OG0000000	Praj.g_01271	Prbm.g_01381
OG0000000	Praj.g_01308	Prbm.g_00437
OG0000000	Praj.g_01308	Prbm.g_01228
OG0000000	Praj.g_01308	Prbm.g_01312
OG0000000	Praj.g_01308	Prbm.g_01381
OG0000000	Praj.g_01099	Prbm.g_01140
OG0000000	Praj.g_01737	Prbm.g_01814
OG0000000	Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406
OG0000000	Praj.g_01730	Prbm.g_01808
OG0000000	Praj.g_01272	Prbm.g_01117
OG0000000	Praj.g_01309	Prbm.g_01117
OG0000000	Praj.g_01078	Prbm.g_01229, Prbm.g_01382
OG0000000	Praj.g_00417, Praj.g_01202	Prbm.g_01407, Prbm.g_00436
OG0000000	Praj.g_01307	Prbm.g_01119
OG0000000	Praj.g_01307	Prbm.g_01404
OG0000000	Praj.g_01307	Prbm.g_01810
OG0000000	Praj.g_01359	Prbm.g_01119
OG0000000	Praj.g_01359	Prbm.g_01404
OG0000000	Praj.g_01359	Prbm.g_01810
OG0000000	Praj.g_01732	Prbm.g_01119
OG0000000	Praj.g_01732	Prbm.g_01404
OG0000000	Praj.g_01732	Prbm.g_01810
OG0000000	Praj.g_01100	Prbm.g_01141
OG0000001	Praj.g_01549	Prbm.g_01633
OG0000001	Praj.g_01828	Prbm.g_01905, Prbm.g_01906
OG0000001	Praj.g_00463, Praj.g_01861	Prbm.g_00496, Prbm.g_01940
OG0000001	Praj.g_01112	Prbm.g_01426
OG0000002	Praj.g_00832	Prbm.g_00874
OG0000002	Praj.g_01489	Prbm.g_01578
OG0000002	Praj.g_01488	Prbm.g_01577
OG0000002	Praj.g_01493	Prbm.g_01582
OG0000002	Praj.g_01487	Prbm.g_01576
OG0000002	Praj.g_01492	Prbm.g_01581
OG0000002	Praj.g_00670	Prbm.g_00712
OG0000004	Praj.g_01396	Prbm.g_01483
OG0000004	Praj.g_00271	Prbm.g_00291
OG0000005	Praj.g_01712	Prbm.g_01790
OG0000006	Praj.g_00282	Prbm.g_00302
OG0000006	Praj.g_01281	Prbm.g_00302
OG0000006	Praj.g_01505	Prbm.g_00302
OG0000007	Praj.g_00489	Prbm.g_00522
OG0000007	Praj.g_01768	Prbm.g_01841
OG0000008	Praj.g_01829	Prbm.g_01907
OG0000008	Praj.g_01830	Prbm.g_01908
OG0000010	Praj.g_01026	Prbm.g_01066
OG0000010	Praj.g_00466	Prbm.g_00499
OG0000011	Praj.g_01187	Prbm.g_01202
OG0000011	Praj.g_01158	Prbm.g_01174
OG0000012	Praj.g_01066	Prbm.g_01106
OG0000013	Praj.g_00362	Prbm.g_00382
OG0000014	Praj.g_00341	Prbm.g_00362
OG0000014	Praj.g_01609	Prbm.g_02126
OG0000015	Praj.g_01113	Prbm.g_01427, Prbm.g_01149
OG0000016	Praj.g_00013	Prbm.g_00013
OG0000016	Praj.g_01865	Prbm.g_01944
OG0000017	Praj.g_00592	Prbm.g_00635
OG0000018	Praj.g_01482	Prbm.g_01571
OG0000018	Praj.g_00798	Prbm.g_00843
OG0000019	Praj.g_00747	Prbm.g_00792
OG0000020	Praj.g_01025	Prbm.g_01065
OG0000020	Praj.g_01139	Prbm.g_01156
OG0000021	Praj.g_01859	Prbm.g_01939
OG0000022	Praj.g_01189	Prbm.g_01204
OG0000022	Praj.g_01216	Prbm.g_01324
OG0000023	Praj.g_01365	Prbm.g_01284
OG0000024	Praj.g_01134	Prbm.g_01151
OG0000024	Praj.g_00666	Prbm.g_00709
OG0000025	Praj.g_00805	Prbm.g_00849
OG0000026	Praj.g_00031	Prbm.g_00031
OG0000028	Praj.g_01571	Prbm.g_01656
OG0000029	Praj.g_01745	Prbm.g_01823
OG0000030	Praj.g_02024	Prbm.g_02105
OG0000031	Praj.g_00371	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Praj.g_01669	Prbm.g_01747
OG0000033	Praj.g_00209	Prbm.g_00228
OG0000034	Praj.g_01538	Prbm.g_01620
OG0000035	Praj.g_01632	Prbm.g_01710
OG0000037	Praj.g_00147	Prbm.g_00166
OG0000038	Praj.g_02089	Prbm.g_02174
OG0000039	Praj.g_00679	Prbm.g_00723
OG0000040	Praj.g_01844	Prbm.g_01923
OG0000040	Praj.g_01735	Prbm.g_01813
OG0000041	Praj.g_01813	Prbm.g_01886
OG0000042	Praj.g_02020	Prbm.g_02102
OG0000043	Praj.g_00864	Prbm.g_00906
OG0000043	Praj.g_01157	Prbm.g_01173
OG0000045	Praj.g_01049	Prbm.g_01088
OG0000046	Praj.g_00363	Prbm.g_00383
OG0000047	Praj.g_00408	Prbm.g_00428
OG0000047	Praj.g_00370	Prbm.g_00390
OG0000048	Praj.g_00308	Prbm.g_00329
OG0000050	Praj.g_01398	Prbm.g_01485
OG0000050	Praj.g_00099	Prbm.g_00118
OG0000051	Praj.g_01339	Prbm.g_01267
OG0000051	Praj.g_01347	Prbm.g_01276
OG0000052	Praj.g_00095	Prbm.g_00114
OG0000053	Praj.g_01651	Prbm.g_01729
OG0000054	Praj.g_00594	Prbm.g_00637
OG0000055	Praj.g_00733	Prbm.g_00778
OG0000055	Praj.g_01842	Prbm.g_01921
OG0000057	Praj.g_00691	Prbm.g_00735
OG0000058	Praj.g_00839	Prbm.g_00881
OG0000059	Praj.g_01892	Prbm.g_01973
OG0000060	Praj.g_01108	Prbm.g_01422
OG0000061	Praj.g_01461	Prbm.g_01549
OG0000062	Praj.g_01714	Prbm.g_01792
OG0000063	Praj.g_01867	Prbm.g_01947
OG0000065	Praj.g_00145	Prbm.g_00164
OG0000066	Praj.g_00530	Prbm.g_00572
OG0000067	Praj.g_00769	Prbm.g_00814
OG0000068	Praj.g_01575	Prbm.g_01660
OG0000069	Praj.g_01276	Prbm.g_01414, Prbm.g_01387
OG0000069	Praj.g_01675	Prbm.g_01753
OG0000070	Praj.g_00444	Prbm.g_00460
OG0000071	Praj.g_01528	Prbm.g_00468, Prbm.g_01611
OG0000072	Praj.g_00211	Prbm.g_00230
OG0000073	Praj.g_00491	Prbm.g_00533
OG0000074	Praj.g_01060	Prbm.g_01099
OG0000074	Praj.g_00870	Prbm.g_00912
OG0000074	Praj.g_00674	Prbm.g_00717
OG0000075	Praj.g_01987	Prbm.g_02069
OG0000076	Praj.g_02012	Prbm.g_02094
OG0000077	Praj.g_00116	Prbm.g_00135
OG0000078	Praj.g_00280	Prbm.g_00300
OG0000079	Praj.g_00291	Prbm.g_00311
OG0000081	Praj.g_00522	Prbm.g_00564
OG0000082	Praj.g_01827	Prbm.g_01900
OG0000083	Praj.g_01121	Prbm.g_01436
OG0000083	Praj.g_00411	Prbm.g_01988
OG0000084	Praj.g_01628	Prbm.g_01706
OG0000085	Praj.g_01762	Prbm.g_01834
OG0000086	Praj.g_00126	Prbm.g_00145
OG0000087	Praj.g_00179	Prbm.g_00198
OG0000088	Praj.g_00206	Prbm.g_00225
OG0000089	Praj.g_00403	Prbm.g_00423
OG0000090	Praj.g_00524	Prbm.g_00566
OG0000091	Praj.g_00630	Prbm.g_00673
OG0000092	Praj.g_00892	Prbm.g_00934
OG0000093	Praj.g_00754	Prbm.g_00799
OG0000094	Praj.g_00846	Prbm.g_00888
OG0000095	Praj.g_01024	Prbm.g_01064
OG0000096	Praj.g_01249	Prbm.g_01359
OG0000097	Praj.g_01416	Prbm.g_01502
OG0000098	Praj.g_01546	Prbm.g_01630
OG0000099	Praj.g_00372	Prbm.g_00394
OG0000100	Praj.g_01709	Prbm.g_01787
OG0000101	Praj.g_01952	Prbm.g_02033
OG0000102	Praj.g_02017	Prbm.g_02099
OG0000103	Praj.g_02135	Prbm.g_02218
OG0000104	Praj.g_02145	Prbm.g_02229
OG0000105	Praj.g_00310	Prbm.g_00331
OG0000106	Praj.g_01156	Prbm.g_01172
OG0000106	Praj.g_01282	Prbm.g_01237
OG0000107	Praj.g_01869	Prbm.g_01949
OG0000108	Praj.g_00473	Prbm.g_00506
OG0000109	Praj.g_00486	Prbm.g_00519
OG0000110	Praj.g_00565	Prbm.g_00607
OG0000111	Praj.g_00692	Prbm.g_00736
