Orthogroup	Praj	Prbf
OG0000000	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311	Prbf.g_00880
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prbf.g_00776
OG0000000	Praj.g_01307	Prbf.g_00775
OG0000000	Praj.g_01307	Prbf.g_00881
OG0000000	Praj.g_01359	Prbf.g_00775
OG0000000	Praj.g_01359	Prbf.g_00881
OG0000000	Praj.g_01732	Prbf.g_00775
OG0000000	Praj.g_01732	Prbf.g_00881
OG0000000	Praj.g_01100	Prbf.g_00760
OG0000001	Praj.g_01549	Prbf.g_00068
OG0000001	Praj.g_00463, Praj.g_01861	Prbf.g_00831
OG0000002	Praj.g_00832	Prbf.g_01182
OG0000002	Praj.g_01489	Prbf.g_00888
OG0000002	Praj.g_01488	Prbf.g_00089, Prbf.g_00890
OG0000002	Praj.g_01493, Praj.g_01487	Prbf.g_00883
OG0000002	Praj.g_01492	Prbf.g_00260
OG0000002	Praj.g_00670	Prbf.g_01285
OG0000004	Praj.g_01396	Prbf.g_01264
OG0000004	Praj.g_00271	Prbf.g_01570
OG0000005	Praj.g_01712	Prbf.g_00240
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbf.g_01580
OG0000007	Praj.g_00489	Prbf.g_01780
OG0000007	Praj.g_01768	Prbf.g_00693
OG0000008	Praj.g_01829	Prbf.g_00793
OG0000008	Praj.g_01830	Prbf.g_00792
OG0000010	Praj.g_01026	Prbf.g_00847, Prbf.g_01056
OG0000010	Praj.g_00466	Prbf.g_01757
OG0000011	Praj.g_01323	Prbf.g_00347
OG0000012	Praj.g_01066	Prbf.g_00272
OG0000013	Praj.g_00362	Prbf.g_01665
OG0000014	Praj.g_00341	Prbf.g_01647
OG0000015	Praj.g_01113	Prbf.g_00754, Prbf.g_00708
OG0000016	Praj.g_01865	Prbf.g_00860
OG0000017	Praj.g_00592	Prbf.g_01880
OG0000018	Praj.g_01482	Prbf.g_00896
OG0000018	Praj.g_00798	Prbf.g_01217
OG0000019	Praj.g_00747	Prbf.g_00894
