Orthogroup	Praj	Syap
OG0000004	Praj.g_00271	Syap.g_01987
OG0000005	Praj.g_01349	Syap.g_01773
OG0000005	Praj.g_01712	Syap.g_01218
OG0000007	Praj.g_00489	Syap.g_00275
OG0000007	Praj.g_01768	Syap.g_00621
OG0000010	Praj.g_01026, Praj.g_00466	Syap.g_02757
OG0000013	Praj.g_00362	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Praj.g_00341	Syap.g_01675
OG0000014	Praj.g_01609	Syap.g_00813
OG0000016	Praj.g_00013	Syap.g_00071
OG0000016	Praj.g_01865	Syap.g_00404
OG0000017	Praj.g_00592	Syap.g_00449
OG0000018	Praj.g_01482, Praj.g_00798	Syap.g_02010
OG0000019	Praj.g_00747	Syap.g_01586
OG0000025	Praj.g_00805	Syap.g_01846
OG0000027	Praj.g_01331	Syap.g_01440
OG0000028	Praj.g_01571	Syap.g_01658
OG0000030	Praj.g_02024	Syap.g_00787, Syap.g_00788
OG0000031	Praj.g_00371	Syap.g_00722
OG0000033	Praj.g_00209	Syap.g_01198
OG0000034	Praj.g_01538	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Praj.g_01632	Syap.g_02465
OG0000037	Praj.g_00147	Syap.g_02492
OG0000038	Praj.g_02089	Syap.g_00139
OG0000039	Praj.g_00679	Syap.g_01749, Syap.g_01748
OG0000042	Praj.g_02020	Syap.g_01891, Syap.g_01120
OG0000043	Praj.g_00864, Praj.g_01157	Syap.g_01998
OG0000045	Praj.g_01303, Praj.g_01049	Syap.g_02525
OG0000046	Praj.g_00363	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Praj.g_00308	Syap.g_02340
OG0000051	Praj.g_01339, Praj.g_01347	Syap.g_01574
OG0000053	Praj.g_01651	Syap.g_02006
OG0000054	Praj.g_00594	Syap.g_00678
OG0000059	Praj.g_01892	Syap.g_01082, Syap.g_02478
OG0000060	Praj.g_01108	Syap.g_00795
OG0000061	Praj.g_01461	Syap.g_00228
OG0000062	Praj.g_01714	Syap.g_01365
OG0000063	Praj.g_01867	Syap.g_01796
OG0000066	Praj.g_00530	Syap.g_01972
OG0000067	Praj.g_00769	Syap.g_00194
OG0000068	Praj.g_01575	Syap.g_00108, Syap.g_00144
OG0000070	Praj.g_00444	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000072	Praj.g_00211	Syap.g_00555
OG0000073	Praj.g_00491	Syap.g_00273
OG0000075	Praj.g_01987	Syap.g_01064, Syap.g_00664
OG0000076	Praj.g_02012	Syap.g_01111
OG0000077	Praj.g_00116	Syap.g_00416
OG0000079	Praj.g_00291	Syap.g_01589
OG0000085	Praj.g_01762	Syap.g_00611
OG0000087	Praj.g_00179	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Praj.g_00206	Syap.g_01202
OG0000089	Praj.g_00403	Syap.g_00115, Syap.g_02042
OG0000090	Praj.g_00524	Syap.g_01451
OG0000091	Praj.g_00630	Syap.g_01861
OG0000095	Praj.g_01024	Syap.g_01556
OG0000098	Praj.g_01546	Syap.g_01975
OG0000099	Praj.g_00372	Syap.g_01385
OG0000101	Praj.g_01952	Syap.g_00472
OG0000102	Praj.g_02017	Syap.g_01116
