Orthogroup	Praj	Prab
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prab.g_00915, Prab.g_01617
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Praj.g_00087	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597
OG0000000	Praj.g_01267	Prab.g_01606
OG0000001	Praj.g_01112	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prab.g_00683
OG0000004	Praj.g_01396	Prab.g_00700
OG0000004	Praj.g_00271	Prab.g_00223
OG0000005	Praj.g_01349	Prab.g_01682
OG0000005	Praj.g_01712	Prab.g_01542
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prab.g_00231
OG0000007	Praj.g_00489	Prab.g_00501
OG0000007	Praj.g_01768	Prab.g_01669
OG0000010	Praj.g_01026, Praj.g_00466	Prab.g_00478
OG0000011	Praj.g_01187	Prab.g_01624
OG0000011	Praj.g_01158	Prab.g_00799
OG0000012	Praj.g_01066	Prab.g_00627
OG0000013	Praj.g_00362	Prab.g_00315
OG0000014	Praj.g_00341	Prab.g_00294
OG0000014	Praj.g_01609	Prab.g_01444, Prab.g_01445
OG0000015	Praj.g_01113	Prab.g_00789
OG0000016	Praj.g_00013	Prab.g_00013
OG0000016	Praj.g_01865	Prab.g_01579
OG0000017	Praj.g_00592	Prab.g_00602
OG0000018	Praj.g_01482	Prab.g_01201
OG0000018	Praj.g_00798	Prab.g_00867
OG0000019	Praj.g_00747	Prab.g_00820
OG0000020	Praj.g_01025	Prab.g_01162
OG0000020	Praj.g_01139	Prab.g_00379
OG0000021	Praj.g_01859	Prab.g_00354
OG0000022	Praj.g_01189	Prab.g_00782
OG0000022	Praj.g_01216	Prab.g_01182
OG0000023	Praj.g_01365, Praj.g_01329	Prab.g_00348
OG0000024	Praj.g_01134	Prab.g_00763
OG0000024	Praj.g_00666	Prab.g_00680
OG0000025	Praj.g_00805	Prab.g_00874, Prab.g_00319
OG0000026	Praj.g_00031	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Praj.g_01331	Prab.g_00914, Prab.g_01616
OG0000029	Praj.g_01745	Prab.g_00773
OG0000030	Praj.g_02024	Prab.g_01867
OG0000031	Praj.g_00371	Prab.g_01446
OG0000033	Praj.g_00209	Prab.g_00160
OG0000034	Praj.g_01538	Prab.g_01336
OG0000035	Praj.g_01632	Prab.g_01466
OG0000037	Praj.g_00147	Prab.g_00100
OG0000038	Praj.g_02089	Prab.g_01908
OG0000039	Praj.g_00679	Prab.g_00691
OG0000040	Praj.g_01735	Prab.g_01623
OG0000041	Praj.g_01813	Prab.g_01715
OG0000042	Praj.g_02020	Prab.g_01864
OG0000043	Praj.g_00864	Prab.g_01100
OG0000045	Praj.g_01049	Prab.g_00360
OG0000047	Praj.g_00370	Prab.g_00318
OG0000048	Praj.g_00308	Prab.g_00411, Prab.g_00363
OG0000050	Praj.g_01398	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000050	Praj.g_00099	Prab.g_01130
OG0000051	Praj.g_01347	Prab.g_01643
OG0000053	Praj.g_01651	Prab.g_01486
OG0000054	Praj.g_00594	Prab.g_00610
OG0000055	Praj.g_00733	Prab.g_00821
OG0000057	Praj.g_00691, Praj.g_01313	Prab.g_00703
OG0000058	Praj.g_00839	Prab.g_01393
OG0000059	Praj.g_01892	Prab.g_01754
OG0000060	Praj.g_01108	Prab.g_00784
OG0000061	Praj.g_01461	Prab.g_01219
OG0000062	Praj.g_01714	Prab.g_01544
OG0000063	Praj.g_01867	Prab.g_00033
OG0000065	Praj.g_00145	Prab.g_00098
OG0000066	Praj.g_00530	Prab.g_00543
OG0000067	Praj.g_00769	Prab.g_00840
OG0000068	Praj.g_01575	Prab.g_01360
OG0000069	Praj.g_01276, Praj.g_01675	Prab.g_01585
OG0000070	Praj.g_00444	Prab.g_00456
OG0000071	Praj.g_01528	Prab.g_01637, Prab.g_01326
OG0000072	Praj.g_00211	Prab.g_00162
OG0000073	Praj.g_00491	Prab.g_00503
OG0000074	Praj.g_00674	Prab.g_00687
OG0000075	Praj.g_01987	Prab.g_01834
OG0000076	Praj.g_02012	Prab.g_01857
OG0000077	Praj.g_00116	Prab.g_00070
OG0000078	Praj.g_00280	Prab.g_00229
OG0000079	Praj.g_00291	Prab.g_00242
OG0000081	Praj.g_00522	Prab.g_00535
OG0000082	Praj.g_01827	Prab.g_00589
OG0000083	Praj.g_01121, Praj.g_00411	Prab.g_00747, Prab.g_01307, Prab.g_00921
OG0000084	Praj.g_01628	Prab.g_01462
OG0000085	Praj.g_01762	Prab.g_01662
OG0000086	Praj.g_00126	Prab.g_00080
OG0000087	Praj.g_00179	Prab.g_00129
OG0000088	Praj.g_00206	Prab.g_00157
OG0000089	Praj.g_00403	Prab.g_00343
OG0000090	Praj.g_00524	Prab.g_00537
OG0000091	Praj.g_00630	Prab.g_00647
OG0000092	Praj.g_00892	Prab.g_01063
OG0000093	Praj.g_00754	Prab.g_01042
OG0000094	Praj.g_00846	Prab.g_00948
OG0000095	Praj.g_01024	Prab.g_01299, Prab.g_00929
OG0000096	Praj.g_01249	Prab.g_01596, Prab.g_01165
OG0000097	Praj.g_01416	Prab.g_01260
OG0000098	Praj.g_01546	Prab.g_01346
OG0000099	Praj.g_00372	Prab.g_01394
OG0000100	Praj.g_01709	Prab.g_01540
OG0000101	Praj.g_01952	Prab.g_01802
OG0000102	Praj.g_02017	Prab.g_01862
OG0000103	Praj.g_02135	Prab.g_01942
OG0000104	Praj.g_02145	Prab.g_01951
OG0000105	Praj.g_00310	Prab.g_00262
OG0000106	Praj.g_01156, Praj.g_01282	Prab.g_00359
OG0000107	Praj.g_01869	Prab.g_00375
OG0000108	Praj.g_00473	Prab.g_00484
OG0000109	Praj.g_00486	Prab.g_00498
OG0000110	Praj.g_00565	Prab.g_00579
OG0000111	Praj.g_00692	Prab.g_00704
OG0000112	Praj.g_00938	Prab.g_00804
OG0000113	Praj.g_00793, Praj.g_01176	Prab.g_00862
OG0000114	Praj.g_00887	Prab.g_01068
OG0000115	Praj.g_01725	Prab.g_01156
OG0000116	Praj.g_01471	Prab.g_01209
OG0000117	Praj.g_01355	Prab.g_00717
OG0000118	Praj.g_01540	Prab.g_01338
OG0000119	Praj.g_01568	Prab.g_01356
OG0000120	Praj.g_00664	Prab.g_01447
OG0000121	Praj.g_01634	Prab.g_01468
OG0000122	Praj.g_01673	Prab.g_01506
OG0000123	Praj.g_01959	Prab.g_01809
OG0000124	Praj.g_02031	Prab.g_01873
OG0000125	Praj.g_02091	Prab.g_01910
OG0000126	Praj.g_02144	Prab.g_01950
OG0000128	Praj.g_00011	Prab.g_00011
OG0000129	Praj.g_00048	Prab.g_00043
OG0000130	Praj.g_00107	Prab.g_00061
OG0000131	Praj.g_00185	Prab.g_00136
OG0000132	Praj.g_00204	Prab.g_00155
OG0000133	Praj.g_00357	Prab.g_00310
OG0000134	Praj.g_00405	Prab.g_00344
