Orthogroup	Praj	Praa
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Praa.g_01300
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730	Praa.g_01235
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Praa.g_01598, Praa.g_01244
OG0000000	Praj.g_01307, Praj.g_01359, Praj.g_01732, Praj.g_01100, Praj.g_01080, Praj.g_00087	Praa.g_01597
OG0000000	Praj.g_01267	Praa.g_01297
OG0000001	Praj.g_01112	Praa.g_01220, Praa.g_01222
OG0000002	Praj.g_00832	Praa.g_01359
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Praa.g_00678
OG0000004	Praj.g_01396	Praa.g_00695
OG0000004	Praj.g_00271	Praa.g_00232
OG0000005	Praj.g_01349	Praa.g_01648
OG0000005	Praj.g_01712	Praa.g_01553
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Praa.g_00241, Praa.g_01245
OG0000007	Praj.g_00489	Praa.g_00497
OG0000007	Praj.g_01768	Praa.g_01635
OG0000008	Praj.g_01829	Praa.g_01241
OG0000010	Praj.g_01026, Praj.g_00466	Praa.g_00474
OG0000011	Praj.g_01187	Praa.g_01288
OG0000011	Praj.g_01323	Praa.g_00396
OG0000011	Praj.g_01158	Praa.g_01626
OG0000012	Praj.g_01066	Praa.g_00623
OG0000013	Praj.g_00362	Praa.g_00327
OG0000014	Praj.g_00341	Praa.g_00306
OG0000014	Praj.g_01609	Praa.g_01409
OG0000015	Praj.g_01113	Praa.g_00765
OG0000016	Praj.g_00013	Praa.g_00013
OG0000017	Praj.g_00592	Praa.g_00598
OG0000018	Praj.g_01482	Praa.g_01141
OG0000018	Praj.g_00798	Praa.g_00831
OG0000019	Praj.g_00747	Praa.g_00782
OG0000020	Praj.g_01025	Praa.g_01107
OG0000021	Praj.g_01859	Praa.g_01623, Praa.g_00364
OG0000022	Praj.g_01189	Praa.g_00763
OG0000022	Praj.g_01216	Praa.g_01124
OG0000023	Praj.g_01365, Praj.g_01329	Praa.g_00359
OG0000024	Praj.g_01134	Praa.g_00747
OG0000024	Praj.g_00666	Praa.g_00675
OG0000025	Praj.g_00805	Praa.g_00839, Praa.g_00331
OG0000026	Praj.g_00031	Praa.g_00031, Praa.g_01054
OG0000027	Praj.g_01331	Praa.g_00470, Praa.g_01301
OG0000028	Praj.g_01571	Praa.g_01248
OG0000029	Praj.g_01745	Praa.g_00754
OG0000030	Praj.g_02024	Praa.g_01842
OG0000033	Praj.g_00209	Praa.g_00169
OG0000034	Praj.g_01538	Praa.g_01328
OG0000035	Praj.g_01632	Praa.g_01476
OG0000037	Praj.g_00147	Praa.g_00109
OG0000038	Praj.g_02089	Praa.g_01883
OG0000039	Praj.g_00679	Praa.g_00686
OG0000040	Praj.g_01735	Praa.g_01618
OG0000041	Praj.g_01813	Praa.g_01683
OG0000042	Praj.g_02020	Praa.g_01839
OG0000043	Praj.g_00864	Praa.g_00876
OG0000043	Praj.g_01157	Praa.g_01259
OG0000045	Praj.g_01049	Praa.g_00370
OG0000047	Praj.g_00370	Praa.g_00330
OG0000048	Praj.g_00308	Praa.g_00373
OG0000050	Praj.g_00099	Praa.g_01075
OG0000053	Praj.g_01651	Praa.g_01496
OG0000054	Praj.g_00594	Praa.g_00606
OG0000055	Praj.g_00733	Praa.g_00783
OG0000057	Praj.g_00691, Praj.g_01313	Praa.g_00698
OG0000058	Praj.g_00839	Praa.g_01425
OG0000059	Praj.g_01892	Praa.g_01723
OG0000061	Praj.g_01461	Praa.g_01415, Praa.g_01159
OG0000062	Praj.g_01714	Praa.g_01555
OG0000063	Praj.g_01867	Praa.g_00033
OG0000065	Praj.g_00145	Praa.g_00107
OG0000066	Praj.g_00530	Praa.g_00539
OG0000067	Praj.g_00769	Praa.g_00803
OG0000068	Praj.g_01575	Praa.g_01366
OG0000069	Praj.g_01276, Praj.g_01675	Praa.g_01590
OG0000070	Praj.g_00444	Praa.g_00449
OG0000071	Praj.g_01528	Praa.g_01318
OG0000072	Praj.g_00211	Praa.g_00171
OG0000073	Praj.g_00491	Praa.g_00499
OG0000074	Praj.g_00674	Praa.g_00682
OG0000075	Praj.g_01987	Praa.g_01808
OG0000076	Praj.g_02012	Praa.g_01832
OG0000077	Praj.g_00116	Praa.g_00078
OG0000078	Praj.g_00280	Praa.g_00239
OG0000079	Praj.g_00291	Praa.g_00252
OG0000081	Praj.g_00522	Praa.g_00531
OG0000082	Praj.g_01827	Praa.g_00585
OG0000083	Praj.g_01121, Praj.g_00411	Praa.g_00742, Praa.g_01294, Praa.g_00735
OG0000084	Praj.g_01628	Praa.g_01472
OG0000085	Praj.g_01762	Praa.g_01628
OG0000086	Praj.g_00126	Praa.g_00088
OG0000087	Praj.g_00179	Praa.g_00139
OG0000088	Praj.g_00206	Praa.g_00166
OG0000089	Praj.g_00403	Praa.g_00355
OG0000090	Praj.g_00524	Praa.g_00533
OG0000091	Praj.g_00630	Praa.g_00642
OG0000092	Praj.g_00892	Praa.g_00912
OG0000093	Praj.g_00754	Praa.g_00932
OG0000094	Praj.g_00846	Praa.g_01020
OG0000095	Praj.g_01024	Praa.g_01039
OG0000096	Praj.g_01249	Praa.g_01110, Praa.g_01280
OG0000097	Praj.g_01416	Praa.g_01200
OG0000098	Praj.g_01546	Praa.g_01348
OG0000099	Praj.g_00372	Praa.g_01394
