Orthogroup	Syao	Syaj
OG0000001	Syao.g_00314	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syaj.g_01950
OG0000004	Syao.g_02374	Syaj.g_00441
OG0000004	Syao.g_01007	Syaj.g_01314
OG0000005	Syao.g_01680	Syaj.g_01736
OG0000005	Syao.g_01578	Syaj.g_01698
OG0000005	Syao.g_01210	Syaj.g_01155
OG0000007	Syao.g_00105	Syaj.g_00091
OG0000007	Syao.g_01554	Syaj.g_01721
OG0000008	Syao.g_01321	Syaj.g_00497
OG0000009	Syao.g_02598	Syaj.g_01885
OG0000010	Syao.g_02683	Syaj.g_01445
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Syao.g_01910	Syaj.g_02774
OG0000013	Syao.g_01844	Syaj.g_02769
OG0000014	Syao.g_02027	Syaj.g_02522
OG0000015	Syao.g_02339	Syaj.g_02242
OG0000015	Syao.g_00302	Syaj.g_00725, Syaj.g_02659
OG0000016	Syao.g_01955	Syaj.g_02276
OG0000017	Syao.g_01064	Syaj.g_00255
OG0000018	Syao.g_00071	Syaj.g_01413
OG0000019	Syao.g_02108	Syaj.g_02613
OG0000021	Syao.g_01002	Syaj.g_00042
OG0000022	Syao.g_01218	Syaj.g_01220
OG0000023	Syao.g_01266	Syaj.g_00829, Syaj.g_01791
OG0000025	Syao.g_00436, Syao.g_00437	Syaj.g_00383
OG0000026	Syao.g_02234	Syaj.g_02298
OG0000027	Syao.g_01286	Syaj.g_00396
OG0000028	Syao.g_02012	Syaj.g_02506
OG0000030	Syao.g_02189	Syaj.g_02396
OG0000030	Syao.g_02188	Syaj.g_02395
OG0000031	Syao.g_02008	Syaj.g_02501
OG0000032	Syao.g_00090	Syaj.g_01432
OG0000033	Syao.g_02507	Syaj.g_01990
OG0000035	Syao.g_01483, Syao.g_01486	Syaj.g_01378
OG0000037	Syao.g_00374	Syaj.g_01891
OG0000038	Syao.g_02440	Syaj.g_02115
OG0000039	Syao.g_00704	Syaj.g_00392, Syaj.g_00275
OG0000040	Syao.g_00711	Syaj.g_02208
OG0000041	Syao.g_01637	Syaj.g_00418
OG0000042	Syao.g_00019, Syao.g_01941	Syaj.g_02399
OG0000045	Syao.g_01214	Syaj.g_00132
OG0000046	Syao.g_01909	Syaj.g_02775
OG0000046	Syao.g_01845	Syaj.g_02768
OG0000047	Syao.g_01899	Syaj.g_02799
OG0000048	Syao.g_02077	Syaj.g_02578
OG0000051	Syao.g_01261	Syaj.g_00017
OG0000052	Syao.g_02520, Syao.g_01972	Syaj.g_02476
OG0000053	Syao.g_00067	Syaj.g_01409
OG0000057	Syao.g_00377	Syaj.g_00438
OG0000058	Syao.g_01978	Syaj.g_02495
OG0000059	Syao.g_01801	Syaj.g_02686
OG0000060	Syao.g_00312	Syaj.g_00635
OG0000061	Syao.g_00123	Syaj.g_00302
OG0000062	Syao.g_01576	Syaj.g_01700
OG0000063	Syao.g_02230	Syaj.g_02302
OG0000064	Syao.g_01462, Syao.g_02605	Syaj.g_01253
