Orthogroup	Syao	Prbf
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbf.g_00068
OG0000004	Syao.g_02374	Prbf.g_01264
OG0000004	Syao.g_01271, Syao.g_01007	Prbf.g_01570
OG0000005	Syao.g_01578	Prbf.g_00240
OG0000006	Syao.g_00919, Syao.g_01518	Prbf.g_01580
OG0000007	Syao.g_00105	Prbf.g_01780
OG0000007	Syao.g_01554	Prbf.g_00693
OG0000008	Syao.g_01321	Prbf.g_00792
OG0000010	Syao.g_02683	Prbf.g_00847, Prbf.g_01056
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prbf.g_00272
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbf.g_01665
OG0000014	Syao.g_02027	Prbf.g_01647
OG0000015	Syao.g_02339, Syao.g_00302	Prbf.g_00754, Prbf.g_00708
OG0000017	Syao.g_01064	Prbf.g_01887
OG0000018	Syao.g_00071	Prbf.g_00896
OG0000019	Syao.g_02108	Prbf.g_01588, Prbf.g_00894
OG0000021	Syao.g_01002	Prbf.g_00265, Prbf.g_01259
OG0000023	Syao.g_01266	Prbf.g_00287
OG0000025	Syao.g_00436, Syao.g_00437	Prbf.g_01209
OG0000026	Syao.g_02234	Prbf.g_01354
OG0000027	Syao.g_01286, Syao.g_00202	Prbf.g_00817, Prbf.g_00774
OG0000028	Syao.g_02012	Prbf.g_00794
OG0000030	Syao.g_02189, Syao.g_02188	Prbf.g_00484
OG0000031	Syao.g_02008, Syao.g_01083	Prbf.g_00116
OG0000032	Syao.g_00090	Prbf.g_00196
OG0000033	Syao.g_02507	Prbf.g_00123
OG0000035	Syao.g_01483, Syao.g_01486	Prbf.g_00157
OG0000037	Syao.g_00374	Prbf.g_01437
OG0000038	Syao.g_02440, Syao.g_02442	Prbf.g_00445
OG0000039	Syao.g_00704	Prbf.g_01276
OG0000041	Syao.g_00509, Syao.g_01637	Prbf.g_00646
