Orthogroup	Syao	Praw
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Praw.g_01000
OG0000004	Syao.g_02374	Praw.g_01827
OG0000004	Syao.g_01271, Syao.g_01007	Praw.g_01203
OG0000005	Syao.g_01680	Praw.g_00528
OG0000005	Syao.g_01578	Praw.g_00413
OG0000006	Syao.g_00919, Syao.g_01518	Praw.g_01950
OG0000007	Syao.g_00105	Praw.g_00651
OG0000007	Syao.g_01554	Praw.g_00515
OG0000008	Syao.g_01321	Praw.g_00502
OG0000009	Syao.g_02598	Praw.g_01330
OG0000010	Syao.g_02683	Praw.g_01460
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Praw.g_00159
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Praw.g_00807
OG0000014	Syao.g_02027	Praw.g_00828
OG0000015	Syao.g_02339, Syao.g_00302	Praw.g_01738
OG0000017	Syao.g_00997, Syao.g_01064	Praw.g_01944
OG0000018	Syao.g_00071	Praw.g_00215
OG0000019	Syao.g_02108	Praw.g_00884, Praw.g_01717
OG0000021	Syao.g_01002	Praw.g_00479, Praw.g_00767
OG0000022	Syao.g_01218	Praw.g_00197
OG0000023	Syao.g_01266	Praw.g_00772
OG0000025	Syao.g_00436, Syao.g_00437	Praw.g_00803, Praw.g_01664
OG0000026	Syao.g_02234	Praw.g_01397, Praw.g_01453
OG0000027	Syao.g_01286, Syao.g_00202	Praw.g_00677, Praw.g_00492, Praw.g_00962
OG0000028	Syao.g_02012	Praw.g_00334, Praw.g_00814
OG0000030	Syao.g_02189, Syao.g_02188	Praw.g_00029
OG0000031	Syao.g_01083	Praw.g_01073
OG0000032	Syao.g_01984, Syao.g_01983, Syao.g_01135	Praw.g_01043
OG0000035	Syao.g_01483, Syao.g_01486	Praw.g_01081, Praw.g_01083
OG0000037	Syao.g_00374	Praw.g_01326
OG0000038	Syao.g_02440, Syao.g_02442	Praw.g_01182
OG0000039	Syao.g_00704	Praw.g_01836
OG0000040	Syao.g_00711	Praw.g_00214
