Orthogroup	Syao	Syaq
OG0000001	Syao.g_00314	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syaq.g_01434
OG0000004	Syao.g_02374	Syaq.g_02603
OG0000004	Syao.g_01007	Syaq.g_02042
OG0000005	Syao.g_01680	Syaq.g_01658
OG0000005	Syao.g_01578	Syaq.g_01692
OG0000005	Syao.g_01210	Syaq.g_00236
OG0000006	Syao.g_00919	Syaq.g_02108
OG0000006	Syao.g_01518	Syaq.g_02558
OG0000007	Syao.g_00105	Syaq.g_01793
OG0000007	Syao.g_01554	Syaq.g_01673
OG0000008	Syao.g_01321	Syaq.g_02575
OG0000009	Syao.g_02598	Syaq.g_01489
OG0000010	Syao.g_02683	Syaq.g_00443
OG0000011	Syao.g_01282	Syaq.g_01038
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syaq.g_00077
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syao.g_02027	Syaq.g_00862
OG0000014	Syao.g_01136	Syaq.g_00907
OG0000015	Syao.g_02339	Syaq.g_00121, Syaq.g_01171
OG0000015	Syao.g_00302	Syaq.g_02255
OG0000016	Syao.g_01955	Syaq.g_01136
OG0000017	Syao.g_01064	Syaq.g_01999
OG0000018	Syao.g_00071	Syaq.g_00401
OG0000019	Syao.g_02108	Syaq.g_00717
OG0000022	Syao.g_01218	Syaq.g_02126
OG0000023	Syao.g_01266	Syaq.g_02540
OG0000025	Syao.g_00436, Syao.g_00437	Syaq.g_02381
OG0000026	Syao.g_02234	Syaq.g_01114
OG0000028	Syao.g_02012	Syaq.g_00878
OG0000030	Syao.g_02189	Syaq.g_01047
OG0000030	Syao.g_02188	Syaq.g_01048
OG0000031	Syao.g_02008	Syaq.g_01009
OG0000032	Syao.g_00090	Syaq.g_00421
OG0000032	Syao.g_01135	Syaq.g_00909
OG0000033	Syao.g_02507	Syaq.g_01399
OG0000035	Syao.g_01483, Syao.g_01486	Syaq.g_00371
OG0000037	Syao.g_00374	Syaq.g_01483
OG0000038	Syao.g_02440	Syaq.g_01260
OG0000038	Syao.g_02442	Syaq.g_01258
OG0000039	Syao.g_00704	Syaq.g_01601, Syaq.g_01241
OG0000041	Syao.g_01637	Syaq.g_02688
OG0000042	Syao.g_00019, Syao.g_01941	Syaq.g_00200, Syaq.g_01044
OG0000045	Syao.g_00148, Syao.g_01214	Syaq.g_02047
OG0000046	Syao.g_01845	Syaq.g_00570, Syaq.g_00573
OG0000048	Syao.g_02077	Syaq.g_00749
OG0000052	Syao.g_01085	Syaq.g_00935
