Orthogroup	Syao	Syan
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syan.g_02266
OG0000004	Syao.g_02374	Syan.g_00183
OG0000004	Syao.g_01007	Syan.g_00989
OG0000005	Syao.g_01680	Syan.g_01423
OG0000005	Syao.g_01578	Syan.g_01378
OG0000005	Syao.g_01210	Syan.g_00449
OG0000006	Syao.g_00919	Syan.g_00791
OG0000006	Syao.g_01518	Syan.g_00057, Syan.g_00936
OG0000007	Syao.g_00105	Syan.g_02743
OG0000007	Syao.g_01554	Syan.g_01400
OG0000008	Syao.g_01321	Syan.g_00641, Syan.g_02531
OG0000009	Syao.g_02598	Syan.g_02972
OG0000010	Syao.g_02683	Syan.g_02847
OG0000012	Syao.g_01193	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000012	Syao.g_01335	Syan.g_00008
OG0000012	Syao.g_01045	Syan.g_00942
OG0000013	Syao.g_01222	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Syao.g_02027	Syan.g_01987
OG0000015	Syao.g_02339	Syan.g_01691, Syan.g_00248
OG0000016	Syao.g_01955	Syan.g_01766
OG0000017	Syao.g_00997	Syan.g_01006
OG0000017	Syao.g_01064	Syan.g_01013
OG0000018	Syao.g_00071	Syan.g_02816
OG0000019	Syao.g_02108	Syan.g_02088
OG0000021	Syao.g_01002	Syan.g_01001
OG0000022	Syao.g_01218	Syan.g_00089
OG0000023	Syao.g_01266	Syan.g_00404
OG0000025	Syao.g_00437	Syan.g_00374
OG0000026	Syao.g_02234	Syan.g_01743
OG0000027	Syao.g_00202	Syan.g_02678
OG0000028	Syao.g_02012	Syan.g_01971
OG0000030	Syao.g_02189	Syan.g_01884
OG0000030	Syao.g_02188	Syan.g_01883
OG0000031	Syao.g_02008	Syan.g_01967
OG0000032	Syao.g_00090	Syan.g_02835
OG0000032	Syao.g_01984, Syao.g_01983	Syan.g_01819
OG0000032	Syao.g_01135	Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000033	Syao.g_02507	Syan.g_03036
OG0000035	Syao.g_01483	Syan.g_01279
OG0000035	Syao.g_01486	Syan.g_01276
OG0000036	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726	Syan.g_02789
OG0000037	Syao.g_00374	Syan.g_00136
OG0000038	Syao.g_02440	Syan.g_01569
OG0000038	Syao.g_02442	Syan.g_01571
OG0000039	Syao.g_00704	Syan.g_02771, Syan.g_00535
OG0000040	Syao.g_00711	Syan.g_01651
OG0000041	Syao.g_00509	Syan.g_00302
OG0000042	Syao.g_00019	Syan.g_00991, Syan.g_02643
OG0000042	Syao.g_01941	Syan.g_01888
OG0000045	Syao.g_00148	Syan.g_00151
OG0000045	Syao.g_01214	Syan.g_00086
OG0000046	Syao.g_01845	Syan.g_02157, Syan.g_02160
OG0000048	Syao.g_02077	Syan.g_02036
OG0000052	Syao.g_01972	Syan.g_01954, Syan.g_01953
OG0000053	Syao.g_00067	Syan.g_02812
OG0000054	Syao.g_00295	Syan.g_00231
OG0000054	Syao.g_00625	Syan.g_00506
OG0000055	Syao.g_00498	Syan.g_00312
OG0000057	Syao.g_00377	Syan.g_00186
OG0000058	Syao.g_01978	Syan.g_01964
OG0000058	Syao.g_01080	Syan.g_01128, Syan.g_01124
OG0000059	Syao.g_01801	Syan.g_02255
OG0000060	Syao.g_00312	Syan.g_00277
OG0000061	Syao.g_00123	Syan.g_02696
OG0000062	Syao.g_01576	Syan.g_01380
OG0000063	Syao.g_02230	Syan.g_01739
OG0000064	Syao.g_02607	Syan.g_02519
OG0000064	Syao.g_00495	Syan.g_00785
OG0000064	Syao.g_01462, Syao.g_02605	Syan.g_02518
OG0000065	Syao.g_02600	Syan.g_02974
OG0000066	Syao.g_01422	Syan.g_01156
OG0000067	Syao.g_00756	Syan.g_00690
OG0000068	Syao.g_00868	Syan.g_00845
OG0000068	Syao.g_00036	Syan.g_02773
OG0000069	Syao.g_01460	Syan.g_00459
OG0000069	Syao.g_00313	Syan.g_00278
OG0000070	Syao.g_00330	Syan.g_00289
OG0000071	Syao.g_01433	Syan.g_01213
OG0000072	Syao.g_02509	Syan.g_03038
OG0000072	Syao.g_01749	Syan.g_02999
OG0000073	Syao.g_00103	Syan.g_02741
OG0000075	Syao.g_02257	Syan.g_00981, Syan.g_01937
OG0000076	Syao.g_01949	Syan.g_01896
