Orthogroup	Syao	Praj
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Praj.g_01549
OG0000004	Syao.g_02374	Praj.g_01396
OG0000004	Syao.g_01271, Syao.g_01007	Praj.g_00271
OG0000005	Syao.g_01680	Praj.g_01349
OG0000005	Syao.g_01578	Praj.g_01712
OG0000006	Syao.g_00919, Syao.g_01518	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syao.g_00105	Praj.g_00489
OG0000007	Syao.g_01554	Praj.g_01768
OG0000008	Syao.g_01321	Praj.g_01830
OG0000010	Syao.g_02683	Praj.g_01026
OG0000011	Syao.g_01282	Praj.g_01158
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Praj.g_01066
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Praj.g_00362
OG0000014	Syao.g_02027	Praj.g_00341
OG0000015	Syao.g_02339, Syao.g_00302	Praj.g_01113
OG0000016	Syao.g_01955	Praj.g_00013
OG0000017	Syao.g_00997	Praj.g_00592
OG0000018	Syao.g_00071	Praj.g_01482
OG0000019	Syao.g_02108	Praj.g_00747
OG0000021	Syao.g_01002	Praj.g_01859, Praj.g_00084
OG0000022	Syao.g_01218	Praj.g_01216
OG0000023	Syao.g_01266	Praj.g_01365, Praj.g_01329
OG0000025	Syao.g_00436, Syao.g_00437	Praj.g_00805
OG0000026	Syao.g_02234	Praj.g_00031
OG0000027	Syao.g_01286, Syao.g_00202	Praj.g_01331
OG0000028	Syao.g_02012	Praj.g_01571
OG0000030	Syao.g_02189, Syao.g_02188	Praj.g_02024
OG0000031	Syao.g_02008, Syao.g_01083	Praj.g_00371
OG0000032	Syao.g_00090	Praj.g_01669
OG0000033	Syao.g_02507	Praj.g_00209
OG0000035	Syao.g_01483, Syao.g_01486	Praj.g_01632
OG0000037	Syao.g_00374	Praj.g_00147
OG0000038	Syao.g_02440, Syao.g_02442	Praj.g_02089
OG0000039	Syao.g_00704	Praj.g_00679
OG0000041	Syao.g_00509, Syao.g_01637	Praj.g_01813
OG0000042	Syao.g_00019, Syao.g_01941	Praj.g_02020
OG0000045	Syao.g_01214	Praj.g_01303, Praj.g_01049
OG0000046	Syao.g_01909, Syao.g_01845	Praj.g_00363
OG0000047	Syao.g_01899	Praj.g_00408
OG0000048	Syao.g_02077	Praj.g_00308
OG0000052	Syao.g_01972	Praj.g_00095
OG0000053	Syao.g_00067	Praj.g_01651
OG0000054	Syao.g_00295, Syao.g_00625	Praj.g_00594
OG0000055	Syao.g_00498	Praj.g_01842
OG0000057	Syao.g_00377	Praj.g_01313, Praj.g_00691
OG0000058	Syao.g_01978, Syao.g_01080	Praj.g_00839
OG0000059	Syao.g_01801	Praj.g_01892
OG0000060	Syao.g_00312	Praj.g_01108
OG0000061	Syao.g_00123	Praj.g_01461
OG0000062	Syao.g_01576	Praj.g_01714
OG0000063	Syao.g_02230	Praj.g_01867
OG0000065	Syao.g_02600	Praj.g_00145
OG0000066	Syao.g_01422	Praj.g_00530
OG0000067	Syao.g_00756	Praj.g_00769
OG0000068	Syao.g_00868, Syao.g_00036	Praj.g_01575
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Praj.g_01276, Praj.g_01675
OG0000070	Syao.g_00330	Praj.g_00444
OG0000071	Syao.g_01433	Praj.g_01528
OG0000072	Syao.g_02509, Syao.g_01749	Praj.g_00211
OG0000073	Syao.g_00103	Praj.g_00491
OG0000075	Syao.g_02257	Praj.g_01987
OG0000076	Syao.g_01949	Praj.g_02012
OG0000077	Syao.g_02629	Praj.g_00116
OG0000078	Syao.g_01709	Praj.g_00280
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Praj.g_00291
OG0000082	Syao.g_01035	Praj.g_01827
OG0000084	Syao.g_01509, Syao.g_02606	Praj.g_01628
OG0000085	Syao.g_01569	Praj.g_01762
OG0000086	Syao.g_02653, Syao.g_01240	Praj.g_00126
OG0000087	Syao.g_02555	Praj.g_00179
OG0000088	Syao.g_02503	Praj.g_00206
OG0000089	Syao.g_01716	Praj.g_00403
OG0000090	Syao.g_01412	Praj.g_00524
OG0000091	Syao.g_00902	Praj.g_00630
OG0000092	Syao.g_00656	Praj.g_00892
OG0000093	Syao.g_00739	Praj.g_00754
OG0000094	Syao.g_00458	Praj.g_00846
OG0000095	Syao.g_00331	Praj.g_01024
OG0000097	Syao.g_00973	Praj.g_01416
OG0000098	Syao.g_01374	Praj.g_01546
OG0000099	Syao.g_02019	Praj.g_00372
OG0000100	Syao.g_00787	Praj.g_01709
OG0000101	Syao.g_01840	Praj.g_01952
OG0000102	Syao.g_01945	Praj.g_02017
OG0000103	Syao.g_02340	Praj.g_02135
OG0000104	Syao.g_02157	Praj.g_02145
OG0000105	Syao.g_02071, Syao.g_02072	Praj.g_00310
OG0000106	Syao.g_01385	Praj.g_01156, Praj.g_01282
OG0000107	Syao.g_01935	Praj.g_01869
OG0000108	Syao.g_00028	Praj.g_00473
OG0000109	Syao.g_00110	Praj.g_00486
OG0000110	Syao.g_01051	Praj.g_00565
OG0000111	Syao.g_00378	Praj.g_00692
OG0000112	Syao.g_00683, Syao.g_00303	Praj.g_00938
OG0000113	Syao.g_00782	Praj.g_00793, Praj.g_01176
OG0000114	Syao.g_00965	Praj.g_00887
OG0000115	Syao.g_01464, Syao.g_00065	Praj.g_01725
OG0000116	Syao.g_00137	Praj.g_01471
OG0000117	Syao.g_00169	Praj.g_01355
OG0000118	Syao.g_01475	Praj.g_01540
OG0000120	Syao.g_02009	Praj.g_00664
OG0000121	Syao.g_01489	Praj.g_01634
OG0000122	Syao.g_01247	Praj.g_01673
OG0000123	Syao.g_01832	Praj.g_01959
OG0000124	Syao.g_02179	Praj.g_02031
OG0000125	Syao.g_02444	Praj.g_02091
OG0000126	Syao.g_02198	Praj.g_02144
OG0000128	Syao.g_02149	Praj.g_00011
OG0000129	Syao.g_02434	Praj.g_00048
OG0000130	Syao.g_02617	Praj.g_00107
OG0000131	Syao.g_02480	Praj.g_00185
OG0000132	Syao.g_02501	Praj.g_00204
OG0000133	Syao.g_00678	Praj.g_00357
OG0000134	Syao.g_01719	Praj.g_00405
OG0000135	Syao.g_00147	Praj.g_01279
OG0000136	Syao.g_01614, Syao.g_01613	Praj.g_00435
OG0000137	Syao.g_02682	Praj.g_00467
OG0000138	Syao.g_00108	Praj.g_00487
OG0000139	Syao.g_01418, Syao.g_02005	Praj.g_00528
OG0000140	Syao.g_01373, Syao.g_01372	Praj.g_00529
OG0000141	Syao.g_01202	Praj.g_00595
OG0000142	Syao.g_00894	Praj.g_00623
OG0000143	Syao.g_00898	Praj.g_00627
OG0000145	Syao.g_00102	Praj.g_01054
OG0000146	Syao.g_00684, Syao.g_00304	Praj.g_00937
OG0000147	Syao.g_00305, Syao.g_00685	Praj.g_00936
OG0000148	Syao.g_00776	Praj.g_00787
OG0000149	Syao.g_00534	Praj.g_00819
OG0000150	Syao.g_01203	Praj.g_00828
OG0000151	Syao.g_00975	Praj.g_00898
OG0000152	Syao.g_00674	Praj.g_01601, Praj.g_00946
OG0000153	Syao.g_00818, Syao.g_01176	Praj.g_00965
