Orthogroup	Syao	Prbk
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbk.g_00561, Prbk.g_02701
OG0000004	Syao.g_02374	Prbk.g_01760
OG0000004	Syao.g_01271, Syao.g_01007	Prbk.g_01134
OG0000005	Syao.g_01578	Prbk.g_00933
OG0000006	Syao.g_00919, Syao.g_01518	Prbk.g_02695
OG0000007	Syao.g_01554	Prbk.g_00907
OG0000008	Syao.g_01321	Prbk.g_01820
OG0000009	Syao.g_02598	Prbk.g_01932, Prbk.g_00013
OG0000010	Syao.g_02683	Prbk.g_02112
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbk.g_00853
OG0000014	Syao.g_02027	Prbk.g_00454
OG0000015	Syao.g_02339, Syao.g_00302	Prbk.g_02558
OG0000017	Syao.g_01064	Prbk.g_01150
OG0000018	Syao.g_00071	Prbk.g_01227
OG0000019	Syao.g_02108	Prbk.g_01004
OG0000021	Syao.g_01002	Prbk.g_01960, Prbk.g_01137
OG0000022	Syao.g_01218	Prbk.g_01667
OG0000023	Syao.g_01266	Prbk.g_02448
OG0000025	Syao.g_00436, Syao.g_00437	Prbk.g_02531
OG0000026	Syao.g_02234	Prbk.g_01617
OG0000028	Syao.g_02012	Prbk.g_00469
OG0000030	Syao.g_02189	Prbk.g_01532
OG0000030	Syao.g_02188	Prbk.g_01533
OG0000031	Syao.g_02008	Prbk.g_00534, Prbk.g_00539
OG0000032	Syao.g_00090	Prbk.g_01209
OG0000032	Syao.g_01984, Syao.g_01983	Prbk.g_00480
OG0000033	Syao.g_02507	Prbk.g_00776
OG0000035	Syao.g_01483, Syao.g_01486	Prbk.g_00259
OG0000036	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726, Syao.g_00572	Prbk.g_01948
OG0000037	Syao.g_00374	Prbk.g_00007
OG0000038	Syao.g_02440	Prbk.g_02164
OG0000038	Syao.g_02442	Prbk.g_02166
OG0000039	Syao.g_00704	Prbk.g_01385, Prbk.g_00642
OG0000041	Syao.g_00509, Syao.g_01637	Prbk.g_01406
OG0000042	Syao.g_00019, Syao.g_01941	Prbk.g_01495, Prbk.g_00140
OG0000045	Syao.g_01214	Prbk.g_01321
OG0000046	Syao.g_01909, Syao.g_01845	Prbk.g_00854
OG0000047	Syao.g_01899	Prbk.g_02565
OG0000048	Syao.g_02077	Prbk.g_00405
OG0000051	Syao.g_01261	Prbk.g_02418
OG0000052	Syao.g_02520, Syao.g_01972	Prbk.g_00499
OG0000053	Syao.g_00067	Prbk.g_01230
OG0000054	Syao.g_00295, Syao.g_00625	Prbk.g_01153
OG0000057	Syao.g_00377	Prbk.g_01765
OG0000058	Syao.g_01978	Prbk.g_00479
OG0000059	Syao.g_01959	Prbk.g_00533
OG0000059	Syao.g_01801	Prbk.g_00992
OG0000061	Syao.g_00123	Prbk.g_01019
OG0000062	Syao.g_01576	Prbk.g_00931
OG0000063	Syao.g_02230	Prbk.g_01613
OG0000065	Syao.g_02600	Prbk.g_00011
OG0000066	Syao.g_01422	Prbk.g_01094
OG0000068	Syao.g_00868, Syao.g_00036	Prbk.g_02052
OG0000070	Syao.g_00330	Prbk.g_00310
OG0000071	Syao.g_01433	Prbk.g_01183
OG0000072	Syao.g_02509, Syao.g_01749	Prbk.g_00778
OG0000073	Syao.g_00103	Prbk.g_01862
OG0000075	Syao.g_02257	Prbk.g_00514
OG0000076	Syao.g_01949	Prbk.g_00237
OG0000077	Syao.g_02629	Prbk.g_00307
OG0000078	Syao.g_01709	Prbk.g_01515
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbk.g_01000
OG0000082	Syao.g_01035	Prbk.g_01122
OG0000084	Syao.g_01509, Syao.g_02606	Prbk.g_00255
OG0000085	Syao.g_01569	Prbk.g_00919
OG0000086	Syao.g_02653, Syao.g_01240	Prbk.g_01295
OG0000087	Syao.g_02555	Prbk.g_00559
OG0000088	Syao.g_02503	Prbk.g_01836
OG0000089	Syao.g_01716	Prbk.g_00364
OG0000090	Syao.g_01412	Prbk.g_01080
OG0000091	Syao.g_00902	Prbk.g_02639
OG0000093	Syao.g_00739	Prbk.g_02444
OG0000094	Syao.g_00458	Prbk.g_02190
OG0000095	Syao.g_00331	Prbk.g_00056
OG0000098	Syao.g_01374	Prbk.g_01199
OG0000099	Syao.g_02019	Prbk.g_00476
OG0000100	Syao.g_00787	Prbk.g_01360, Prbk.g_02498
OG0000101	Syao.g_01840	Prbk.g_00796
OG0000102	Syao.g_01945	Prbk.g_01484
OG0000103	Syao.g_02340	Prbk.g_02260
OG0000104	Syao.g_02157	Prbk.g_02274
OG0000105	Syao.g_02071, Syao.g_02072	Prbk.g_00409
OG0000106	Syao.g_01385	Prbk.g_00925
OG0000107	Syao.g_01935	Prbk.g_01902
OG0000108	Syao.g_00028	Prbk.g_02061
OG0000109	Syao.g_00110	Prbk.g_02077
OG0000110	Syao.g_01051	Prbk.g_01110
OG0000111	Syao.g_00378	Prbk.g_01766
OG0000112	Syao.g_00683, Syao.g_00303	Prbk.g_02332
OG0000113	Syao.g_00782	Prbk.g_02493
OG0000114	Syao.g_00965	Prbk.g_02396
OG0000115	Syao.g_01464, Syao.g_00065	Prbk.g_01234
OG0000116	Syao.g_00137	Prbk.g_01034
OG0000117	Syao.g_00169	Prbk.g_01496
OG0000118	Syao.g_01475	Prbk.g_01169
OG0000120	Syao.g_02009	Prbk.g_00477
OG0000121	Syao.g_01489	Prbk.g_00267, Prbk.g_00261
OG0000122	Syao.g_01247	Prbk.g_02664
OG0000123	Syao.g_01832	Prbk.g_00805
OG0000124	Syao.g_02179	Prbk.g_01539
OG0000125	Syao.g_02444	Prbk.g_02168
OG0000126	Syao.g_02198	Prbk.g_02272
OG0000127	Syao.g_01312	Prbk.g_01335
OG0000128	Syao.g_02149	Prbk.g_02290
