Orthogroup	Syao	Prbm
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbm.g_01633
OG0000004	Syao.g_02374	Prbm.g_01483
OG0000004	Syao.g_01271, Syao.g_01007	Prbm.g_00291
OG0000005	Syao.g_01578	Prbm.g_01790
OG0000006	Syao.g_00919, Syao.g_01518	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syao.g_00105	Prbm.g_00522
OG0000007	Syao.g_01554	Prbm.g_01841
OG0000008	Syao.g_01321	Prbm.g_01908
OG0000010	Syao.g_02683	Prbm.g_01066
OG0000011	Syao.g_01282	Prbm.g_01174, Prbm.g_01134
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prbm.g_01106
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbm.g_00382
OG0000014	Syao.g_02027	Prbm.g_00362
OG0000015	Syao.g_02339, Syao.g_00302	Prbm.g_01427, Prbm.g_01149
OG0000016	Syao.g_01955	Prbm.g_00013
OG0000017	Syao.g_00997	Prbm.g_00635
OG0000018	Syao.g_00071	Prbm.g_01571
OG0000019	Syao.g_02108	Prbm.g_00792
OG0000021	Syao.g_01002	Prbm.g_01939
OG0000022	Syao.g_01218	Prbm.g_01324
OG0000023	Syao.g_01266	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000025	Syao.g_00436, Syao.g_00437	Prbm.g_00849
OG0000026	Syao.g_02234	Prbm.g_00031
OG0000028	Syao.g_02012	Prbm.g_01656
OG0000030	Syao.g_02189, Syao.g_02188	Prbm.g_02105
OG0000031	Syao.g_02008, Syao.g_01083	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syao.g_00090	Prbm.g_01747
OG0000033	Syao.g_02507	Prbm.g_00228
OG0000035	Syao.g_01483, Syao.g_01486	Prbm.g_01710
OG0000037	Syao.g_00374	Prbm.g_00166
OG0000038	Syao.g_02440, Syao.g_02442	Prbm.g_02174
OG0000039	Syao.g_00704	Prbm.g_00723
OG0000041	Syao.g_00509, Syao.g_01637	Prbm.g_01886
OG0000042	Syao.g_00019, Syao.g_01941	Prbm.g_02102
OG0000045	Syao.g_01214	Prbm.g_01088
OG0000046	Syao.g_01909, Syao.g_01845	Prbm.g_00383
OG0000047	Syao.g_01899	Prbm.g_00428
OG0000048	Syao.g_02077	Prbm.g_00329
OG0000052	Syao.g_01972	Prbm.g_00114
OG0000053	Syao.g_00067	Prbm.g_01729
OG0000054	Syao.g_00295, Syao.g_00625	Prbm.g_00637
OG0000055	Syao.g_00498	Prbm.g_01921
OG0000057	Syao.g_00377	Prbm.g_00735
OG0000058	Syao.g_01978, Syao.g_01080	Prbm.g_00881
OG0000059	Syao.g_01801	Prbm.g_01973
OG0000060	Syao.g_00312	Prbm.g_01422
OG0000061	Syao.g_00123	Prbm.g_01549
OG0000062	Syao.g_01576	Prbm.g_01792
OG0000063	Syao.g_02230	Prbm.g_01947
OG0000065	Syao.g_02600	Prbm.g_00164
OG0000066	Syao.g_01422	Prbm.g_00572
OG0000067	Syao.g_00756	Prbm.g_00814
OG0000068	Syao.g_00868, Syao.g_00036	Prbm.g_01660
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Syao.g_00330	Prbm.g_00460
OG0000071	Syao.g_01433	Prbm.g_00468, Prbm.g_01611
OG0000072	Syao.g_02509, Syao.g_01749	Prbm.g_00230
OG0000073	Syao.g_00103	Prbm.g_00533
OG0000075	Syao.g_02257	Prbm.g_02069
OG0000076	Syao.g_01949	Prbm.g_02094
OG0000077	Syao.g_02629	Prbm.g_00135
OG0000078	Syao.g_01709	Prbm.g_00300
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbm.g_00311
OG0000082	Syao.g_01035	Prbm.g_01900
OG0000084	Syao.g_01509, Syao.g_02606	Prbm.g_01706
OG0000085	Syao.g_01569	Prbm.g_01834
OG0000086	Syao.g_02653, Syao.g_01240	Prbm.g_00145
OG0000087	Syao.g_02555	Prbm.g_00198
OG0000088	Syao.g_02503	Prbm.g_00225
OG0000089	Syao.g_01716	Prbm.g_00423
OG0000090	Syao.g_01412	Prbm.g_00566
OG0000091	Syao.g_00902	Prbm.g_00673
OG0000092	Syao.g_00656	Prbm.g_00934
OG0000093	Syao.g_00739	Prbm.g_00799
OG0000094	Syao.g_00458	Prbm.g_00888
OG0000095	Syao.g_00331	Prbm.g_01064
OG0000097	Syao.g_00973	Prbm.g_01502
OG0000098	Syao.g_01374	Prbm.g_01630
OG0000099	Syao.g_02019	Prbm.g_00394
