Orthogroup	Syao	Praq
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Praq.g_00160
OG0000004	Syao.g_02374	Praq.g_00824
OG0000004	Syao.g_01271, Syao.g_01007	Praq.g_01770
OG0000005	Syao.g_01680	Praq.g_00484
OG0000005	Syao.g_01578	Praq.g_00370
OG0000006	Syao.g_00919, Syao.g_01518	Praq.g_01761
OG0000007	Syao.g_00105	Praq.g_01105
OG0000007	Syao.g_01554	Praq.g_00497
OG0000009	Syao.g_02598	Praq.g_01898
OG0000010	Syao.g_02683	Praq.g_00552, Praq.g_01626
OG0000011	Syao.g_01282	Praq.g_00100
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Praq.g_00979
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Praq.g_01675
OG0000014	Syao.g_02027	Praq.g_01696
OG0000015	Syao.g_02339, Syao.g_00302	Praq.g_00065
OG0000017	Syao.g_00997, Syao.g_01064	Praq.g_01004
OG0000018	Syao.g_00071	Praq.g_01314
OG0000019	Syao.g_02108	Praq.g_01753, Praq.g_00649
OG0000021	Syao.g_01002	Praq.g_01179
OG0000022	Syao.g_01218	Praq.g_01296
OG0000023	Syao.g_01266	Praq.g_01184
OG0000025	Syao.g_00436, Syao.g_00437	Praq.g_01671, Praq.g_01432
OG0000026	Syao.g_02234	Praq.g_01234, Praq.g_01633
OG0000027	Syao.g_01286, Syao.g_00202	Praq.g_00521
OG0000028	Syao.g_02012	Praq.g_00103, Praq.g_01682
OG0000030	Syao.g_02189, Syao.g_02188	Praq.g_00772
OG0000031	Syao.g_02008, Syao.g_01083	Praq.g_00209
OG0000032	Syao.g_01984, Syao.g_01983	Praq.g_00202
OG0000035	Syao.g_01483, Syao.g_01486	Praq.g_00294
OG0000037	Syao.g_00374	Praq.g_01894
OG0000038	Syao.g_02440, Syao.g_02442	Praq.g_00716
OG0000039	Syao.g_00704	Praq.g_00815
OG0000040	Syao.g_00711	Praq.g_01313
OG0000041	Syao.g_00509, Syao.g_01637	Praq.g_00451
OG0000042	Syao.g_00019, Syao.g_01941	Praq.g_00770
OG0000045	Syao.g_00148	Praq.g_01172
OG0000045	Syao.g_01214	Praq.g_00567
