Orthogroup	Syao	Pray
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Pray.g_01844
OG0000004	Syao.g_02374	Pray.g_01068
OG0000004	Syao.g_01271, Syao.g_01007	Pray.g_00713
OG0000005	Syao.g_01680	Pray.g_01546
OG0000005	Syao.g_01578	Pray.g_01646
OG0000006	Syao.g_00919, Syao.g_01518	Pray.g_00722
OG0000007	Syao.g_00105	Pray.g_00988, Pray.g_00987
OG0000007	Syao.g_01554	Pray.g_01559
OG0000009	Syao.g_02598	Pray.g_00184
OG0000010	Syao.g_02683	Pray.g_00592
OG0000011	Syao.g_01282	Pray.g_01930
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Pray.g_01140
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Pray.g_00805
OG0000014	Syao.g_02027	Pray.g_00784
OG0000015	Syao.g_02339, Syao.g_00302	Pray.g_00309
OG0000016	Syao.g_01955	Pray.g_01475
OG0000017	Syao.g_00997, Syao.g_01064	Pray.g_01165
OG0000018	Syao.g_00071	Pray.g_00083
OG0000019	Syao.g_02108	Pray.g_00730, Pray.g_00328
OG0000021	Syao.g_01002	Pray.g_01578, Pray.g_00842
OG0000022	Syao.g_01218	Pray.g_00101
OG0000023	Syao.g_01266	Pray.g_00838
OG0000025	Syao.g_00436, Syao.g_00437	Pray.g_00809, Pray.g_00383
OG0000026	Syao.g_02234	Pray.g_01493, Pray.g_00599
OG0000027	Syao.g_01286, Syao.g_00202	Pray.g_00960, Pray.g_01887
OG0000028	Syao.g_02012	Pray.g_01935, Pray.g_00798
OG0000030	Syao.g_02189, Syao.g_02188	Pray.g_01374
OG0000031	Syao.g_02008, Syao.g_01083	Pray.g_01806
OG0000032	Syao.g_01135	Pray.g_01782
OG0000035	Syao.g_01483, Syao.g_01486	Pray.g_01722
OG0000037	Syao.g_00374	Pray.g_00180
OG0000038	Syao.g_02440, Syao.g_02442	Pray.g_01415
OG0000039	Syao.g_00704	Pray.g_01077
OG0000040	Syao.g_00711	Pray.g_00084
OG0000042	Syao.g_00019, Syao.g_01941	Pray.g_01371
OG0000045	Syao.g_00148	Pray.g_00849
OG0000047	Syao.g_01899	Pray.g_00897
OG0000048	Syao.g_02077	Pray.g_00852
OG0000052	Syao.g_01085	Pray.g_01793
OG0000053	Syao.g_00067	Pray.g_01702
OG0000054	Syao.g_00295, Syao.g_00625	Pray.g_01157
OG0000055	Syao.g_00498	Pray.g_00329
OG0000057	Syao.g_00377	Pray.g_01065
OG0000058	Syao.g_01978, Syao.g_01080	Pray.g_01786
OG0000059	Syao.g_01959	Pray.g_01761
OG0000059	Syao.g_01801	Pray.g_01258
OG0000061	Syao.g_00123	Pray.g_00064
OG0000062	Syao.g_01576	Pray.g_01644
OG0000063	Syao.g_02230	Pray.g_01495
OG0000065	Syao.g_02600	Pray.g_00182
OG0000066	Syao.g_01422	Pray.g_01222
OG0000067	Syao.g_00756	Pray.g_00348
OG0000068	Syao.g_00868, Syao.g_00036	Pray.g_01829
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Pray.g_01609
OG0000070	Syao.g_00330	Pray.g_00940
OG0000071	Syao.g_01433	Pray.g_01870
OG0000072	Syao.g_02509, Syao.g_01749	Pray.g_00652
OG0000073	Syao.g_00103	Pray.g_00990
OG0000075	Syao.g_02257	Pray.g_01339
OG0000076	Syao.g_01949	Pray.g_01364
OG0000077	Syao.g_02629	Pray.g_00211
OG0000078	Syao.g_01709	Pray.g_00720
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Pray.g_00733
OG0000082	Syao.g_01035	Pray.g_01177
OG0000084	Syao.g_01509, Syao.g_02606	Pray.g_01726
OG0000085	Syao.g_01569	Pray.g_01566
OG0000086	Syao.g_02653, Syao.g_01240	Pray.g_00201
OG0000087	Syao.g_02555	Pray.g_00150
OG0000088	Syao.g_02503	Pray.g_00647
OG0000089	Syao.g_01716	Pray.g_00834
OG0000090	Syao.g_01412	Pray.g_01024, Pray.g_01228
OG0000091	Syao.g_00902	Pray.g_01121
OG0000092	Syao.g_00656	Pray.g_01325
OG0000093	Syao.g_00739	Pray.g_00479
OG0000094	Syao.g_00458	Pray.g_00565
OG0000095	Syao.g_00331	Pray.g_00584
OG0000097	Syao.g_00973	Pray.g_00022
OG0000098	Syao.g_01374	Pray.g_01847
OG0000099	Syao.g_02019	Pray.g_01788
OG0000100	Syao.g_00787	Pray.g_01648
OG0000101	Syao.g_01840	Pray.g_01306
OG0000102	Syao.g_01945	Pray.g_01369
OG0000103	Syao.g_02340	Pray.g_01449
OG0000104	Syao.g_02157	Pray.g_01457
OG0000105	Syao.g_02071, Syao.g_02072	Pray.g_00753
OG0000106	Syao.g_01385	Pray.g_00848
OG0000107	Syao.g_01935	Pray.g_00864
OG0000108	Syao.g_00028	Pray.g_00970
OG0000109	Syao.g_00110	Pray.g_00984
OG0000110	Syao.g_01051	Pray.g_01187
OG0000111	Syao.g_00378	Pray.g_01064
OG0000112	Syao.g_00683, Syao.g_00303	Pray.g_00313
OG0000113	Syao.g_00782	Pray.g_00370
OG0000114	Syao.g_00965	Pray.g_00452
OG0000115	Syao.g_01464, Syao.g_00065	Pray.g_00126
OG0000116	Syao.g_00137	Pray.g_00074
OG0000117	Syao.g_00169	Pray.g_01927
OG0000118	Syao.g_01475	Pray.g_01858
OG0000120	Syao.g_02009	Pray.g_01808
OG0000121	Syao.g_01489	Pray.g_01720
OG0000122	Syao.g_01247	Pray.g_01682
OG0000123	Syao.g_01832	Pray.g_01313
OG0000124	Syao.g_02179	Pray.g_01380
OG0000125	Syao.g_02444	Pray.g_01417
OG0000126	Syao.g_02198	Pray.g_01456
OG0000128	Syao.g_02149	Pray.g_01473
OG0000129	Syao.g_02434	Pray.g_00239
OG0000130	Syao.g_02617	Pray.g_00220
OG0000131	Syao.g_02480	Pray.g_00144
OG0000132	Syao.g_02501	Pray.g_00645
OG0000133	Syao.g_00678	Pray.g_00800
OG0000134	Syao.g_01719	Pray.g_00835
OG0000135	Syao.g_00147	Pray.g_00861
OG0000136	Syao.g_01614, Syao.g_01613	Pray.g_00931
OG0000137	Syao.g_02682	Pray.g_00965
OG0000138	Syao.g_00108	Pray.g_00985
OG0000139	Syao.g_01418, Syao.g_02005	Pray.g_01224
OG0000140	Syao.g_01373, Syao.g_01372	Pray.g_01223
OG0000141	Syao.g_01202	Pray.g_01156
OG0000142	Syao.g_00894	Pray.g_01128
