Orthogroup	Syao	Syai
OG0000001	Syao.g_00314	Syai.g_01197, Syai.g_02594
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syai.g_00891, Syai.g_02595
OG0000004	Syao.g_02374	Syai.g_01994
OG0000004	Syao.g_01007	Syai.g_01062
OG0000005	Syao.g_01680	Syai.g_02393
OG0000005	Syao.g_01578	Syai.g_02356
OG0000005	Syao.g_01210	Syai.g_02068, Syai.g_01611
OG0000006	Syao.g_00919	Syai.g_01126
OG0000007	Syao.g_00105	Syai.g_00657
OG0000007	Syao.g_01554	Syai.g_02378
OG0000008	Syao.g_01321	Syai.g_01955
OG0000009	Syao.g_02598	Syai.g_02541
OG0000010	Syao.g_02683	Syai.g_00864
OG0000011	Syao.g_01282	Syai.g_01952
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Syao.g_01910	Syai.g_00442
OG0000013	Syao.g_01844	Syai.g_00436
OG0000014	Syao.g_02027	Syai.g_00220
OG0000015	Syao.g_00302	Syai.g_01246, Syai.g_01245
OG0000016	Syao.g_01955	Syai.g_00014
OG0000017	Syao.g_01064	Syai.g_00808
OG0000018	Syao.g_00071	Syai.g_00915
OG0000019	Syao.g_02108	Syai.g_00304
OG0000021	Syao.g_01002	Syai.g_00556
OG0000022	Syao.g_01218	Syai.g_01159
OG0000023	Syao.g_01266	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000025	Syao.g_00436, Syao.g_00437	Syai.g_02044
OG0000026	Syao.g_02234	Syai.g_00038
OG0000027	Syao.g_01286	Syai.g_01654
OG0000028	Syao.g_02012	Syai.g_00205
OG0000030	Syao.g_02189	Syai.g_00096
OG0000030	Syao.g_02188	Syai.g_00095
OG0000031	Syao.g_02008	Syai.g_00197
OG0000032	Syao.g_00090	Syai.g_00895
OG0000033	Syao.g_02507	Syai.g_02634
OG0000035	Syao.g_01483, Syao.g_01486	Syai.g_00955
OG0000037	Syao.g_00374	Syai.g_02544
OG0000038	Syao.g_02440	Syai.g_02780
OG0000039	Syao.g_00704	Syai.g_02034
OG0000040	Syao.g_00711	Syai.g_02876
OG0000041	Syao.g_01637	Syai.g_02016
OG0000042	Syao.g_00019, Syao.g_01941	Syai.g_00099
OG0000045	Syao.g_00148	Syai.g_02432
OG0000046	Syao.g_01909	Syai.g_00443
OG0000046	Syao.g_01845	Syai.g_00435
OG0000047	Syao.g_01899	Syai.g_00462
OG0000048	Syao.g_02077	Syai.g_00272
OG0000052	Syao.g_02520, Syao.g_01972	Syai.g_00176
OG0000053	Syao.g_00067	Syai.g_00930
OG0000058	Syao.g_01978	Syai.g_00195
OG0000059	Syao.g_01801	Syai.g_00351
OG0000060	Syao.g_00312	Syai.g_01758
OG0000061	Syao.g_00123	Syai.g_02144
OG0000062	Syao.g_01576	Syai.g_02358
OG0000063	Syao.g_02230	Syai.g_00042
OG0000064	Syao.g_01898	Syai.g_02350
