Orthogroup	Syao	Prbd
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbd.g_01779
OG0000004	Syao.g_02374	Prbd.g_00549
OG0000004	Syao.g_01271, Syao.g_01007	Prbd.g_01007
OG0000005	Syao.g_01680	Prbd.g_01512
OG0000005	Syao.g_01578	Prbd.g_01612
OG0000006	Syao.g_00919, Syao.g_01518	Prbd.g_00998
OG0000007	Syao.g_00105	Prbd.g_00745
OG0000007	Syao.g_01554	Prbd.g_01525
OG0000009	Syao.g_02598	Prbd.g_01139
OG0000010	Syao.g_02683	Prbd.g_00348
OG0000011	Syao.g_01282	Prbd.g_00534, Prbd.g_01867
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Prbd.g_00621
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Prbd.g_00912
OG0000014	Syao.g_02027	Prbd.g_00933
OG0000015	Syao.g_02339, Syao.g_00302	Prbd.g_00065, Prbd.g_00826
OG0000016	Syao.g_01955	Prbd.g_01224
OG0000017	Syao.g_00997, Syao.g_01064	Prbd.g_00646
OG0000018	Syao.g_00071	Prbd.g_00449
OG0000019	Syao.g_02108	Prbd.g_00990, Prbd.g_00082
OG0000021	Syao.g_01002	Prbd.g_01546, Prbd.g_00874
OG0000022	Syao.g_01218	Prbd.g_00423
OG0000023	Syao.g_01266	Prbd.g_00879
OG0000025	Syao.g_00436, Syao.g_00437	Prbd.g_00908, Prbd.g_00137
OG0000026	Syao.g_02234	Prbd.g_01206, Prbd.g_00355
OG0000027	Syao.g_01286, Syao.g_00202	Prbd.g_00772, Prbd.g_01832
OG0000028	Syao.g_02012	Prbd.g_01864, Prbd.g_00919
OG0000030	Syao.g_02189, Syao.g_02188	Prbd.g_01325
OG0000032	Syao.g_01984, Syao.g_01983	Prbd.g_01730
OG0000035	Syao.g_01483, Syao.g_01486	Prbd.g_01689
OG0000037	Syao.g_00374	Prbd.g_01135
OG0000038	Syao.g_02440, Syao.g_02442	Prbd.g_01283
OG0000039	Syao.g_00704	Prbd.g_00558
OG0000040	Syao.g_00711	Prbd.g_00448
OG0000041	Syao.g_00509, Syao.g_01637	Prbd.g_01478
OG0000042	Syao.g_00019, Syao.g_01941	Prbd.g_01328
OG0000045	Syao.g_00148	Prbd.g_00867
OG0000048	Syao.g_02077	Prbd.g_00439, Prbd.g_00864
OG0000053	Syao.g_00067	Prbd.g_01669
OG0000054	Syao.g_00295, Syao.g_00625	Prbd.g_00638
OG0000055	Syao.g_00498	Prbd.g_00083
OG0000057	Syao.g_00377	Prbd.g_00546
OG0000059	Syao.g_01801	Prbd.g_01439
OG0000060	Syao.g_00312	Prbd.g_00824
OG0000061	Syao.g_00123	Prbd.g_00468
OG0000062	Syao.g_01576	Prbd.g_01610
OG0000063	Syao.g_02230	Prbd.g_01204
OG0000065	Syao.g_02600	Prbd.g_01137
OG0000066	Syao.g_01422	Prbd.g_00703
OG0000067	Syao.g_00756	Prbd.g_00102
OG0000068	Syao.g_00868, Syao.g_00036	Prbd.g_01764
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Prbd.g_01575
OG0000070	Syao.g_00330	Prbd.g_00792
OG0000071	Syao.g_01433	Prbd.g_01801
OG0000072	Syao.g_02509, Syao.g_01749	Prbd.g_01069
OG0000073	Syao.g_00103	Prbd.g_00743
OG0000075	Syao.g_02257	Prbd.g_01359
OG0000076	Syao.g_01949	Prbd.g_01335
OG0000077	Syao.g_02629	Prbd.g_01166
OG0000078	Syao.g_01709	Prbd.g_01000
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbd.g_00987
OG0000082	Syao.g_01035	Prbd.g_00658
OG0000084	Syao.g_01509, Syao.g_02606	Prbd.g_01693
OG0000085	Syao.g_01569	Prbd.g_01532
OG0000086	Syao.g_02653, Syao.g_01240	Prbd.g_01156
OG0000087	Syao.g_02555	Prbd.g_01104, Prbd.g_01103
OG0000088	Syao.g_02503	Prbd.g_01074
OG0000089	Syao.g_01716	Prbd.g_00883
OG0000090	Syao.g_01412	Prbd.g_00709
OG0000091	Syao.g_00902	Prbd.g_00602
OG0000092	Syao.g_00656	Prbd.g_01193
OG0000093	Syao.g_00739	Prbd.g_00232
OG0000094	Syao.g_00458	Prbd.g_00321
OG0000095	Syao.g_00331	Prbd.g_00340
OG0000097	Syao.g_00973	Prbd.g_00509
OG0000098	Syao.g_01374	Prbd.g_01782
OG0000099	Syao.g_02019	Prbd.g_01734
OG0000100	Syao.g_00787	Prbd.g_01614
OG0000101	Syao.g_01840	Prbd.g_01391
