Orthogroup	Praq	Syab
OG0000000	Praq.g_00117	Syab.g_01226
OG0000001	Praq.g_00160	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Praq.g_00168, Praq.g_00807	Syab.g_02285
OG0000004	Praq.g_00824	Syab.g_00549, Syab.g_01193
OG0000004	Praq.g_01770	Syab.g_01911, Syab.g_02377
OG0000005	Praq.g_00484	Syab.g_02289
OG0000005	Praq.g_00370	Syab.g_02806, Syab.g_02232
OG0000006	Praq.g_01761	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Praq.g_01105	Syab.g_02117
OG0000007	Praq.g_00497	Syab.g_02256
OG0000008	Praq.g_00071	Syab.g_01755
OG0000009	Praq.g_00017	Syab.g_00995
OG0000009	Praq.g_01898	Syab.g_02498
OG0000010	Praq.g_00552, Praq.g_01626	Syab.g_00696
OG0000011	Praq.g_00100	Syab.g_01491
OG0000012	Praq.g_00979	Syab.g_01774, Syab.g_00953
OG0000013	Praq.g_01675	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Praq.g_01696	Syab.g_00249
OG0000015	Praq.g_00065	Syab.g_02889
OG0000017	Praq.g_01004	Syab.g_01953, Syab.g_01945
OG0000018	Praq.g_01314	Syab.g_00742
OG0000019	Praq.g_01753, Praq.g_00649	Syab.g_00344
OG0000020	Praq.g_01281, Praq.g_00073, Praq.g_00041, Praq.g_00080, Praq.g_00547	Syab.g_02230
OG0000022	Praq.g_01296	Syab.g_01825
OG0000023	Praq.g_01184	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Praq.g_00618, Praq.g_00804	Syab.g_01834
OG0000025	Praq.g_01671, Praq.g_01432	Syab.g_01705
OG0000026	Praq.g_01633	Syab.g_00036
OG0000027	Praq.g_00521	Syab.g_01782
OG0000028	Praq.g_00103, Praq.g_01682	Syab.g_00234
OG0000030	Praq.g_00772	Syab.g_00096, Syab.g_00095
OG0000031	Praq.g_00209	Syab.g_00160
OG0000032	Praq.g_00202	Syab.g_00149
OG0000034	Praq.g_00143	Syab.g_00900, Syab.g_02560
OG0000035	Praq.g_00294	Syab.g_00776, Syab.g_00778
OG0000037	Praq.g_01894	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Praq.g_00716	Syab.g_02759, Syab.g_02761
OG0000039	Praq.g_00815	Syab.g_02791
OG0000040	Praq.g_01313	Syab.g_02853
OG0000041	Praq.g_00451	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Praq.g_00770	Syab.g_01019, Syab.g_00099
OG0000044	Praq.g_00058	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Praq.g_01172	Syab.g_01787
OG0000045	Praq.g_00567	Syab.g_00871
OG0000047	Praq.g_01672, Praq.g_01137	Syab.g_00876
OG0000048	Praq.g_01169	Syab.g_00308
OG0000053	Praq.g_01246, Praq.g_00314	Syab.g_00746
OG0000054	Praq.g_00996	Syab.g_01932
OG0000055	Praq.g_00650	Syab.g_01255
OG0000057	Praq.g_00827	Syab.g_01200
OG0000059	Praq.g_00927	Syab.g_00397
OG0000061	Praq.g_01333	Syab.g_00969
OG0000062	Praq.g_00372	Syab.g_02234
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syab.g_00040
OG0000065	Praq.g_01896	Syab.g_02500, Syab.g_01768
OG0000066	Praq.g_01063	Syab.g_01516, Syab.g_02031
OG0000067	Praq.g_00670	Syab.g_01659
OG0000068	Praq.g_00175	Syab.g_02087
OG0000070	Praq.g_01107	Syab.g_00614
OG0000071	Praq.g_00133	Syab.g_00915
OG0000072	Praq.g_01831	Syab.g_02593
OG0000073	Praq.g_01103	Syab.g_02119
OG0000075	Praq.g_00739	Syab.g_00202
OG0000076	Praq.g_01243, Praq.g_00763	Syab.g_00113
OG0000077	Praq.g_01925	Syab.g_02446
OG0000078	Praq.g_01763	Syab.g_02366
OG0000081	Praq.g_01071	Syab.g_01793
OG0000082	Praq.g_01018	Syab.g_01971
