Orthogroup	Praq	Prbi
OG0000000	Praq.g_00117	Prbi.g_01373
OG0000000	Praq.g_00026	Prbi.g_01709
OG0000000	Praq.g_00025	Prbi.g_01268
OG0000000	Praq.g_00025	Prbi.g_01708
OG0000000	Praq.g_01392	Prbi.g_01268
OG0000000	Praq.g_01392	Prbi.g_01708
OG0000000	Praq.g_00028	Prbi.g_01371
OG0000001	Praq.g_00160	Prbi.g_01424
OG0000001	Praq.g_01394	Prbi.g_01270
OG0000002	Praq.g_00168	Prbi.g_01432
OG0000002	Praq.g_00807	Prbi.g_00681
OG0000004	Praq.g_00824	Prbi.g_00698
OG0000004	Praq.g_01770	Prbi.g_00256
OG0000005	Praq.g_00484	Prbi.g_01800
OG0000005	Praq.g_00370	Prbi.g_01666
OG0000006	Praq.g_01761	Prbi.g_00265
OG0000007	Praq.g_01105	Prbi.g_00500
OG0000007	Praq.g_00497	Prbi.g_01787
OG0000008	Praq.g_00071	Prbi.g_01764
OG0000008	Praq.g_00801	Prbi.g_00675
OG0000009	Praq.g_00017	Prbi.g_01701
OG0000009	Praq.g_01898	Prbi.g_00112
OG0000010	Praq.g_00525	Prbi.g_00477
OG0000010	Praq.g_01626	Prbi.g_01094
OG0000011	Praq.g_00110	Prbi.g_01361
OG0000012	Praq.g_00979	Prbi.g_00625
OG0000013	Praq.g_01675	Prbi.g_00351
OG0000014	Praq.g_01696	Prbi.g_00330
OG0000015	Praq.g_00065	Prbi.g_01304
OG0000017	Praq.g_01004	Prbi.g_00600
OG0000018	Praq.g_01425	Prbi.g_00874
OG0000018	Praq.g_01314	Prbi.g_01188
OG0000019	Praq.g_01753	Prbi.g_00273
OG0000019	Praq.g_00649	Prbi.g_00827
OG0000020	Praq.g_01281	Prbi.g_01153
OG0000021	Praq.g_01179	Prbi.g_00389
OG0000022	Praq.g_01296	Prbi.g_01170
OG0000022	Praq.g_00635	Prbi.g_00805
OG0000023	Praq.g_01184	Prbi.g_00384
OG0000024	Praq.g_00618	Prbi.g_00788
OG0000024	Praq.g_00804	Prbi.g_00678
OG0000025	Praq.g_01671	Prbi.g_00355
OG0000025	Praq.g_01432	Prbi.g_00882
OG0000026	Praq.g_01234	Prbi.g_00031
OG0000026	Praq.g_01633	Prbi.g_01101
OG0000027	Praq.g_00521	Prbi.g_00472
OG0000028	Praq.g_00103	Prbi.g_01319, Prbi.g_01768
OG0000028	Praq.g_01682	Prbi.g_00344
OG0000029	Praq.g_00627	Prbi.g_00796
OG0000029	Praq.g_01168	Prbi.g_00399
OG0000030	Praq.g_00772	Prbi.g_02004
OG0000031	Praq.g_00209	Prbi.g_01467
OG0000032	Praq.g_00202	Prbi.g_01497
OG0000033	Praq.g_01833	Prbi.g_00193
