locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prac.g_00001	gene	375				
Prac.g_00001	CDS	375				hypothetical protein
Prac.g_00002	gene	249				
Prac.g_00002	CDS	249				hypothetical protein
Prac.g_00003	gene	444				
Prac.g_00003	CDS	444				hypothetical protein
Prac.g_00004	gene	213				
Prac.g_00004	CDS	213				hypothetical protein
Prac.g_00005	gene	645				
Prac.g_00005	CDS	645				hypothetical protein
Prac.g_00006	gene	1044	purM			
Prac.g_00006	CDS	1044	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
Prac.g_00007	gene	1533	panC/cmk			
Prac.g_00007	CDS	1533	panC/cmk	2.7.4.25		Bifunctional pantoate ligase/cytidylate kinase
Prac.g_00008	gene	474				
Prac.g_00008	CDS	474		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
Prac.g_00009	gene	762	pebB			
Prac.g_00009	CDS	762	pebB	1.3.7.3		Phycoerythrobilin:ferredoxin oxidoreductase
Prac.g_00010	gene	711	pebA			
Prac.g_00010	CDS	711	pebA	1.3.7.2		15,16-dihydrobiliverdin:ferredoxin oxidoreductase
Prac.g_00011	gene	711	pbsA1			
Prac.g_00011	CDS	711	pbsA1	1.14.14.18		Heme oxygenase 1
Prac.g_00012	gene	432				
Prac.g_00012	CDS	432				hypothetical protein
Prac.g_00013	gene	1425	icd			
Prac.g_00013	CDS	1425	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
Prac.g_00014	gene	1350				
Prac.g_00014	CDS	1350				hypothetical protein
Prac.g_00015	gene	855				
Prac.g_00015	CDS	855				hypothetical protein
Prac.g_00016	gene	900	lip1			
Prac.g_00016	CDS	900	lip1	3.1.1.3		Lipase 1
Prac.g_00017	gene	1368	nhaS3			
Prac.g_00017	CDS	1368	nhaS3			High-affinity Na(+)/H(+) antiporter NhaS3
Prac.g_00018	gene	2565	malP			
Prac.g_00018	CDS	2565	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
Prac.g_00019	gene	456				
Prac.g_00019	CDS	456				hypothetical protein
Prac.g_00020	gene	333				
Prac.g_00020	CDS	333				hypothetical protein
Prac.g_00021	gene	76				
Prac.g_00021	tRNA	76				tRNA-Arg(cct)
Prac.g_00022	gene	750	rnc			
Prac.g_00022	CDS	750	rnc	3.1.26.3	COG0571	Ribonuclease 3
Prac.g_00023	gene	186				
Prac.g_00023	CDS	186				hypothetical protein
Prac.g_00024	gene	537	rimM			
Prac.g_00024	CDS	537	rimM		COG0806	Ribosome maturation factor RimM
Prac.g_00025	gene	1896	glmS			
Prac.g_00025	CDS	1896	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
Prac.g_00026	gene	246	psaC			
Prac.g_00026	CDS	246	psaC	1.97.1.12	COG1145	Photosystem I iron-sulfur center
Prac.g_00027	gene	240	acpP			
Prac.g_00027	CDS	240	acpP			Acyl carrier protein
Prac.g_00028	gene	1245	fabF			
