Orthogroup	Syap	Prbh
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prbh.g_00001
OG0000004	Syap.g_01987	Prbh.g_00548
OG0000005	Syap.g_01218	Prbh.g_00182
OG0000006	Syap.g_02770	Prbh.g_00538
OG0000007	Syap.g_00275	Prbh.g_00334
OG0000007	Syap.g_00621	Prbh.g_01782
OG0000010	Syap.g_02757	Prbh.g_00848, Prbh.g_01143
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbh.g_00452
OG0000014	Syap.g_01675	Prbh.g_00472
OG0000015	Syap.g_02606, Syap.g_00786	Prbh.g_00840, Prbh.g_01869
OG0000016	Syap.g_00404	Prbh.g_01336
OG0000018	Syap.g_02708	Prbh.g_00981
OG0000018	Syap.g_02010	Prbh.g_01305
OG0000019	Syap.g_01586	Prbh.g_00530, Prbh.g_01307
OG0000025	Syap.g_01846	Prbh.g_00988
OG0000028	Syap.g_01658	Prbh.g_00404, Prbh.g_00459
OG0000030	Syap.g_00787, Syap.g_00788	Prbh.g_01570
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Prbh.g_00064
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbh.g_01383
OG0000035	Syap.g_02125, Syap.g_02465	Prbh.g_00096, Prbh.g_00099
OG0000037	Syap.g_02492	Prbh.g_00674
OG0000038	Syap.g_00139	Prbh.g_01530
OG0000039	Syap.g_01749, Syap.g_01748	Prbh.g_00921
OG0000041	Syap.g_01510	Prbh.g_01734
OG0000042	Syap.g_01891, Syap.g_01120	Prbh.g_01573
OG0000043	Syap.g_01998	Prbh.g_01304
OG0000044	Syap.g_00378	Prbh.g_01794
OG0000045	Syap.g_02525	Prbh.g_01327
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbh.g_00451
OG0000048	Syap.g_02340	Prbh.g_00508
OG0000053	Syap.g_02006	Prbh.g_00120, Prbh.g_01834
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prbh.g_00223
OG0000057	Syap.g_01569	Prbh.g_00936
OG0000059	Syap.g_01918	Prbh.g_01695
OG0000061	Syap.g_00228	Prbh.g_01283
OG0000062	Syap.g_01220	Prbh.g_00184
OG0000063	Syap.g_01796	Prbh.g_01401
OG0000066	Syap.g_01972	Prbh.g_01856
OG0000067	Syap.g_00194	Prbh.g_00953
OG0000068	Syap.g_00108, Syap.g_00144	Prbh.g_00009
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prbh.g_00376
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbh.g_00382
OG0000071	Syap.g_01483	Prbh.g_01373
OG0000072	Syap.g_00555	Prbh.g_00611
OG0000073	Syap.g_01020	Prbh.g_00051
OG0000073	Syap.g_00273	Prbh.g_00330
OG0000075	Syap.g_01064, Syap.g_00664	Prbh.g_01607
OG0000076	Syap.g_01111	Prbh.g_01581
OG0000077	Syap.g_00416	Prbh.g_00704
OG0000078	Syap.g_01149	Prbh.g_00540
OG0000079	Syap.g_01589	Prbh.g_00527
OG0000080	Syap.g_01003, Syap.g_01707, Syap.g_00630, Syap.g_01035	Prbh.g_00069
OG0000085	Syap.g_00611	Prbh.g_01408
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbh.g_00642
OG0000088	Syap.g_01202	Prbh.g_00616
OG0000089	Syap.g_00115, Syap.g_02042	Prbh.g_00415
OG0000090	Syap.g_01451	Prbh.g_00296
OG0000091	Syap.g_01861	Prbh.g_01211
OG0000094	Syap.g_02781	Prbh.g_01130
OG0000095	Syap.g_01556	Prbh.g_01031
OG0000098	Syap.g_01975	Prbh.g_01935
OG0000099	Syap.g_01385	Prbh.g_00032
OG0000101	Syap.g_00472	Prbh.g_01644
OG0000102	Syap.g_01116	Prbh.g_01576
OG0000103	Syap.g_02607, Syap.g_02608	Prbh.g_01489
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbh.g_01480
OG0000105	Syap.g_01369, Syap.g_01368	Prbh.g_00505
OG0000107	Syap.g_02496	Prbh.g_01718
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prbh.g_00351
OG0000109	Syap.g_00279, Syap.g_02237	Prbh.g_00337
OG0000110	Syap.g_01313	Prbh.g_00254
OG0000111	Syap.g_01566, Syap.g_01568	Prbh.g_00937
OG0000112	Syap.g_02023	Prbh.g_01078
OG0000113	Syap.g_02714	Prbh.g_00976
OG0000114	Syap.g_01255	Prbh.g_00878
OG0000115	Syap.g_02004	Prbh.g_01344
OG0000116	Syap.g_00241	Prbh.g_01294
OG0000117	Syap.g_01889	Prbh.g_01255
OG0000118	Syap.g_02286	Prbh.g_01385
OG0000120	Syap.g_02075	Prbh.g_00031
OG0000121	Syap.g_02471	Prbh.g_00101
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbh.g_01637
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbh.g_01564
OG0000125	Syap.g_01046, Syap.g_01047	Prbh.g_01528
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prbh.g_01481
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Prbh.g_01938
OG0000128	Syap.g_00069	Prbh.g_01953
OG0000129	Syap.g_00130, Syap.g_00129	Prbh.g_00738
OG0000130	Syap.g_01688, Syap.g_01689	Prbh.g_00713
OG0000131	Syap.g_02189	Prbh.g_00637
OG0000132	Syap.g_01205	Prbh.g_00618
OG0000133	Syap.g_02017	Prbh.g_00457
OG0000134	Syap.g_02047	Prbh.g_00413
OG0000135	Syap.g_02090	Prbh.g_01825
OG0000136	Syap.g_00089	Prbh.g_00391
OG0000137	Syap.g_02756	Prbh.g_00356
OG0000138	Syap.g_00278	Prbh.g_00336
OG0000139	Syap.g_00410	Prbh.g_00292
OG0000140	Syap.g_01976	Prbh.g_00291
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbh.g_00222
OG0000142	Syap.g_00895, Syap.g_00894	Prbh.g_01218
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbh.g_01215
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbh.g_01201
OG0000145	Syap.g_01860, Syap.g_01859	Prbh.g_01880
OG0000146	Syap.g_02024	Prbh.g_01077
OG0000147	Syap.g_02025	Prbh.g_01076
OG0000148	Syap.g_02720	Prbh.g_00970
OG0000149	Syap.g_00824	Prbh.g_01002
OG0000150	Syap.g_01540	Prbh.g_01012
OG0000151	Syap.g_00142	Prbh.g_00888
OG0000152	Syap.g_02012	Prbh.g_01086
OG0000153	Syap.g_02682	Prbh.g_01104
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbh.g_01121
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbh.g_01261
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbh.g_01362
OG0000157	Syap.g_00249, Syap.g_00286	Prbh.g_01363
OG0000158	Syap.g_01075	Prbh.g_01599
OG0000159	Syap.g_00700	Prbh.g_00039
OG0000159	Syap.g_00852	Prbh.g_00722
OG0000160	Syap.g_02470, Syap.g_02469	Prbh.g_00100
OG0000161	Syap.g_02476	Prbh.g_01288, Prbh.g_00106
OG0000162	Syap.g_02531	Prbh.g_00112
OG0000164	Syap.g_01391, Syap.g_01392	Prbh.g_01758
OG0000165	Syap.g_01381, Syap.g_01382	Prbh.g_01750
OG0000166	Syap.g_00512, Syap.g_01238	Prbh.g_01681
OG0000167	Syap.g_02080	Prbh.g_01609
OG0000168	Syap.g_01076	Prbh.g_01598
OG0000169	Syap.g_01049, Syap.g_01093	Prbh.g_01588
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbh.g_01585
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbh.g_01565
OG0000172	Syap.g_01143, Syap.g_00635	Prbh.g_01558
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prbh.g_01543
OG0000174	Syap.g_02092	Prbh.g_01512
OG0000175	Syap.g_02654	Prbh.g_01500
OG0000176	Syap.g_00059	Prbh.g_01472
OG0000177	Syap.g_00061, Syap.g_00060	Prbh.g_01471
OG0000178	Syap.g_00062	Prbh.g_01470
OG0000179	Syap.g_00077, Syap.g_02638	Prbh.g_00764
OG0000180	Syap.g_00078, Syap.g_02640	Prbh.g_00763
OG0000181	Syap.g_00079, Syap.g_02641	Prbh.g_00762
OG0000182	Syap.g_00080, Syap.g_02642	Prbh.g_00761
OG0000183	Syap.g_00084	Prbh.g_00757
OG0000184	Syap.g_01337	Prbh.g_00734
OG0000185	Syap.g_01322	Prbh.g_00731
OG0000186	Syap.g_01684	Prbh.g_00719
OG0000187	Syap.g_01686	Prbh.g_00718
OG0000188	Syap.g_02547	Prbh.g_00701
OG0000191	Syap.g_02233	Prbh.g_00664
OG0000192	Syap.g_02224	Prbh.g_00659
OG0000193	Syap.g_02187, Syap.g_02188	Prbh.g_00636
OG0000194	Syap.g_02183	Prbh.g_00633
OG0000195	Syap.g_02180	Prbh.g_00631
OG0000196	Syap.g_01208, Syap.g_02167	Prbh.g_00621
OG0000197	Syap.g_01207, Syap.g_02166	Prbh.g_00620
OG0000198	Syap.g_01206	Prbh.g_00619
OG0000199	Syap.g_01197	Prbh.g_00612
OG0000200	Syap.g_01181	Prbh.g_00599
OG0000201	Syap.g_02265	Prbh.g_00590
OG0000202	Syap.g_02264	Prbh.g_00589
OG0000203	Syap.g_01601	Prbh.g_00588
OG0000204	Syap.g_01602	Prbh.g_00587
OG0000205	Syap.g_01616	Prbh.g_00580
OG0000206	Syap.g_01628	Prbh.g_00575
OG0000207	Syap.g_01426, Syap.g_00424	Prbh.g_00573
OG0000208	Syap.g_00426, Syap.g_01425	Prbh.g_00572
OG0000209	Syap.g_01906	Prbh.g_00563
OG0000210	Syap.g_01905	Prbh.g_00562
OG0000211	Syap.g_01160	Prbh.g_00547
OG0000212	Syap.g_02664	Prbh.g_00539
OG0000213	Syap.g_00107, Syap.g_01599	Prbh.g_00521
OG0000214	Syap.g_02344, Syap.g_02345	Prbh.g_00512
OG0000215	Syap.g_01347, Syap.g_01629	Prbh.g_00485
OG0000216	Syap.g_01634	Prbh.g_00484
OG0000217	Syap.g_01638	Prbh.g_00481
OG0000218	Syap.g_01641, Syap.g_01640	Prbh.g_00479
OG0000219	Syap.g_01642, Syap.g_01643	Prbh.g_00478
OG0000220	Syap.g_01645	Prbh.g_00477
OG0000221	Syap.g_01646	Prbh.g_00476
OG0000222	Syap.g_01669	Prbh.g_00469
OG0000223	Syap.g_02072, Syap.g_02073	Prbh.g_00456
OG0000224	Syap.g_02064	Prbh.g_00454
OG0000225	Syap.g_00553, Syap.g_00552	Prbh.g_00426
OG0000226	Syap.g_02029, Syap.g_02144	Prbh.g_00422
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prbh.g_00420
OG0000228	Syap.g_00116, Syap.g_02041	Prbh.g_00416
OG0000229	Syap.g_02059	Prbh.g_00396
OG0000230	Syap.g_02061	Prbh.g_00394
OG0000231	Syap.g_02533	Prbh.g_00383
OG0000232	Syap.g_02510, Syap.g_02511	Prbh.g_00370
OG0000233	Syap.g_02133	Prbh.g_00365
OG0000234	Syap.g_02755	Prbh.g_00355
OG0000235	Syap.g_00732, Syap.g_02258	Prbh.g_00352
OG0000236	Syap.g_02238	Prbh.g_00338
OG0000237	Syap.g_00262, Syap.g_00263	Prbh.g_00324
OG0000238	Syap.g_00257, Syap.g_00258	Prbh.g_00318
OG0000239	Syap.g_02744	Prbh.g_00305
OG0000240	Syap.g_02742	Prbh.g_00304
OG0000241	Syap.g_00888	Prbh.g_00299
OG0000242	Syap.g_01455	Prbh.g_00297
OG0000243	Syap.g_01938	Prbh.g_00287
OG0000244	Syap.g_01146, Syap.g_01145	Prbh.g_00284
OG0000245	Syap.g_01148	Prbh.g_00282
OG0000246	Syap.g_00308	Prbh.g_00278
OG0000247	Syap.g_00288, Syap.g_00293	Prbh.g_00267
OG0000248	Syap.g_00290	Prbh.g_00264
OG0000249	Syap.g_01296, Syap.g_01295	Prbh.g_00262
