Orthogroup	Syap	Prbj
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Prbj.g_01549, Prbj.g_02662
OG0000001	Syap.g_00399	Prbj.g_02690
OG0000004	Syap.g_01987	Prbj.g_01777
OG0000005	Syap.g_01218	Prbj.g_00883
OG0000006	Syap.g_02770	Prbj.g_02699
OG0000007	Syap.g_00275	Prbj.g_01610
OG0000007	Syap.g_00621	Prbj.g_00857
OG0000009	Syap.g_02081	Prbj.g_01300, Prbj.g_00618
OG0000010	Syap.g_02757	Prbj.g_00129
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbj.g_00359
OG0000014	Syap.g_01675	Prbj.g_01442
OG0000015	Syap.g_02606, Syap.g_00786	Prbj.g_02502
OG0000018	Syap.g_02010	Prbj.g_00641
OG0000019	Syap.g_01586	Prbj.g_01349
OG0000025	Syap.g_01846	Prbj.g_02475
OG0000028	Syap.g_01658	Prbj.g_01457
OG0000030	Syap.g_00787	Prbj.g_01288
OG0000030	Syap.g_00788	Prbj.g_01287
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Prbj.g_01522, Prbj.g_01527
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prbj.g_01468
OG0000033	Syap.g_01198	Prbj.g_00518
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbj.g_01740
OG0000035	Syap.g_02125, Syap.g_02465	Prbj.g_01056
OG0000037	Syap.g_02492	Prbj.g_00624
OG0000038	Syap.g_00139	Prbj.g_01961
OG0000039	Syap.g_01749, Syap.g_01748	Prbj.g_00429, Prbj.g_00278
OG0000042	Syap.g_01891, Syap.g_01120	Prbj.g_01808, Prbj.g_00001
OG0000044	Syap.g_00378	Prbj.g_01330, Prbj.g_00194, Prbj.g_02695, Prbj.g_00726
OG0000045	Syap.g_02525	Prbj.g_00563
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbj.g_00358
