Orthogroup	Syap	Syaa
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syaa.g_02439
OG0000004	Syap.g_01987	Syaa.g_02116
OG0000005	Syap.g_01773	Syaa.g_00534
OG0000005	Syap.g_01218	Syaa.g_00573
OG0000006	Syap.g_02770	Syaa.g_01611
OG0000007	Syap.g_00275	Syaa.g_02032
OG0000007	Syap.g_00621	Syaa.g_00551
OG0000009	Syap.g_02081	Syaa.g_02378
OG0000010	Syap.g_02757	Syaa.g_01843
OG0000013	Syap.g_00972	Syaa.g_02217
OG0000014	Syap.g_01675	Syaa.g_00222
OG0000014	Syap.g_00813	Syaa.g_00481
OG0000015	Syap.g_02606	Syaa.g_02739
OG0000016	Syap.g_00071	Syaa.g_00014
OG0000018	Syap.g_02010	Syaa.g_01801
OG0000019	Syap.g_01586	Syaa.g_00307
OG0000025	Syap.g_01846	Syaa.g_00839
OG0000027	Syap.g_01440	Syaa.g_01605
OG0000028	Syap.g_01658	Syaa.g_00205
OG0000030	Syap.g_00787	Syaa.g_00099
OG0000030	Syap.g_00788	Syaa.g_00098
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syaa.g_00200
OG0000033	Syap.g_01198	Syaa.g_02478, Syaa.g_00485
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syaa.g_00722, Syaa.g_02444
OG0000035	Syap.g_02125, Syap.g_02465	Syaa.g_01773
OG0000037	Syap.g_02492	Syaa.g_02384
OG0000039	Syap.g_01749, Syap.g_01748	Syaa.g_00846
OG0000040	Syap.g_01819	Syaa.g_02690
OG0000042	Syap.g_01891, Syap.g_01120	Syaa.g_00103
OG0000044	Syap.g_00378	Syaa.g_00363
OG0000045	Syap.g_02525	Syaa.g_01518
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syaa.g_02218
OG0000048	Syap.g_02340	Syaa.g_00275, Syaa.g_02719
OG0000051	Syap.g_01574	Syaa.g_01531
OG0000053	Syap.g_02006	Syaa.g_01797
