Orthogroup	Syap	Pram
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Pram.g_01954, Pram.g_01953
OG0000004	Syap.g_01987	Pram.g_00219
OG0000005	Syap.g_01218	Pram.g_01295
OG0000006	Syap.g_02770	Pram.g_00229
OG0000007	Syap.g_00275	Pram.g_00433
OG0000007	Syap.g_00621	Pram.g_01632
OG0000010	Syap.g_02757	Pram.g_00704, Pram.g_01000
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Pram.g_00315
OG0000014	Syap.g_01675	Pram.g_00295
OG0000015	Syap.g_02606, Syap.g_00786	Pram.g_00696, Pram.g_01545
OG0000016	Syap.g_00404	Pram.g_01193
OG0000018	Syap.g_02708	Pram.g_00837
OG0000018	Syap.g_02010	Pram.g_01162
OG0000019	Syap.g_01586	Pram.g_00237, Pram.g_01164
OG0000025	Syap.g_01846	Pram.g_00844
OG0000028	Syap.g_01658	Pram.g_00363, Pram.g_00308
OG0000030	Syap.g_00787, Syap.g_00788	Pram.g_01844
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Pram.g_01413
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Pram.g_01240
OG0000035	Syap.g_02125, Syap.g_02465	Pram.g_01381, Pram.g_01378
OG0000037	Syap.g_02492	Pram.g_00093
OG0000038	Syap.g_00139	Pram.g_01884
OG0000039	Syap.g_01749, Syap.g_01748	Pram.g_00777
OG0000041	Syap.g_01510	Pram.g_01680
OG0000042	Syap.g_01891, Syap.g_01120	Pram.g_01841
OG0000043	Syap.g_01998	Pram.g_01161
OG0000044	Syap.g_00378	Pram.g_01620
OG0000045	Syap.g_02525	Pram.g_01184
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Pram.g_00316
OG0000048	Syap.g_02340	Pram.g_00259
OG0000053	Syap.g_02006	Pram.g_01357, Pram.g_01580
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Pram.g_00544
OG0000057	Syap.g_01569	Pram.g_00792
OG0000059	Syap.g_01918	Pram.g_01719
OG0000061	Syap.g_00228	Pram.g_01140
OG0000062	Syap.g_01220	Pram.g_01293
OG0000063	Syap.g_01796	Pram.g_01258
OG0000066	Syap.g_01972	Pram.g_01558
OG0000067	Syap.g_00194	Pram.g_00809
