Orthogroup	Syap	Syar
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syar.g_00070
OG0000001	Syap.g_00399	Syar.g_02229
OG0000003	Syap.g_00679	Syar.g_00836
OG0000004	Syap.g_01987	Syar.g_00842
OG0000005	Syap.g_01773	Syar.g_02952
OG0000005	Syap.g_01218	Syar.g_02909
OG0000006	Syap.g_02770	Syar.g_02439
OG0000007	Syap.g_00275	Syar.g_01491
OG0000007	Syap.g_00621	Syar.g_02929
OG0000009	Syap.g_02081	Syar.g_03116
OG0000010	Syap.g_02757	Syar.g_01272
OG0000013	Syap.g_01397	Syar.g_03281
OG0000013	Syap.g_00972	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syap.g_01675	Syar.g_00825
OG0000014	Syap.g_00813	Syar.g_02736
OG0000015	Syap.g_02606	Syar.g_00451
OG0000015	Syap.g_00786	Syar.g_00180
OG0000016	Syap.g_00071, Syap.g_00404	Syar.g_02859
OG0000017	Syap.g_00449	Syar.g_02188
OG0000018	Syap.g_02010	Syar.g_01409
OG0000019	Syap.g_01586	Syar.g_00163
OG0000025	Syap.g_01846	Syar.g_01811
OG0000027	Syap.g_01440	Syar.g_02055
OG0000028	Syap.g_01658	Syar.g_00718
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syar.g_00714
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syar.g_00543
OG0000033	Syap.g_01198	Syar.g_00105
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syar.g_00074, Syar.g_02790
OG0000035	Syap.g_02465	Syar.g_02809
OG0000037	Syap.g_02492	Syar.g_01310, Syar.g_02856
OG0000038	Syap.g_00139	Syar.g_00336
OG0000039	Syap.g_01749, Syap.g_01748	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Syap.g_01819	Syar.g_00858
OG0000041	Syap.g_01510	Syar.g_02993
OG0000042	Syap.g_01891	Syar.g_00595, Syar.g_01970
OG0000044	Syap.g_00378	Syar.g_02052, Syar.g_02167
OG0000045	Syap.g_02525	Syar.g_02592
OG0000046	Syap.g_00973	Syar.g_01102, Syar.g_01105
OG0000048	Syap.g_02340	Syar.g_00213
OG0000051	Syap.g_01574	Syar.g_01597
OG0000053	Syap.g_02006	Syar.g_01413
OG0000054	Syap.g_02652	Syar.g_02265
OG0000057	Syap.g_01569	Syar.g_01941, Syar.g_00006
OG0000058	Syap.g_02074	Syar.g_00648
OG0000059	Syap.g_01918	Syar.g_01024
OG0000061	Syap.g_00228	Syar.g_01539
OG0000062	Syap.g_01365	Syar.g_01439
OG0000062	Syap.g_01220	Syar.g_02911
OG0000063	Syap.g_01796	Syar.g_00509
OG0000066	Syap.g_01972	Syar.g_03187, Syar.g_02228
OG0000067	Syap.g_00194	Syar.g_02639
OG0000068	Syap.g_00108, Syap.g_00144	Syar.g_02329
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Syar.g_01716
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syar.g_02223
OG0000071	Syap.g_01483	Syar.g_02777
OG0000072	Syap.g_00555	Syar.g_01140
OG0000073	Syap.g_01020	Syar.g_01364
OG0000073	Syap.g_00273	Syar.g_01493
OG0000075	Syap.g_00664	Syar.g_03065
OG0000076	Syap.g_01111	Syar.g_00608
OG0000077	Syap.g_00416	Syar.g_03051
OG0000078	Syap.g_01149	Syar.g_03018
OG0000079	Syap.g_01589	Syar.g_00166
OG0000080	Syap.g_01035	Syar.g_00585
OG0000085	Syap.g_00611	Syar.g_02919
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syar.g_00068
OG0000088	Syap.g_01202	Syar.g_00101
OG0000089	Syap.g_00115, Syap.g_02042	Syar.g_01162
OG0000090	Syap.g_01451	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syap.g_01861	Syar.g_02426
OG0000094	Syap.g_02781	Syar.g_01789
OG0000095	Syap.g_01556	Syar.g_01932
OG0000098	Syap.g_01975	Syar.g_02343
OG0000099	Syap.g_01385	Syar.g_00715
OG0000101	Syap.g_00472	Syar.g_01073
OG0000102	Syap.g_01116	Syar.g_00602
OG0000103	Syap.g_02607, Syap.g_02608	Syar.g_00452
OG0000104	Syap.g_02318	Syar.g_00466
OG0000105	Syap.g_01369, Syap.g_01368	Syar.g_00218
OG0000107	Syap.g_02496	Syar.g_00149
OG0000108	Syap.g_00733, Syap.g_02255	Syar.g_01469
OG0000109	Syap.g_00279, Syap.g_02237	Syar.g_01485
OG0000110	Syap.g_01313	Syar.g_02295
OG0000111	Syap.g_01566, Syap.g_01568	Syar.g_01940, Syar.g_00005
OG0000112	Syap.g_02023	Syar.g_02548
OG0000113	Syap.g_02714	Syar.g_02664
OG0000114	Syap.g_01255	Syar.g_01616
OG0000115	Syap.g_02004	Syar.g_01415
OG0000116	Syap.g_00241	Syar.g_01525
OG0000117	Syap.g_01889	Syar.g_01969
OG0000118	Syap.g_02286	Syar.g_02793
OG0000120	Syap.g_02075	Syar.g_00713
OG0000121	Syap.g_02471	Syar.g_02806
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syar.g_01079
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syar.g_00586
OG0000125	Syap.g_01046, Syap.g_01047	Syar.g_00338
OG0000126	Syap.g_02576	Syar.g_00887, Syar.g_00888
OG0000128	Syap.g_00069	Syar.g_00482
OG0000129	Syap.g_00130, Syap.g_00129	Syar.g_00324
OG0000130	Syap.g_01688, Syap.g_01689	Syar.g_03040
