Orthogroup	Syap	Prah
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Prah.g_02270
OG0000001	Syap.g_00399	Prah.g_00896
OG0000003	Syap.g_00679	Prah.g_02448
OG0000004	Syap.g_01987	Prah.g_01413
OG0000005	Syap.g_01218	Prah.g_01652
OG0000006	Syap.g_02770	Prah.g_00475, Prah.g_01767
OG0000007	Syap.g_00275	Prah.g_01546
OG0000007	Syap.g_00621	Prah.g_01676
OG0000009	Syap.g_02081	Prah.g_00432, Prah.g_01895
OG0000010	Syap.g_02757	Prah.g_00311
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prah.g_01956
OG0000014	Syap.g_01675	Prah.g_02171
OG0000015	Syap.g_02606, Syap.g_00786	Prah.g_01155, Prah.g_00576
OG0000016	Syap.g_00071	Prah.g_00015
OG0000018	Syap.g_02010	Prah.g_00378
OG0000019	Syap.g_01586	Prah.g_02086
OG0000025	Syap.g_01846	Prah.g_00604
OG0000028	Syap.g_01658	Prah.g_02184
OG0000030	Syap.g_00787	Prah.g_00132
OG0000030	Syap.g_00788	Prah.g_00131
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Prah.g_02248
OG0000031	Syap.g_00722	Prah.g_00091
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prah.g_02196
OG0000033	Syap.g_01198	Prah.g_02307
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prah.g_01376
OG0000035	Syap.g_02125, Syap.g_02465	Prah.g_00408
OG0000037	Syap.g_02492	Prah.g_01901
OG0000038	Syap.g_00139	Prah.g_02496
OG0000039	Syap.g_01749, Syap.g_01748	Prah.g_01758, Prah.g_02382
OG0000042	Syap.g_01891, Syap.g_01120	Prah.g_00135, Prah.g_01256
OG0000043	Syap.g_01998	Prah.g_01190
OG0000044	Syap.g_00378	Prah.g_00994, Prah.g_00343
OG0000045	Syap.g_02525	Prah.g_01837
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prah.g_01955
OG0000048	Syap.g_02340	Prah.g_02122
OG0000051	Syap.g_01574	Prah.g_01166, Prah.g_00717
OG0000053	Syap.g_02006	Prah.g_00381
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prah.g_01394
OG0000057	Syap.g_01569	Prah.g_01027
OG0000058	Syap.g_02074	Prah.g_02195
OG0000059	Syap.g_01918	Prah.g_02043
OG0000060	Syap.g_00795	Prah.g_01156
OG0000061	Syap.g_00870	Prah.g_00104
OG0000061	Syap.g_00228	Prah.g_01322
OG0000062	Syap.g_01220	Prah.g_01654
OG0000063	Syap.g_01796	Prah.g_00042
OG0000066	Syap.g_01972	Prah.g_01485
OG0000068	Syap.g_00108, Syap.g_00144	Prah.g_01576
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prah.g_00252
OG0000071	Syap.g_01483	Prah.g_01364
OG0000072	Syap.g_00555	Prah.g_02309
OG0000073	Syap.g_00273	Prah.g_01544
OG0000075	Syap.g_01064, Syap.g_00664	Prah.g_02232
OG0000076	Syap.g_01111	Prah.g_00150
OG0000078	Syap.g_01149	Prah.g_01773
OG0000079	Syap.g_01589	Prah.g_02090, Prah.g_01868
OG0000085	Syap.g_00611	Prah.g_01666
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prah.g_02268
OG0000088	Syap.g_01202	Prah.g_00957
OG0000089	Syap.g_00115, Syap.g_02042	Prah.g_00205
OG0000090	Syap.g_01451	Prah.g_01501
OG0000091	Syap.g_01861	Prah.g_00493
OG0000094	Syap.g_02781	Prah.g_02518
OG0000095	Syap.g_01556	Prah.g_00915
OG0000098	Syap.g_01975	Prah.g_00327
OG0000099	Syap.g_01385	Prah.g_02191
OG0000102	Syap.g_01116	Prah.g_00144
OG0000103	Syap.g_02607, Syap.g_02608	Prah.g_02586
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prah.g_02600
OG0000105	Syap.g_01369, Syap.g_01368	Prah.g_02126
OG0000107	Syap.g_02496	Prah.g_02072
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prah.g_01566
OG0000109	Syap.g_00279, Syap.g_02237	Prah.g_01550
OG0000110	Syap.g_01313	Prah.g_01439
OG0000111	Syap.g_01566, Syap.g_01568	Prah.g_01028
OG0000112	Syap.g_02023	Prah.g_00788
OG0000113	Syap.g_02714	Prah.g_00641
OG0000114	Syap.g_01255	Prah.g_00733
OG0000115	Syap.g_02004	Prah.g_00383
OG0000116	Syap.g_00241	Prah.g_01337
OG0000117	Syap.g_01889	Prah.g_01257
OG0000118	Syap.g_02286	Prah.g_01378
OG0000120	Syap.g_02075	Prah.g_02192
OG0000121	Syap.g_02471	Prah.g_00406
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prah.g_01987
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prah.g_00125
OG0000125	Syap.g_01046, Syap.g_01047	Prah.g_02498
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prah.g_02598
OG0000127	Syap.g_00736	Prah.g_01085, Prah.g_01083
OG0000128	Syap.g_00069	Prah.g_00013
OG0000129	Syap.g_00130, Syap.g_00129	Prah.g_02486
OG0000130	Syap.g_01688, Syap.g_01689	Prah.g_01838
OG0000131	Syap.g_02189	Prah.g_02282
OG0000132	Syap.g_01205	Prah.g_02302
OG0000133	Syap.g_02017	Prah.g_02187
OG0000134	Syap.g_02047	Prah.g_00208
OG0000135	Syap.g_02090	Prah.g_02538
OG0000136	Syap.g_00089	Prah.g_00235
OG0000137	Syap.g_02756	Prah.g_00312
