Orthogroup	Syap	Prai
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prai.g_01235, Prai.g_01356
OG0000004	Syap.g_01987	Prai.g_00243
OG0000005	Syap.g_01773	Prai.g_01651
OG0000005	Syap.g_01218	Prai.g_01538
OG0000006	Syap.g_02770	Prai.g_00252, Prai.g_00254
OG0000007	Syap.g_00275	Prai.g_00527
OG0000007	Syap.g_00621	Prai.g_01638
OG0000009	Syap.g_02081	Prai.g_00105
OG0000010	Syap.g_02757	Prai.g_01292, Prai.g_01067
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prai.g_00340
OG0000014	Syap.g_01675	Prai.g_00319
OG0000015	Syap.g_02606, Syap.g_00786	Prai.g_01243
OG0000016	Syap.g_00071	Prai.g_00013
OG0000017	Syap.g_00449	Prai.g_00626
OG0000018	Syap.g_02708	Prai.g_00820
OG0000018	Syap.g_02010	Prai.g_01153
OG0000019	Syap.g_01586	Prai.g_00262, Prai.g_00867
OG0000025	Syap.g_01846	Prai.g_00344, Prai.g_00812
OG0000027	Syap.g_01440	Prai.g_00904
OG0000028	Syap.g_01658	Prai.g_01297, Prai.g_00333
OG0000030	Syap.g_00787, Syap.g_00788	Prai.g_01848
OG0000031	Syap.g_00722	Prai.g_01444
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prai.g_01345
OG0000035	Syap.g_02125, Syap.g_02465	Prai.g_01463
OG0000037	Syap.g_02492	Prai.g_00109
OG0000038	Syap.g_00139	Prai.g_01890
OG0000039	Syap.g_01749, Syap.g_01748	Prai.g_00715
OG0000041	Syap.g_01510	Prai.g_01684
OG0000042	Syap.g_01891, Syap.g_01120	Prai.g_01845
OG0000043	Syap.g_01998	Prai.g_00910
OG0000045	Syap.g_02525	Prai.g_01274
OG0000048	Syap.g_02340	Prai.g_00387
OG0000051	Syap.g_01574	Prai.g_01263, Prai.g_00434
OG0000053	Syap.g_02006	Prai.g_01483
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prai.g_00634
OG0000057	Syap.g_01569	Prai.g_00727
OG0000059	Syap.g_01082, Syap.g_02478	Prai.g_01425
OG0000059	Syap.g_01918	Prai.g_01725
OG0000061	Syap.g_00228	Prai.g_01171
OG0000062	Syap.g_01220	Prai.g_01540
OG0000063	Syap.g_01796	Prai.g_00033, Prai.g_01261
OG0000066	Syap.g_01972	Prai.g_00567
OG0000067	Syap.g_00194	Prai.g_00848
