Orthogroup	Syap	Syai
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syai.g_00891, Syai.g_02595
OG0000004	Syap.g_01987	Syai.g_00530
OG0000005	Syap.g_01773	Syai.g_02393
OG0000005	Syap.g_01218	Syai.g_02356
OG0000006	Syap.g_02770	Syai.g_01126
OG0000007	Syap.g_00275	Syai.g_00657
OG0000007	Syap.g_00621	Syai.g_02378
OG0000009	Syap.g_02081	Syai.g_02541
OG0000010	Syap.g_02757	Syai.g_00864
OG0000013	Syap.g_00972	Syai.g_00436
OG0000014	Syap.g_01675	Syai.g_00220
OG0000016	Syap.g_00071	Syai.g_00014
OG0000018	Syap.g_02010	Syai.g_00915
OG0000019	Syap.g_01586	Syai.g_00304
OG0000025	Syap.g_01846	Syai.g_02044
OG0000027	Syap.g_01440	Syai.g_01128
OG0000028	Syap.g_01658	Syai.g_00205
OG0000030	Syap.g_00787	Syai.g_00096
OG0000030	Syap.g_00788	Syai.g_00095
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syai.g_00197
OG0000033	Syap.g_01198	Syai.g_02634
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syai.g_02192, Syai.g_02604
OG0000035	Syap.g_02125, Syap.g_02465	Syai.g_00955
OG0000037	Syap.g_02492	Syai.g_02815
OG0000039	Syap.g_01749, Syap.g_01748	Syai.g_02034
OG0000040	Syap.g_01819	Syai.g_02876
OG0000042	Syap.g_01891, Syap.g_01120	Syai.g_00099
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syai.g_00435
OG0000048	Syap.g_02340	Syai.g_00272
OG0000051	Syap.g_01574	Syai.g_01773
OG0000053	Syap.g_02006	Syai.g_00930
OG0000057	Syap.g_01569	Syai.g_01997
OG0000058	Syap.g_02074	Syai.g_00195
OG0000059	Syap.g_01918	Syai.g_00351
OG0000060	Syap.g_00795	Syai.g_01758
OG0000061	Syap.g_00228	Syai.g_02144
OG0000062	Syap.g_01220	Syai.g_02358
OG0000063	Syap.g_01796	Syai.g_00042
OG0000066	Syap.g_01972	Syai.g_01709, Syai.g_00719
OG0000067	Syap.g_00194	Syai.g_01321
OG0000068	Syap.g_00108, Syap.g_00144	Syai.g_00628
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syai.g_02196
OG0000073	Syap.g_00273	Syai.g_00659
OG0000075	Syap.g_01064, Syap.g_00664	Syai.g_00161
OG0000076	Syap.g_01111	Syai.g_00111
OG0000077	Syap.g_00416	Syai.g_02486
OG0000078	Syap.g_01149	Syai.g_00543
OG0000079	Syap.g_01589	Syai.g_00300
OG0000085	Syap.g_00611	Syai.g_02365
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syai.g_02592
OG0000088	Syap.g_01202	Syai.g_02630
OG0000089	Syap.g_00115, Syap.g_02042	Syai.g_00517
OG0000090	Syap.g_01451	Syai.g_00707
OG0000091	Syap.g_01861	Syai.g_01112
OG0000094	Syap.g_02781	Syai.g_01424
OG0000095	Syap.g_01556	Syai.g_02007
OG0000098	Syap.g_01975	Syai.g_01718
OG0000099	Syap.g_01385	Syai.g_00199
OG0000102	Syap.g_01116	Syai.g_00106
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syai.g_02929
OG0000105	Syap.g_01369, Syap.g_01368	Syai.g_00267
OG0000107	Syap.g_02496	Syai.g_00319
OG0000108	Syap.g_00733, Syap.g_02255	Syai.g_00638
OG0000110	Syap.g_01313	Syai.g_00766
OG0000111	Syap.g_01566, Syap.g_01568	Syai.g_01998
OG0000112	Syap.g_02023	Syai.g_01512
OG0000113	Syap.g_02714	Syai.g_01367
OG0000114	Syap.g_01255	Syai.g_01261
OG0000115	Syap.g_02004	Syai.g_00932
OG0000116	Syap.g_00241	Syai.g_02156
OG0000117	Syap.g_01889	Syai.g_01756
OG0000118	Syap.g_02286	Syai.g_00818
OG0000120	Syap.g_02075	Syai.g_00198
OG0000121	Syap.g_02471	Syai.g_00951
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syai.g_00411
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syai.g_00089
OG0000125	Syap.g_01046, Syap.g_01047	Syai.g_02782
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syai.g_02927
OG0000127	Syap.g_00736	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000127	Syap.g_00737, Syap.g_00735	Syai.g_02459
OG0000128	Syap.g_00069	Syai.g_00012
OG0000129	Syap.g_00130, Syap.g_00129	Syai.g_02771
OG0000130	Syap.g_01688, Syap.g_01689	Syai.g_02474
