Orthogroup	Syap	Prbf
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prbf.g_00068
OG0000004	Syap.g_01987	Prbf.g_01570
OG0000005	Syap.g_01218	Prbf.g_00240
OG0000006	Syap.g_02770	Prbf.g_01580
OG0000007	Syap.g_00275	Prbf.g_01780
OG0000007	Syap.g_00621	Prbf.g_00693
OG0000010	Syap.g_02757	Prbf.g_00847, Prbf.g_01056
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbf.g_01665
OG0000014	Syap.g_01675	Prbf.g_01647
OG0000015	Syap.g_02606, Syap.g_00786	Prbf.g_00754, Prbf.g_00708
OG0000016	Syap.g_00404	Prbf.g_00860
OG0000018	Syap.g_02708	Prbf.g_01217
OG0000018	Syap.g_02010	Prbf.g_00896
OG0000019	Syap.g_01586	Prbf.g_01588, Prbf.g_00894
OG0000025	Syap.g_01846	Prbf.g_01209
OG0000027	Syap.g_01440	Prbf.g_00817, Prbf.g_00774
OG0000028	Syap.g_01658	Prbf.g_00794
OG0000030	Syap.g_00787, Syap.g_00788	Prbf.g_00484
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Prbf.g_00116
OG0000033	Syap.g_01198	Prbf.g_00123
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbf.g_00015
OG0000035	Syap.g_02125, Syap.g_02465	Prbf.g_00157
OG0000037	Syap.g_02492	Prbf.g_01437
OG0000038	Syap.g_00139	Prbf.g_00445
OG0000039	Syap.g_01749, Syap.g_01748	Prbf.g_01276
OG0000041	Syap.g_01510	Prbf.g_00646
OG0000042	Syap.g_01891, Syap.g_01120	Prbf.g_00487
OG0000043	Syap.g_01998	Prbf.g_00897
OG0000045	Syap.g_02525	Prbf.g_00874
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbf.g_01666
OG0000048	Syap.g_02340	Prbf.g_00039
OG0000051	Syap.g_01574	Prbf.g_00340
OG0000053	Syap.g_02006	Prbf.g_00178, Prbf.g_00748
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prbf.g_01889
OG0000057	Syap.g_01569	Prbf.g_01261
OG0000058	Syap.g_02074	Prbf.g_00117
OG0000059	Syap.g_01918	Prbf.g_00606
OG0000061	Syap.g_00228	Prbf.g_00918
OG0000062	Syap.g_01220	Prbf.g_00242
OG0000063	Syap.g_01796	Prbf.g_00808
OG0000066	Syap.g_01972	Prbf.g_01820, Prbf.g_00781
OG0000067	Syap.g_00194	Prbf.g_01245
OG0000068	Syap.g_00108, Syap.g_00144	Prbf.g_00095
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prbf.g_01738
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbf.g_01734
OG0000071	Syap.g_01483	Prbf.g_00026
OG0000072	Syap.g_00555	Prbf.g_01505
OG0000073	Syap.g_00273	Prbf.g_01783
OG0000075	Syap.g_01064, Syap.g_00664	Prbf.g_00522
OG0000076	Syap.g_01111	Prbf.g_00496
OG0000077	Syap.g_00416	Prbf.g_01405
OG0000078	Syap.g_01149	Prbf.g_01578
OG0000079	Syap.g_01589	Prbf.g_01591
OG0000080	Syap.g_01707, Syap.g_00630, Syap.g_01035	Prbf.g_00129, Prbf.g_00131
OG0000085	Syap.g_00611	Prbf.g_00822, Prbf.g_00701
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbf.g_01469
OG0000088	Syap.g_01202	Prbf.g_01500
OG0000089	Syap.g_00115, Syap.g_02042	Prbf.g_01701
OG0000090	Syap.g_01451	Prbf.g_01814
OG0000091	Syap.g_01861	Prbf.g_00990
OG0000094	Syap.g_02781	Prbf.g_01068
OG0000095	Syap.g_01556	Prbf.g_01170
OG0000098	Syap.g_01975	Prbf.g_00071
OG0000099	Syap.g_01385	Prbf.g_00118
OG0000101	Syap.g_00472	Prbf.g_00558
OG0000102	Syap.g_01116	Prbf.g_00491
OG0000103	Syap.g_02607, Syap.g_02608	Prbf.g_00406
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbf.g_00397
OG0000105	Syap.g_01369, Syap.g_01368	Prbf.g_01614
OG0000107	Syap.g_02496	Prbf.g_00629
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prbf.g_01763
OG0000109	Syap.g_00279, Syap.g_02237	Prbf.g_01777
OG0000110	Syap.g_01313	Prbf.g_01856
OG0000111	Syap.g_01566, Syap.g_01568	Prbf.g_01260
OG0000112	Syap.g_02023	Prbf.g_01929
OG0000113	Syap.g_02714	Prbf.g_01222
OG0000114	Syap.g_01255	Prbf.g_01320
OG0000115	Syap.g_02004	Prbf.g_00062
OG0000116	Syap.g_00241	Prbf.g_00907
OG0000117	Syap.g_01889	Prbf.g_00945
OG0000118	Syap.g_02286	Prbf.g_00013
OG0000120	Syap.g_02075	Prbf.g_00115
OG0000121	Syap.g_02471	Prbf.g_00159
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbf.g_00551
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbf.g_00478
OG0000125	Syap.g_01046, Syap.g_01047	Prbf.g_00443
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prbf.g_00398
OG0000128	Syap.g_00069	Prbf.g_00382
OG0000129	Syap.g_00130, Syap.g_00129	Prbf.g_01367
OG0000130	Syap.g_01688, Syap.g_01689	Prbf.g_01396
OG0000131	Syap.g_02189	Prbf.g_01478
OG0000132	Syap.g_01205	Prbf.g_01498
OG0000133	Syap.g_02017	Prbf.g_01661
OG0000134	Syap.g_02047	Prbf.g_01703
OG0000135	Syap.g_02090	Prbf.g_00044
OG0000136	Syap.g_00089	Prbf.g_01725
OG0000137	Syap.g_02756	Prbf.g_01758
OG0000138	Syap.g_00278	Prbf.g_01778
OG0000139	Syap.g_00410	Prbf.g_01818
OG0000140	Syap.g_01976	Prbf.g_01819
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbf.g_01890
OG0000142	Syap.g_00895, Syap.g_00894	Prbf.g_00982
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbf.g_00986
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbf.g_01000
OG0000145	Syap.g_01860, Syap.g_01859	Prbf.g_00042
OG0000146	Syap.g_02024	Prbf.g_01928
OG0000147	Syap.g_02025	Prbf.g_01927
OG0000148	Syap.g_02720	Prbf.g_01228
OG0000149	Syap.g_00824	Prbf.g_01196
OG0000150	Syap.g_01540	Prbf.g_01186
OG0000151	Syap.g_00142	Prbf.g_01310
OG0000152	Syap.g_02012	Prbf.g_01117
OG0000153	Syap.g_02682	Prbf.g_01098
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbf.g_01078
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbf.g_00939
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbf.g_00037
OG0000157	Syap.g_00249, Syap.g_00286	Prbf.g_00036
OG0000158	Syap.g_01075	Prbf.g_00514
OG0000159	Syap.g_00852	Prbf.g_01387
OG0000160	Syap.g_02470, Syap.g_02469	Prbf.g_00158
OG0000161	Syap.g_02476	Prbf.g_00164
OG0000162	Syap.g_02531	Prbf.g_00170
OG0000164	Syap.g_01391, Syap.g_01392	Prbf.g_00669
OG0000165	Syap.g_01381, Syap.g_01382	Prbf.g_00662
OG0000166	Syap.g_00512, Syap.g_01238	Prbf.g_00595
OG0000167	Syap.g_02080	Prbf.g_00524
OG0000168	Syap.g_01076	Prbf.g_00513
OG0000169	Syap.g_01049, Syap.g_01093	Prbf.g_00503
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbf.g_00500
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbf.g_00479
OG0000172	Syap.g_01143, Syap.g_00635	Prbf.g_00472
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prbf.g_00457
OG0000174	Syap.g_02092	Prbf.g_00428
OG0000175	Syap.g_02654	Prbf.g_00415
OG0000176	Syap.g_00059	Prbf.g_00389
OG0000177	Syap.g_00061, Syap.g_00060	Prbf.g_00388
OG0000178	Syap.g_00062	Prbf.g_00387
OG0000179	Syap.g_00077, Syap.g_02638	Prbf.g_01338
OG0000180	Syap.g_00078, Syap.g_02640	Prbf.g_01339
OG0000181	Syap.g_00079, Syap.g_02641	Prbf.g_01340
OG0000182	Syap.g_00080, Syap.g_02642	Prbf.g_01341
OG0000183	Syap.g_00084	Prbf.g_01345
OG0000184	Syap.g_01337	Prbf.g_01371
OG0000185	Syap.g_01322	Prbf.g_01374
