Orthogroup	Syap	Syag
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syag.g_01943
OG0000003	Syap.g_00679	Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561
OG0000004	Syap.g_01987	Syag.g_01790
OG0000005	Syap.g_01773	Syag.g_01708
OG0000005	Syap.g_01218	Syag.g_01667
OG0000006	Syap.g_02770	Syag.g_00435
OG0000007	Syap.g_00275	Syag.g_01507
OG0000007	Syap.g_00621	Syag.g_01687
OG0000009	Syap.g_02081	Syag.g_01883
OG0000010	Syap.g_02757	Syag.g_01355
OG0000013	Syap.g_00972	Syag.g_02806
OG0000014	Syap.g_01675	Syag.g_02559
OG0000014	Syap.g_00813	Syag.g_02487
OG0000015	Syap.g_02606	Syag.g_02252
OG0000016	Syap.g_00071	Syag.g_02286
OG0000018	Syap.g_02010	Syag.g_01387
OG0000019	Syap.g_01586	Syag.g_02663
OG0000025	Syap.g_01846	Syag.g_00718
OG0000027	Syap.g_01440	Syag.g_00950
OG0000028	Syap.g_01658	Syag.g_02540
OG0000030	Syap.g_00787	Syag.g_02375
OG0000030	Syap.g_00788	Syag.g_02374
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syag.g_02510
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syag.g_02480
OG0000033	Syap.g_01198	Syag.g_01978, Syag.g_02481
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syag.g_01225, Syag.g_01947
OG0000035	Syap.g_02125	Syag.g_01421
OG0000038	Syap.g_00139	Syag.g_02132
OG0000039	Syap.g_01749, Syap.g_01748	Syag.g_01325, Syag.g_02155
OG0000040	Syap.g_01819	Syag.g_02215
OG0000042	Syap.g_01891, Syap.g_01120	Syag.g_01094, Syag.g_02378
OG0000043	Syap.g_01998	Syag.g_00564
OG0000045	Syap.g_02525	Syag.g_00225
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syag.g_02805
OG0000048	Syap.g_02340	Syag.g_02611
OG0000051	Syap.g_01574	Syag.g_01026, Syag.g_00214
OG0000053	Syap.g_02006	Syag.g_01391
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syag.g_00350
OG0000057	Syap.g_01569	Syag.g_00985
OG0000058	Syap.g_02074	Syag.g_02477
OG0000059	Syap.g_01918	Syag.g_02721
OG0000060	Syap.g_00795	Syag.g_01095
OG0000061	Syap.g_00228	Syag.g_01141
OG0000062	Syap.g_01220	Syag.g_01669
OG0000063	Syap.g_01796	Syag.g_02313
OG0000066	Syap.g_01972	Syag.g_01443
OG0000068	Syap.g_00108, Syap.g_00144	Syag.g_01537
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syag.g_00049
OG0000072	Syap.g_00555	Syag.g_02859
OG0000073	Syap.g_00273	Syag.g_01505
OG0000075	Syap.g_01064, Syap.g_00664	Syag.g_02434
OG0000076	Syap.g_01111	Syag.g_02393
OG0000077	Syap.g_00416	Syag.g_01831
OG0000078	Syap.g_01149	Syag.g_01778
OG0000079	Syap.g_01589	Syag.g_02659, Syag.g_02652
OG0000080	Syap.g_01003	Syag.g_02499
OG0000085	Syap.g_00611	Syag.g_01676
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syag.g_01939
OG0000088	Syap.g_01202	Syag.g_01974
OG0000089	Syap.g_00115, Syap.g_02042	Syag.g_00005
OG0000090	Syap.g_01451	Syag.g_01454
OG0000091	Syap.g_01861	Syag.g_00418
OG0000094	Syap.g_02781	Syag.g_00881
OG0000095	Syap.g_01556	Syag.g_00974
OG0000098	Syap.g_01975	Syag.g_01445
OG0000099	Syap.g_01385	Syag.g_02536
OG0000102	Syap.g_01116	Syag.g_02387
OG0000103	Syap.g_02607, Syap.g_02608	Syag.g_02253
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syag.g_02268
OG0000105	Syap.g_01369, Syap.g_01368	Syag.g_02606
OG0000107	Syap.g_02496	Syag.g_02689
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Syag.g_01528
OG0000109	Syap.g_00279, Syap.g_02237	Syag.g_01512
OG0000110	Syap.g_01313	Syag.g_00303
OG0000111	Syap.g_01566, Syap.g_01568	Syag.g_00984
OG0000112	Syap.g_02023	Syag.g_00801
OG0000113	Syap.g_02714	Syag.g_00699
OG0000114	Syap.g_01255	Syag.g_00609
OG0000115	Syap.g_02004	Syag.g_01397
OG0000116	Syap.g_00241	Syag.g_01156
OG0000117	Syap.g_01889	Syag.g_01097
OG0000118	Syap.g_02286	Syag.g_01232
OG0000120	Syap.g_02075	Syag.g_02535
OG0000121	Syap.g_02471	Syag.g_01414
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syag.g_02781
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syag.g_02367
OG0000125	Syap.g_01046, Syap.g_01047	Syag.g_02136, Syag.g_02134
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syag.g_02266
OG0000128	Syap.g_00069	Syag.g_02284
OG0000129	Syap.g_00130, Syap.g_00129	Syag.g_02121
OG0000130	Syap.g_01688, Syap.g_01689	Syag.g_01819
OG0000131	Syap.g_02189	Syag.g_01951
OG0000132	Syap.g_01205	Syag.g_01972
OG0000133	Syap.g_02017	Syag.g_00806
OG0000134	Syap.g_02047	Syag.g_00008
OG0000135	Syap.g_02090	Syag.g_02171
OG0000136	Syap.g_00089	Syag.g_00038
OG0000137	Syap.g_02756	Syag.g_01356
OG0000138	Syap.g_00278	Syag.g_01511
OG0000139	Syap.g_00410	Syag.g_01448
OG0000140	Syap.g_01976	Syag.g_01446
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syag.g_00351
OG0000142	Syap.g_00895, Syap.g_00894	Syag.g_00410
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syag.g_00414
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syag.g_00493
OG0000145	Syap.g_01860, Syap.g_01859	Syag.g_01504
OG0000146	Syap.g_02024	Syag.g_00800
OG0000147	Syap.g_02025	Syag.g_00799
OG0000148	Syap.g_02720	Syag.g_00693
OG0000149	Syap.g_00824	Syag.g_00731
OG0000150	Syap.g_01540	Syag.g_00352
OG0000151	Syap.g_00142	Syag.g_00623
OG0000152	Syap.g_02012	Syag.g_00810
OG0000153	Syap.g_02682	Syag.g_00845
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syag.g_00870
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syag.g_01107
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syag.g_01166
OG0000157	Syap.g_00249, Syap.g_00286	Syag.g_01167
OG0000158	Syap.g_01075	Syag.g_02422
OG0000160	Syap.g_02470, Syap.g_02469	Syag.g_01415
OG0000161	Syap.g_02476	Syag.g_01409
OG0000162	Syap.g_02531	Syag.g_01402
OG0000164	Syap.g_01391, Syap.g_01392	Syag.g_01725
OG0000165	Syap.g_01381, Syap.g_01382	Syag.g_01733
OG0000166	Syap.g_00512, Syap.g_01238	Syag.g_02733
OG0000167	Syap.g_02080	Syag.g_02437
OG0000168	Syap.g_01076	Syag.g_02417
OG0000169	Syap.g_01049, Syap.g_01093	Syag.g_02405
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syag.g_02398
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syag.g_02368
OG0000172	Syap.g_01143, Syap.g_00635	Syag.g_02360
OG0000173	Syap.g_00982, Syap.g_00983	Syag.g_02337
OG0000174	Syap.g_02092	Syag.g_02175
OG0000175	Syap.g_02654	Syag.g_02240
OG0000176	Syap.g_00059	Syag.g_02276
OG0000177	Syap.g_00061, Syap.g_00060	Syag.g_02277
OG0000178	Syap.g_00062	Syag.g_02278
OG0000179	Syap.g_00077, Syap.g_02638	Syag.g_02293
OG0000180	Syap.g_00078, Syap.g_02640	Syag.g_02294
OG0000181	Syap.g_00079, Syap.g_02641	Syag.g_02295
OG0000182	Syap.g_00080, Syap.g_02642	Syag.g_02296
OG0000183	Syap.g_00084	Syag.g_02300
OG0000184	Syap.g_01337	Syag.g_02110
OG0000185	Syap.g_01322	Syag.g_02092
OG0000186	Syap.g_01684	Syag.g_01815
OG0000187	Syap.g_01686	Syag.g_01816
OG0000188	Syap.g_02547	Syag.g_01839
OG0000191	Syap.g_02233	Syag.g_01909
OG0000192	Syap.g_02224	Syag.g_01915
OG0000193	Syap.g_02187, Syap.g_02188	Syag.g_01952
OG0000194	Syap.g_02183	Syag.g_01955
OG0000195	Syap.g_02180	Syag.g_01957
OG0000196	Syap.g_01208, Syap.g_02167	Syag.g_01968
OG0000197	Syap.g_01207, Syap.g_02166	Syag.g_01969
OG0000198	Syap.g_01206	Syag.g_00108, Syag.g_01971
OG0000199	Syap.g_01197	Syag.g_01979
OG0000200	Syap.g_01181	Syag.g_01996
OG0000201	Syap.g_02265	Syag.g_02023
OG0000202	Syap.g_02264	Syag.g_02024
OG0000203	Syap.g_01601	Syag.g_02025
OG0000204	Syap.g_01602	Syag.g_02020, Syag.g_02026
OG0000205	Syap.g_01616	Syag.g_02035
OG0000206	Syap.g_01628	Syag.g_02047
