Orthogroup	Prbm	Prbh
OG0000000	Prbm.g_00874	Prbh.g_01016
OG0000000	Prbm.g_00712	Prbh.g_00912
OG0000000	Prbm.g_01581	Prbh.g_00199
OG0000000	Prbm.g_01578	Prbh.g_01313
OG0000000	Prbm.g_01577	Prbh.g_00006, Prbh.g_01311
OG0000000	Prbm.g_01582, Prbm.g_01576	Prbh.g_01317
OG0000001	Prbm.g_01141	Prbh.g_01858
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prbh.g_00001, Prbh.g_00863
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prbh.g_01901, Prbh.g_01319
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Prbh.g_01350
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Prbh.g_01903
OG0000006	Prbm.g_00522	Prbh.g_00334
OG0000006	Prbm.g_01841	Prbh.g_01782
OG0000007	Prbm.g_01907	Prbh.g_01406
OG0000007	Prbm.g_01908	Prbh.g_01405
OG0000009	Prbm.g_00792	Prbh.g_01307
OG0000010	Prbm.g_01359	Prbh.g_01909, Prbh.g_01948
OG0000011	Prbm.g_00428	Prbh.g_00408
OG0000012	Prbm.g_00635	Prbh.g_00225
OG0000012	Prbm.g_00628	Prbh.g_00232
OG0000013	Prbm.g_01427, Prbm.g_01149	Prbh.g_01869, Prbh.g_00840
OG0000015	Prbm.g_01164	Prbh.g_01945
OG0000015	Prbm.g_01415	Prbh.g_00806
OG0000016	Prbm.g_01653	Prbh.g_01333, Prbh.g_00194
OG0000017	Prbm.g_01729	Prbh.g_01834, Prbh.g_00120
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbh.g_00538
OG0000020	Prbm.g_00329	Prbh.g_00508
OG0000021	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016	Prbh.g_01870
OG0000021	Prbm.g_01091	Prbh.g_00788
OG0000022	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408	Prbh.g_01853
OG0000023	Prbm.g_01235, Prbm.g_01400	Prbh.g_00377, Prbh.g_01841
OG0000024	Prbm.g_00362	Prbh.g_00472
OG0000025	Prbm.g_00118, Prbm.g_01485	Prbh.g_00850
OG0000026	Prbm.g_01947	Prbh.g_01401
OG0000028	Prbm.g_01710	Prbh.g_00096, Prbh.g_00099
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbh.g_00376
OG0000033	Prbm.g_01944	Prbh.g_01336
OG0000034	Prbm.g_00114	Prbh.g_00727
OG0000035	Prbm.g_01482	Prbh.g_00825
OG0000036	Prbm.g_01900	Prbh.g_01855
OG0000037	Prbm.g_01106	Prbh.g_01460
OG0000038	Prbm.g_01204	Prbh.g_00190
OG0000039	Prbm.g_00225	Prbh.g_00616
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prbh.g_00833
OG0000041	Prbm.g_01351	Prbh.g_01827
OG0000042	Prbm.g_00742	Prbh.g_00945
