Orthogroup	Prbm	Pral
OG0000000	Prbm.g_00874	Pral.g_01549
OG0000000	Prbm.g_00712	Pral.g_01764
OG0000000	Prbm.g_01581	Pral.g_01052
OG0000000	Prbm.g_01578	Pral.g_01340
OG0000000	Prbm.g_01577	Pral.g_00430, Pral.g_01342
OG0000000	Prbm.g_01582, Prbm.g_01576	Pral.g_01337
OG0000002	Prbm.g_01633	Pral.g_01236
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Pral.g_01296, Pral.g_01671
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Pral.g_00040, Pral.g_01332
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Pral.g_01898
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Pral.g_00037
OG0000006	Prbm.g_00522	Pral.g_00593
OG0000006	Prbm.g_01841	Pral.g_00107
OG0000007	Prbm.g_01907	Pral.g_00020
OG0000007	Prbm.g_01908	Pral.g_00021
OG0000009	Prbm.g_00792	Pral.g_01344
OG0000010	Prbm.g_01359	Pral.g_00444
OG0000011	Prbm.g_00428	Pral.g_00672
OG0000012	Prbm.g_00635	Pral.g_00484
OG0000012	Prbm.g_00628	Pral.g_00491
OG0000013	Prbm.g_01427, Prbm.g_01149	Pral.g_01813
OG0000015	Prbm.g_01164	Pral.g_01887
OG0000015	Prbm.g_01415	Pral.g_00062
OG0000016	Prbm.g_01653	Pral.g_01861, Pral.g_01063
OG0000017	Prbm.g_01729	Pral.g_01139, Pral.g_00066
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Pral.g_00797
OG0000020	Prbm.g_00329	Pral.g_00768
OG0000021	Prbm.g_01091	Pral.g_00090
OG0000022	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408	Pral.g_01331
OG0000023	Prbm.g_01235, Prbm.g_01400	Pral.g_01065, Pral.g_01163
OG0000024	Prbm.g_00362	Pral.g_00732
OG0000024	Prbm.g_02126	Pral.g_01261
OG0000025	Prbm.g_00118, Prbm.g_01485	Pral.g_01829
OG0000026	Prbm.g_01947	Pral.g_00435
OG0000028	Prbm.g_01710	Pral.g_01165, Pral.g_01161
OG0000029	Prbm.g_01414, Prbm.g_01387	Pral.g_01164
OG0000029	Prbm.g_01753	Pral.g_01114
OG0000030	Prbm.g_00036	Pral.g_01006
OG0000031	Prbm.g_01276	Pral.g_00095
OG0000032	Prbm.g_01627	Pral.g_01193
OG0000034	Prbm.g_00114	Pral.g_00987
OG0000035	Prbm.g_01482	Pral.g_01853
OG0000036	Prbm.g_01900	Pral.g_00057
OG0000037	Prbm.g_01106	Pral.g_00015
OG0000038	Prbm.g_01204	Pral.g_00044
OG0000039	Prbm.g_00225	Pral.g_00878
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Pral.g_01687
OG0000042	Prbm.g_00742	Pral.g_01729
OG0000043	Prbm.g_00950	Pral.g_01665
OG0000044	Prbm.g_01549	Pral.g_01367
OG0000045	Prbm.g_00881	Pral.g_01202
OG0000046	Prbm.g_01834	Pral.g_00099
OG0000047	Prbm.g_02094	Pral.g_00305
OG0000048	Prbm.g_02102	Pral.g_00313
OG0000050	Prbm.g_00031	Pral.g_01012
OG0000051	Prbm.g_00216	Pral.g_00887
