Orthogroup	Prbm	Prbf
OG0000000	Prbm.g_00874	Prbf.g_01182
OG0000000	Prbm.g_00712	Prbf.g_01285
OG0000000	Prbm.g_01581	Prbf.g_00260
OG0000000	Prbm.g_01578	Prbf.g_00888
OG0000000	Prbm.g_01577	Prbf.g_00089, Prbf.g_00890
OG0000000	Prbm.g_01582, Prbm.g_01576	Prbf.g_00883
OG0000001	Prbm.g_01810	Prbf.g_00881
OG0000002	Prbm.g_01633	Prbf.g_00068
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prbf.g_00831
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prbf.g_00880
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Prbf.g_00052
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Prbf.g_00776
OG0000006	Prbm.g_00522	Prbf.g_01780
OG0000006	Prbm.g_01841	Prbf.g_00693
OG0000007	Prbm.g_01907	Prbf.g_00793
OG0000007	Prbm.g_01908	Prbf.g_00792
OG0000009	Prbm.g_00792	Prbf.g_00894
OG0000010	Prbm.g_01359	Prbf.g_00306
OG0000011	Prbm.g_00428	Prbf.g_01707
OG0000012	Prbm.g_00635	Prbf.g_01887
OG0000012	Prbm.g_00628	Prbf.g_01880
OG0000013	Prbm.g_01427, Prbm.g_01149	Prbf.g_00754, Prbf.g_00708
OG0000015	Prbm.g_01415	Prbf.g_00765, Prbf.g_00732
OG0000016	Prbm.g_01653	Prbf.g_00864, Prbf.g_00254
OG0000017	Prbm.g_01729	Prbf.g_00748, Prbf.g_00178
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbf.g_01580
OG0000020	Prbm.g_00329	Prbf.g_00039
OG0000021	Prbm.g_01091	Prbf.g_00711
OG0000023	Prbm.g_01235, Prbm.g_01400	Prbf.g_00252
OG0000024	Prbm.g_00362	Prbf.g_01647
OG0000025	Prbm.g_00118, Prbm.g_01485	Prbf.g_00845
OG0000026	Prbm.g_01947	Prbf.g_00808
OG0000028	Prbm.g_01710	Prbf.g_00157
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbf.g_01738
OG0000031	Prbm.g_01267	Prbf.g_00340
OG0000032	Prbm.g_01627, Prbm.g_00391, Prbm.g_00393, Prbm.g_00392	Prbf.g_00116
OG0000033	Prbm.g_01944	Prbf.g_00860
OG0000034	Prbm.g_00114	Prbf.g_01380
OG0000035	Prbm.g_01482	Prbf.g_00299
OG0000036	Prbm.g_01900	Prbf.g_00704
OG0000037	Prbm.g_01106	Prbf.g_00272
OG0000038	Prbm.g_01204	Prbf.g_00248
OG0000039	Prbm.g_00225	Prbf.g_01500
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prbf.g_00287
OG0000041	Prbm.g_01351	Prbf.g_00729, Prbf.g_00735
OG0000042	Prbm.g_00742	Prbf.g_01253
OG0000043	Prbm.g_00950	Prbf.g_01153
OG0000044	Prbm.g_01549	Prbf.g_00918
OG0000045	Prbm.g_00881	Prbf.g_00117
OG0000046	Prbm.g_01834	Prbf.g_00822, Prbf.g_00701
OG0000047	Prbm.g_02094	Prbf.g_00496
OG0000048	Prbm.g_02102	Prbf.g_00487
OG0000050	Prbm.g_00031	Prbf.g_01354
OG0000051	Prbm.g_00216	Prbf.g_01491
OG0000052	Prbm.g_01172, Prbm.g_01237	Prbf.g_00320
OG0000053	Prbm.g_00572	Prbf.g_00781, Prbf.g_01820
OG0000054	Prbm.g_00047	Prbf.g_01922
OG0000055	Prbm.g_00838, Prbm.g_01191	Prbf.g_01222
OG0000056	Prbm.g_00048	Prbf.g_00862
OG0000057	Prbm.g_00297	Prbf.g_01575
OG0000058	Prbm.g_00500	Prbf.g_01758
OG0000059	Prbm.g_00735	Prbf.g_01261
OG0000062	Prbm.g_01910	Prbf.g_00788
OG0000063	Prbm.g_01522	Prbf.g_00945
OG0000065	Prbm.g_00468, Prbm.g_01611	Prbf.g_00026
OG0000066	Prbm.g_00707	Prbf.g_00115
OG0000068	Prbm.g_02033	Prbf.g_00558
OG0000069	Prbm.g_01747	Prbf.g_00196
