Orthogroup	Prbm	Prbj
OG0000000	Prbm.g_00874	Prbj.g_02517
OG0000000	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prbj.g_00030
OG0000002	Prbm.g_01633	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prbj.g_00165
OG0000006	Prbm.g_00522	Prbj.g_01610
OG0000006	Prbm.g_01841	Prbj.g_00857
OG0000007	Prbm.g_01907, Prbm.g_01908	Prbj.g_00928, Prbj.g_00929
OG0000009	Prbm.g_00792	Prbj.g_01349
OG0000011	Prbm.g_00428	Prbj.g_02509
OG0000011	Prbm.g_00390	Prbj.g_00666
OG0000012	Prbm.g_00635	Prbj.g_01761
OG0000012	Prbm.g_00628	Prbj.g_01769
OG0000013	Prbm.g_01427, Prbm.g_01149	Prbj.g_02502
OG0000016	Prbm.g_01653	Prbj.g_00740, Prbj.g_00778
OG0000017	Prbm.g_01729	Prbj.g_00638
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbj.g_02699
OG0000020	Prbm.g_00329	Prbj.g_01393
OG0000024	Prbm.g_00362	Prbj.g_01442
OG0000026	Prbm.g_01947	Prbj.g_01208
OG0000028	Prbm.g_01710	Prbj.g_01056
OG0000031	Prbm.g_01267	Prbj.g_00705
OG0000034	Prbm.g_00114	Prbj.g_01487
OG0000036	Prbm.g_01900	Prbj.g_01789
OG0000037	Prbm.g_01106	Prbj.g_02552
OG0000038	Prbm.g_01204	Prbj.g_00050, Prbj.g_01572
OG0000039	Prbm.g_00225	Prbj.g_00521
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prbj.g_02392
OG0000042	Prbm.g_00742	Prbj.g_02178, Prbj.g_00913
OG0000043	Prbm.g_00950	Prbj.g_00023, Prbj.g_00025
OG0000044	Prbm.g_01549	Prbj.g_00971
OG0000045	Prbm.g_00881	Prbj.g_01467
OG0000046	Prbm.g_01834	Prbj.g_00869
OG0000047	Prbm.g_02094	Prbj.g_01598
OG0000048	Prbm.g_02102	Prbj.g_01808, Prbj.g_00001
OG0000050	Prbm.g_00031	Prbj.g_01204
OG0000051	Prbm.g_00216	Prbj.g_00530
OG0000052	Prbm.g_01172, Prbm.g_01237	Prbj.g_00875
OG0000053	Prbm.g_00572	Prbj.g_02141
OG0000054	Prbm.g_00047	Prbj.g_01324
OG0000055	Prbm.g_00838, Prbm.g_01191	Prbj.g_02437
OG0000056	Prbm.g_00048	Prbj.g_00227
OG0000058	Prbm.g_00500	Prbj.g_00128
OG0000059	Prbm.g_00735	Prbj.g_00758
OG0000062	Prbm.g_01910	Prbj.g_01990
OG0000063	Prbm.g_01522	Prbj.g_01915
OG0000065	Prbm.g_00468, Prbm.g_01611	Prbj.g_01728
OG0000066	Prbm.g_00707	Prbj.g_01465
OG0000068	Prbm.g_02033	Prbj.g_00415, Prbj.g_00981
OG0000069	Prbm.g_01747	Prbj.g_00659
OG0000070	Prbm.g_00477	Prbj.g_00371
OG0000071	Prbm.g_00011	Prbj.g_02085
OG0000072	Prbm.g_00377	Prbj.g_01460
OG0000073	Prbm.g_00702	Prbj.g_00824
OG0000074	Prbm.g_00728	Prbj.g_00933
OG0000075	Prbm.g_00821	Prbj.g_02419
OG0000076	Prbm.g_01064	Prbj.g_01838
OG0000078	Prbm.g_00394	Prbj.g_01464
OG0000079	Prbm.g_01792	Prbj.g_00881
OG0000080	Prbm.g_01182	Prbj.g_01678
OG0000081	Prbm.g_02067	Prbj.g_01500
OG0000082	Prbm.g_02188	Prbj.g_01999
OG0000083	Prbm.g_00003	Prbj.g_02076
OG0000084	Prbm.g_00006	Prbj.g_02079
OG0000085	Prbm.g_00023	Prbj.g_01195
OG0000087	Prbm.g_00058	Prbj.g_01921
OG0000088	Prbm.g_00172	Prbj.g_01551
OG0000089	Prbm.g_00181	Prbj.g_01566
OG0000090	Prbm.g_00198	Prbj.g_01547
OG0000091	Prbm.g_00228	Prbj.g_00518
OG0000092	Prbm.g_00229	Prbj.g_00517
OG0000093	Prbm.g_00243	Prbj.g_01138
OG0000094	Prbm.g_00262	Prbj.g_01167
OG0000095	Prbm.g_00266	Prbj.g_00288
OG0000096	Prbm.g_00310	Prbj.g_01352
OG0000097	Prbm.g_00331	Prbj.g_01397
OG0000098	Prbm.g_00341	Prbj.g_01410
OG0000099	Prbm.g_00350	Prbj.g_01422
OG0000100	Prbm.g_00353	Prbj.g_01426
OG0000101	Prbm.g_00425	Prbj.g_00067
OG0000102	Prbm.g_01389	Prbj.g_02004
OG0000103	Prbm.g_00501	Prbj.g_00127
OG0000104	Prbm.g_00506	Prbj.g_01630
OG0000105	Prbm.g_00533	Prbj.g_01608
OG0000106	Prbm.g_00565	Prbj.g_02125
OG0000107	Prbm.g_00566	Prbj.g_02127
OG0000108	Prbm.g_00576	Prbj.g_02668
OG0000109	Prbm.g_00585	Prbj.g_01866
OG0000110	Prbm.g_00601	Prbj.g_01885
OG0000111	Prbm.g_00682	Prbj.g_00792
OG0000112	Prbm.g_00683	Prbj.g_00793
OG0000113	Prbm.g_00766	Prbj.g_02314
OG0000114	Prbm.g_00812	Prbj.g_02410
OG0000115	Prbm.g_00988	Prbj.g_02268
OG0000116	Prbm.g_00992	Prbj.g_02260
OG0000117	Prbm.g_01061	Prbj.g_01841
OG0000118	Prbm.g_01210	Prbj.g_02066
OG0000119	Prbm.g_01913	Prbj.g_01992
OG0000120	Prbm.g_01542	Prbj.g_00843
OG0000121	Prbm.g_01519	Prbj.g_00003
OG0000122	Prbm.g_01499	Prbj.g_02156
OG0000123	Prbm.g_01489	Prbj.g_00020
OG0000124	Prbm.g_01054	Prbj.g_01848
OG0000125	Prbm.g_01622	Prbj.g_01742
OG0000126	Prbm.g_01660	Prbj.g_01639
OG0000127	Prbm.g_01696	Prbj.g_01040
OG0000128	Prbm.g_01711	Prbj.g_01057
OG0000129	Prbm.g_01745	Prbj.g_00656
OG0000130	Prbm.g_01839	Prbj.g_00863
OG0000131	Prbm.g_01876	Prbj.g_00461
OG0000132	Prbm.g_01878	Prbj.g_00458
OG0000133	Prbm.g_01991	Prbj.g_01024
OG0000134	Prbm.g_02027	Prbj.g_00987
OG0000135	Prbm.g_02029	Prbj.g_00985
OG0000136	Prbm.g_02079	Prbj.g_01516
OG0000137	Prbm.g_02114	Prbj.g_01280
OG0000138	Prbm.g_02176	Prbj.g_01963
OG0000139	Prbm.g_02212	Prbj.g_02047
OG0000140	Prbm.g_00001	Prbj.g_02074
OG0000141	Prbm.g_00002	Prbj.g_02075
OG0000142	Prbm.g_00004	Prbj.g_02077
OG0000143	Prbm.g_00005	Prbj.g_02078
OG0000144	Prbm.g_00007	Prbj.g_02080
OG0000145	Prbm.g_00008	Prbj.g_02082
OG0000146	Prbm.g_00009	Prbj.g_02083
OG0000147	Prbm.g_00010	Prbj.g_02084
OG0000148	Prbm.g_00012	Prbj.g_02086
OG0000149	Prbm.g_00014	Prbj.g_01182
OG0000150	Prbm.g_00015	Prbj.g_01183
OG0000151	Prbm.g_00016	Prbj.g_01188
OG0000152	Prbm.g_00017	Prbj.g_01189
OG0000153	Prbm.g_00018	Prbj.g_01190
OG0000154	Prbm.g_00019	Prbj.g_01191
OG0000155	Prbm.g_00020	Prbj.g_01192
OG0000156	Prbm.g_00021	Prbj.g_01193
OG0000157	Prbm.g_00022	Prbj.g_01194
OG0000158	Prbm.g_00024	Prbj.g_01196
OG0000159	Prbm.g_00025	Prbj.g_01197
OG0000160	Prbm.g_00026	Prbj.g_01198
OG0000161	Prbm.g_00027	Prbj.g_01199
OG0000162	Prbm.g_00028	Prbj.g_01200
OG0000163	Prbm.g_00029	Prbj.g_01202
OG0000164	Prbm.g_00032	Prbj.g_01207
OG0000165	Prbm.g_00033	Prbj.g_01212
OG0000166	Prbm.g_00034	Prbj.g_01213
OG0000167	Prbm.g_00035	Prbj.g_01214
OG0000168	Prbm.g_00049	Prbj.g_01215
OG0000169	Prbm.g_00051	Prbj.g_01217
OG0000170	Prbm.g_00052	Prbj.g_01953
OG0000171	Prbm.g_00053	Prbj.g_01951
OG0000172	Prbm.g_00054	Prbj.g_01950
OG0000173	Prbm.g_00055	Prbj.g_01943
OG0000174	Prbm.g_00056	Prbj.g_01936
OG0000175	Prbm.g_00057	Prbj.g_01928
OG0000176	Prbm.g_00059	Prbj.g_01920
OG0000177	Prbm.g_00060	Prbj.g_01919
OG0000178	Prbm.g_00061	Prbj.g_01918
OG0000179	Prbm.g_00121	Prbj.g_00558
OG0000180	Prbm.g_00122	Prbj.g_00560
OG0000181	Prbm.g_00123	Prbj.g_00561
OG0000182	Prbm.g_00126	Prbj.g_00564
OG0000183	Prbm.g_00127	Prbj.g_00565
OG0000184	Prbm.g_00130	Prbj.g_00569
OG0000185	Prbm.g_00134	Prbj.g_00575
OG0000186	Prbm.g_00135	Prbj.g_00576
OG0000187	Prbm.g_00136	Prbj.g_00047
OG0000188	Prbm.g_00137	Prbj.g_00577
OG0000189	Prbm.g_00138	Prbj.g_00580
OG0000190	Prbm.g_00139	Prbj.g_00581
OG0000191	Prbm.g_00140	Prbj.g_00582
OG0000192	Prbm.g_00141	Prbj.g_00583
OG0000193	Prbm.g_00142	Prbj.g_00584
OG0000194	Prbm.g_00143	Prbj.g_00585
OG0000195	Prbm.g_00145	Prbj.g_00589
OG0000196	Prbm.g_00146	Prbj.g_00590
OG0000197	Prbm.g_00147	Prbj.g_00596
OG0000198	Prbm.g_00148	Prbj.g_00600
OG0000199	Prbm.g_00151	Prbj.g_00605
OG0000200	Prbm.g_00152	Prbj.g_00606
OG0000201	Prbm.g_00153	Prbj.g_00607
OG0000202	Prbm.g_00154	Prbj.g_00609
OG0000203	Prbm.g_00155	Prbj.g_00610
OG0000204	Prbm.g_00156	Prbj.g_00611
OG0000205	Prbm.g_00158	Prbj.g_00613
OG0000206	Prbm.g_00159	Prbj.g_00614
OG0000207	Prbm.g_00160	Prbj.g_00615
OG0000208	Prbm.g_00161	Prbj.g_00616
OG0000209	Prbm.g_00162	Prbj.g_00617
OG0000210	Prbm.g_00163	Prbj.g_00619
OG0000211	Prbm.g_00164	Prbj.g_00620
OG0000212	Prbm.g_00165	Prbj.g_00621
OG0000213	Prbm.g_00166	Prbj.g_00624
OG0000214	Prbm.g_00170	Prbj.g_00630
OG0000215	Prbm.g_00171	Prbj.g_01550
OG0000216	Prbm.g_00173	Prbj.g_01552
OG0000217	Prbm.g_00175	Prbj.g_01554
OG0000218	Prbm.g_00176	Prbj.g_01556
OG0000219	Prbm.g_00177	Prbj.g_01557
OG0000220	Prbm.g_00179	Prbj.g_01562
OG0000221	Prbm.g_00182	Prbj.g_01567
OG0000222	Prbm.g_00183	Prbj.g_01568
OG0000223	Prbm.g_00184	Prbj.g_01569
OG0000224	Prbm.g_00187	Prbj.g_01530
OG0000225	Prbm.g_00189	Prbj.g_01532
OG0000226	Prbm.g_00191	Prbj.g_01535
OG0000227	Prbm.g_00192	Prbj.g_01537
OG0000228	Prbm.g_00193	Prbj.g_01538
OG0000229	Prbm.g_00194	Prbj.g_01539
OG0000230	Prbm.g_00195	Prbj.g_01540
OG0000231	Prbm.g_01096	Prbj.g_01542
OG0000232	Prbm.g_00196	Prbj.g_01543
OG0000233	Prbm.g_00199	Prbj.g_01548
OG0000234	Prbm.g_00202	Prbj.g_00545
OG0000235	Prbm.g_00204	Prbj.g_00543
OG0000236	Prbm.g_00205	Prbj.g_00542
OG0000237	Prbm.g_00206	Prbj.g_00541
OG0000238	Prbm.g_00207	Prbj.g_00540
OG0000239	Prbm.g_00208	Prbj.g_00539
OG0000240	Prbm.g_00210	Prbj.g_00537
OG0000241	Prbm.g_00211	Prbj.g_00536
OG0000242	Prbm.g_00212	Prbj.g_00535
OG0000243	Prbm.g_00213	Prbj.g_00534
OG0000244	Prbm.g_00214	Prbj.g_00533
OG0000245	Prbm.g_00215	Prbj.g_00531
OG0000246	Prbm.g_00217	Prbj.g_00529
