Orthogroup	Prbm	Prar
OG0000000	Prbm.g_00874	Prar.g_00918
OG0000000	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Prar.g_01508
OG0000002	Prbm.g_01633	Prar.g_00926
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prar.g_01203, Prar.g_01202
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prar.g_00973, Prar.g_00727
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Prar.g_01630
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Prar.g_00729, Prar.g_00713
OG0000006	Prbm.g_00522	Prar.g_01328
OG0000006	Prbm.g_01841	Prar.g_01143
OG0000007	Prbm.g_01907	Prar.g_01185
OG0000008	Prbm.g_00463	Prar.g_01160
OG0000009	Prbm.g_00792	Prar.g_01663
OG0000010	Prbm.g_01359	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000011	Prbm.g_00428	Prar.g_00468
OG0000011	Prbm.g_00390	Prar.g_00257
OG0000012	Prbm.g_00635, Prbm.g_00628	Prar.g_01428
OG0000013	Prbm.g_01427, Prbm.g_01149	Prar.g_01179
OG0000015	Prbm.g_01164, Prbm.g_01415	Prar.g_00443
OG0000016	Prbm.g_01653	Prar.g_00915
OG0000017	Prbm.g_01729	Prar.g_00827, Prar.g_00589
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prar.g_00086
OG0000021	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016, Prbm.g_01091	Prar.g_01665
OG0000022	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408	Prar.g_00971
OG0000024	Prbm.g_00362, Prbm.g_02126	Prar.g_00281
OG0000026	Prbm.g_01947	Prar.g_00005, Prar.g_00004, Prar.g_01189
OG0000027	Prbm.g_01110, Prbm.g_01461, Prbm.g_01445, Prbm.g_01124	Prar.g_00761
OG0000028	Prbm.g_01710	Prar.g_00339
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prar.g_00736, Prar.g_01170
OG0000030	Prbm.g_00528, Prbm.g_00036, Prbm.g_00530	Prar.g_00593
OG0000033	Prbm.g_00013	Prar.g_00025
OG0000035	Prbm.g_01482	Prar.g_01761
OG0000036	Prbm.g_01900	Prar.g_01414
OG0000037	Prbm.g_01106	Prar.g_01453
OG0000038	Prbm.g_01204	Prar.g_01649
OG0000039	Prbm.g_00225	Prar.g_00161
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prar.g_00420
OG0000041	Prbm.g_01351	Prar.g_00476
OG0000042	Prbm.g_00742	Prar.g_01599
OG0000043	Prbm.g_00950	Prar.g_01668
OG0000044	Prbm.g_01549	Prar.g_01263
OG0000045	Prbm.g_00881	Prar.g_00362
OG0000046	Prbm.g_01834	Prar.g_01150
OG0000047	Prbm.g_02094	Prar.g_00592, Prar.g_00653
OG0000048	Prbm.g_02102	Prar.g_00660
OG0000050	Prbm.g_00031	Prar.g_00007
OG0000051	Prbm.g_00216	Prar.g_01569, Prar.g_00170
OG0000052	Prbm.g_01172, Prbm.g_01237	Prar.g_00431
OG0000053	Prbm.g_00572	Prar.g_01369
OG0000055	Prbm.g_00838, Prbm.g_01191	Prar.g_01706
OG0000056	Prbm.g_00048	Prar.g_01307
OG0000057	Prbm.g_00297	Prar.g_00090
OG0000058	Prbm.g_00500	Prar.g_00525
OG0000059	Prbm.g_00735	Prar.g_01528
OG0000060	Prbm.g_01186	Prar.g_01558, Prar.g_01562, Prar.g_01004
OG0000061	Prbm.g_01648	Prar.g_01298
OG0000062	Prbm.g_01910	Prar.g_01296
OG0000063	Prbm.g_01522	Prar.g_01003
OG0000065	Prbm.g_00468, Prbm.g_01611	Prar.g_00955
OG0000066	Prbm.g_00707	Prar.g_00880
OG0000067	Prbm.g_01174	Prar.g_00988
OG0000068	Prbm.g_02033	Prar.g_01027
OG0000070	Prbm.g_00477	Prar.g_00932
OG0000071	Prbm.g_00011	Prar.g_00027
OG0000072	Prbm.g_00377	Prar.g_00265
OG0000073	Prbm.g_00702	Prar.g_01499
OG0000074	Prbm.g_00728	Prar.g_01521
OG0000075	Prbm.g_00821	Prar.g_01691
OG0000076	Prbm.g_01064	Prar.g_01904
OG0000077	Prbm.g_00434, Prbm.g_01230, Prbm.g_01383, Prbm.g_01118, Prbm.g_01809, Prbm.g_01405	Prar.g_00712
OG0000078	Prbm.g_00394	Prar.g_00872
OG0000079	Prbm.g_01792	Prar.g_00769
OG0000080	Prbm.g_01182	Prar.g_01166
OG0000081	Prbm.g_02067	Prar.g_00627
OG0000083	Prbm.g_00003	Prar.g_00035
OG0000084	Prbm.g_00006	Prar.g_00032
OG0000085	Prbm.g_00023	Prar.g_00015
OG0000086	Prbm.g_00063, Prbm.g_01170	Prar.g_00581
OG0000087	Prbm.g_00058	Prar.g_00570
OG0000088	Prbm.g_00172	Prar.g_00215
OG0000089	Prbm.g_00181	Prar.g_00207
OG0000090	Prbm.g_00198	Prar.g_00189
OG0000091	Prbm.g_00228	Prar.g_00158
OG0000092	Prbm.g_00229	Prar.g_00157
OG0000093	Prbm.g_00243	Prar.g_00143
OG0000094	Prbm.g_00262	Prar.g_00125
OG0000095	Prbm.g_00266	Prar.g_00120
OG0000096	Prbm.g_00310	Prar.g_00076
OG0000097	Prbm.g_00331	Prar.g_00313
OG0000098	Prbm.g_00341	Prar.g_00303
OG0000099	Prbm.g_00350	Prar.g_00293
OG0000100	Prbm.g_00353	Prar.g_00290, Prar.g_01154
OG0000101	Prbm.g_00425	Prar.g_00417
OG0000102	Prbm.g_01389	Prar.g_00444
OG0000103	Prbm.g_00501	Prar.g_00526
OG0000104	Prbm.g_00506	Prar.g_00530
OG0000105	Prbm.g_00533	Prar.g_01330
OG0000106	Prbm.g_00565	Prar.g_01362
OG0000107	Prbm.g_00566	Prar.g_01363
OG0000108	Prbm.g_00576	Prar.g_01373
OG0000109	Prbm.g_00585	Prar.g_01382
OG0000110	Prbm.g_00601	Prar.g_01398
OG0000111	Prbm.g_00682	Prar.g_01481
OG0000112	Prbm.g_00683	Prar.g_01482
OG0000113	Prbm.g_00766	Prar.g_01621
OG0000114	Prbm.g_00812	Prar.g_01682
OG0000115	Prbm.g_00988	Prar.g_01833
OG0000116	Prbm.g_00992	Prar.g_01837
OG0000117	Prbm.g_01061	Prar.g_01901
OG0000118	Prbm.g_01210	Prar.g_01953
OG0000119	Prbm.g_01913	Prar.g_01293
OG0000120	Prbm.g_01542	Prar.g_01257
OG0000121	Prbm.g_01519	Prar.g_01238
OG0000122	Prbm.g_01499	Prar.g_01219
OG0000123	Prbm.g_01489	Prar.g_01206
OG0000124	Prbm.g_01054	Prar.g_00376
OG0000125	Prbm.g_01622	Prar.g_00943
