Orthogroup	Prbm	Praa
OG0000000	Prbm.g_00874	Praa.g_01359
OG0000000	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576	Praa.g_00678
OG0000002	Prbm.g_01633	Praa.g_01351
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Praa.g_01222, Praa.g_01220
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Praa.g_00742
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Praa.g_01598, Praa.g_01244, Praa.g_01235
OG0000006	Prbm.g_00522	Praa.g_00497
OG0000006	Prbm.g_01841	Praa.g_01635
OG0000007	Prbm.g_01907	Praa.g_01241
OG0000009	Prbm.g_00792	Praa.g_00782
OG0000010	Prbm.g_01359	Praa.g_01110, Praa.g_01280
OG0000011	Prbm.g_00390	Praa.g_00330
OG0000012	Prbm.g_00635, Prbm.g_00628	Praa.g_00598
OG0000013	Prbm.g_01427, Prbm.g_01149	Praa.g_00765
OG0000015	Prbm.g_01164, Prbm.g_01415	Praa.g_00380
OG0000016	Prbm.g_01653	Praa.g_01362
OG0000017	Prbm.g_01729	Praa.g_01496
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Praa.g_01245, Praa.g_00241
OG0000021	Prbm.g_01262, Prbm.g_01017, Prbm.g_01016, Prbm.g_01091	Praa.g_00784
OG0000022	Prbm.g_01115, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228, Prbm.g_01312, Prbm.g_01408	Praa.g_01300
OG0000023	Prbm.g_01235, Prbm.g_01400	Praa.g_01264
OG0000024	Prbm.g_00362, Prbm.g_02126	Praa.g_00306
OG0000026	Prbm.g_01947	Praa.g_00033
OG0000027	Prbm.g_01110, Prbm.g_01461, Prbm.g_01445, Prbm.g_01124	Praa.g_01564
OG0000028	Prbm.g_01710	Praa.g_01476
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Praa.g_01590
OG0000030	Prbm.g_00036	Praa.g_00038
OG0000033	Prbm.g_00013	Praa.g_00013
OG0000034	Prbm.g_00114	Praa.g_01407
OG0000036	Prbm.g_01900	Praa.g_00585
OG0000037	Prbm.g_01106	Praa.g_00623
OG0000038	Prbm.g_01204	Praa.g_00763
OG0000039	Prbm.g_00225	Praa.g_00166
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Praa.g_00359
OG0000041	Prbm.g_01351	Praa.g_00399
OG0000042	Prbm.g_00742	Praa.g_00711
OG0000043	Prbm.g_00950	Praa.g_00787
OG0000044	Prbm.g_01549	Praa.g_01159, Praa.g_01415
OG0000045	Prbm.g_00881	Praa.g_01425
OG0000046	Prbm.g_01834	Praa.g_01628
OG0000047	Prbm.g_02094	Praa.g_01832
OG0000048	Prbm.g_02102	Praa.g_01839
OG0000050	Prbm.g_00031	Praa.g_00031
OG0000051	Prbm.g_00216	Praa.g_00157
OG0000052	Prbm.g_01172, Prbm.g_01237	Praa.g_00369
OG0000053	Prbm.g_00572	Praa.g_00539
OG0000055	Prbm.g_00838, Prbm.g_01191	Praa.g_00826
OG0000056	Prbm.g_00048	Praa.g_01117
OG0000057	Prbm.g_00297	Praa.g_00237
OG0000058	Prbm.g_00500	Praa.g_01414, Praa.g_00475
OG0000059	Prbm.g_00735	Praa.g_00698
OG0000061	Prbm.g_01648	Praa.g_01125, Praa.g_00984
OG0000062	Prbm.g_01910	Praa.g_01127
OG0000063	Prbm.g_01522	Praa.g_01255
OG0000065	Prbm.g_00468, Prbm.g_01611	Praa.g_01318
OG0000066	Prbm.g_00707	Praa.g_01387
OG0000067	Prbm.g_01174	Praa.g_01626
OG0000068	Prbm.g_02033	Praa.g_01775
OG0000071	Prbm.g_00011	Praa.g_00011
OG0000072	Prbm.g_00377	Praa.g_00322
OG0000073	Prbm.g_00702	Praa.g_00669
OG0000074	Prbm.g_00728	Praa.g_00691
OG0000075	Prbm.g_00821	Praa.g_00810, Praa.g_00811
OG0000076	Prbm.g_01064	Praa.g_01039
OG0000077	Prbm.g_00434, Prbm.g_01230, Prbm.g_01383, Prbm.g_01118, Prbm.g_01809, Prbm.g_01405	Praa.g_01236
OG0000078	Prbm.g_00394	Praa.g_01394
OG0000079	Prbm.g_01792	Praa.g_01555
OG0000080	Prbm.g_01182	Praa.g_01606
OG0000081	Prbm.g_02067	Praa.g_01806
OG0000083	Prbm.g_00003	Praa.g_00003
OG0000084	Prbm.g_00006	Praa.g_00006
OG0000085	Prbm.g_00023	Praa.g_00023
OG0000086	Prbm.g_00063, Prbm.g_01170	Praa.g_00039, Praa.g_00409
OG0000087	Prbm.g_00058	Praa.g_00049
OG0000088	Prbm.g_00172	Praa.g_00113
OG0000089	Prbm.g_00181	Praa.g_00121
OG0000090	Prbm.g_00198	Praa.g_00139
OG0000091	Prbm.g_00228	Praa.g_00169
OG0000092	Prbm.g_00229	Praa.g_00170
OG0000093	Prbm.g_00243	Praa.g_00184
OG0000094	Prbm.g_00262	Praa.g_00202
OG0000095	Prbm.g_00266	Praa.g_00207
OG0000096	Prbm.g_00310	Praa.g_00251
OG0000097	Prbm.g_00331	Praa.g_00274
OG0000099	Prbm.g_00350	Praa.g_00294
OG0000100	Prbm.g_00353	Praa.g_00297
OG0000101	Prbm.g_00425	Praa.g_00356
OG0000102	Prbm.g_01389	Praa.g_00381
OG0000103	Prbm.g_00501	Praa.g_00476
OG0000104	Prbm.g_00506	Praa.g_00480
OG0000105	Prbm.g_00533	Praa.g_00499
OG0000106	Prbm.g_00565	Praa.g_00532
OG0000107	Prbm.g_00566	Praa.g_00533
