Orthogroup	Syah	Prag
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Prag.g_01374
OG0000002	Syah.g_01829	Prag.g_01382, Prag.g_00656
OG0000004	Syah.g_02017	Prag.g_00673
OG0000004	Syah.g_01967, Syah.g_00901	Prag.g_00225
OG0000005	Syah.g_02403	Prag.g_01682
OG0000005	Syah.g_02363	Prag.g_01566
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prag.g_00234, Prag.g_01231
OG0000007	Syah.g_01016	Prag.g_00476
OG0000007	Syah.g_02384	Prag.g_01669
OG0000008	Syah.g_01994	Prag.g_01655
OG0000008	Syah.g_01993	Prag.g_01656
OG0000009	Syah.g_02457	Prag.g_01600
OG0000009	Syah.g_01910, Syah.g_02535	Prag.g_00098
OG0000010	Syah.g_01220	Prag.g_01043
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Prag.g_00601
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prag.g_00318
OG0000014	Syah.g_00127	Prag.g_00297
OG0000015	Syah.g_01511, Syah.g_01510	Prag.g_00765
OG0000016	Syah.g_00359	Prag.g_00013
OG0000016	Syah.g_01859	Prag.g_01638
OG0000017	Syah.g_01152, Syah.g_01159	Prag.g_00576
OG0000018	Syah.g_01264	Prag.g_01134
OG0000019	Syah.g_00669	Prag.g_00242, Prag.g_00786
OG0000022	Syah.g_01881	Prag.g_01116
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prag.g_00354
OG0000024	Syah.g_01990	Prag.g_00740, Prag.g_00653
OG0000025	Syah.g_02082	Prag.g_00322, Prag.g_00839
OG0000026	Syah.g_00340	Prag.g_00031, Prag.g_01050
OG0000027	Syah.g_01541	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syah.g_00141	Prag.g_01270, Prag.g_00311
OG0000029	Syah.g_01292	Prag.g_00748
OG0000030	Syah.g_00264, Syah.g_00265	Prag.g_01871
OG0000031	Syah.g_00226	Prag.g_01446
OG0000034	Syah.g_00048, Syah.g_02213	Prag.g_01365
OG0000035	Syah.g_01293	Prag.g_01490, Prag.g_01488
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prag.g_00102
OG0000038	Syah.g_00508, Syah.g_00506	Prag.g_01911
OG0000039	Syah.g_02074	Prag.g_00664
OG0000040	Syah.g_01908	Prag.g_01630
OG0000040	Syah.g_00431	Prag.g_01133
OG0000041	Syah.g_02271, Syah.g_02039	Prag.g_01716
OG0000042	Syah.g_00261	Prag.g_01868
OG0000045	Syah.g_01872	Prag.g_00365
OG0000047	Syah.g_00847	Prag.g_00321
OG0000048	Syah.g_00637	Prag.g_01658, Prag.g_00368
OG0000050	Syah.g_00941	Prag.g_01071
OG0000051	Syah.g_02473	Prag.g_01329
OG0000053	Syah.g_01267	Prag.g_01510
OG0000054	Syah.g_01982, Syah.g_01862	Prag.g_00584
OG0000055	Syah.g_01878, Syah.g_02071	Prag.g_00787
OG0000057	Syah.g_02020	Prag.g_00676
OG0000059	Syah.g_00737	Prag.g_01755
OG0000060	Syah.g_01515	Prag.g_00760
OG0000061	Syah.g_02158	Prag.g_01153
OG0000062	Syah.g_02365	Prag.g_01568
OG0000063	Syah.g_00337	Prag.g_00033
OG0000065	Syah.g_02537, Syah.g_02443	Prag.g_00100
OG0000066	Syah.g_01073	Prag.g_00518
OG0000067	Syah.g_01779	Prag.g_00806
OG0000068	Syah.g_00986	Prag.g_01389
OG0000069	Syah.g_01715	Prag.g_01601
OG0000070	Syah.g_02217	Prag.g_00429
OG0000071	Syah.g_01863, Syah.g_02199	Prag.g_01355
OG0000072	Syah.g_00080	Prag.g_00164
OG0000073	Syah.g_01018	Prag.g_00478
OG0000074	Syah.g_00951	Prag.g_00660
OG0000075	Syah.g_00186	Prag.g_01836
OG0000076	Syah.g_00250	Prag.g_01861
OG0000077	Syah.g_02494	Prag.g_00072
OG0000078	Syah.g_00912	Prag.g_00232
OG0000081	Syah.g_00922, Syah.g_02471	Prag.g_00510
OG0000082	Syah.g_01136	Prag.g_00563
OG0000084	Syah.g_02105, Syah.g_01296	Prag.g_01484
OG0000085	Syah.g_02372	Prag.g_01662
OG0000086	Syah.g_02511	Prag.g_00082
OG0000087	Syah.g_00038	Prag.g_00132
OG0000088	Syah.g_00074	Prag.g_00159
OG0000089	Syah.g_00888	Prag.g_00350
OG0000090	Syah.g_01064	Prag.g_00512
OG0000091	Syah.g_01927	Prag.g_00620
OG0000093	Syah.g_01794	Prag.g_00932
OG0000094	Syah.g_01692	Prag.g_01017
OG0000095	Syah.g_02030	Prag.g_01036
OG0000097	Syah.g_01400	Prag.g_01194
OG0000098	Syah.g_00723	Prag.g_01371
OG0000099	Syah.g_00144	Prag.g_01424
OG0000100	Syah.g_01747	Prag.g_01564
OG0000101	Syah.g_00785	Prag.g_01804
OG0000102	Syah.g_00255	Prag.g_01866
OG0000103	Syah.g_00391	Prag.g_01945
OG0000104	Syah.g_00377	Prag.g_01953
OG0000105	Syah.g_00632	Prag.g_00265
OG0000106	Syah.g_01544	Prag.g_00364
