Orthogroup	Syah	Prbj
OG0000001	Syah.g_00040, Syah.g_00041	Prbj.g_01549, Prbj.g_02662
OG0000002	Syah.g_01829	Prbj.g_02517, Prbj.g_00030
OG0000004	Syah.g_02017	Prbj.g_00754
OG0000004	Syah.g_01967, Syah.g_00901	Prbj.g_01777
OG0000005	Syah.g_02363	Prbj.g_00883
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbj.g_02699
OG0000007	Syah.g_01016	Prbj.g_01610
OG0000007	Syah.g_02384	Prbj.g_00857
OG0000008	Syah.g_01994	Prbj.g_00929
OG0000008	Syah.g_01993	Prbj.g_00928
OG0000009	Syah.g_01910, Syah.g_02535	Prbj.g_01300, Prbj.g_00618
OG0000010	Syah.g_01220	Prbj.g_00129
OG0000012	Syah.g_01960	Prbj.g_02552
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prbj.g_00359
OG0000014	Syah.g_00127	Prbj.g_01442
OG0000015	Syah.g_01511, Syah.g_01510	Prbj.g_02502
OG0000017	Syah.g_01152	Prbj.g_01769
OG0000017	Syah.g_01159	Prbj.g_01761
OG0000018	Syah.g_01264	Prbj.g_00641
OG0000019	Syah.g_00669	Prbj.g_00025, Prbj.g_01349
OG0000022	Syah.g_01881	Prbj.g_00050
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbj.g_02392
OG0000024	Syah.g_01990	Prbj.g_00773
OG0000025	Syah.g_02082	Prbj.g_02475
OG0000026	Syah.g_00340	Prbj.g_01204
OG0000028	Syah.g_00141	Prbj.g_01457
OG0000029	Syah.g_01292	Prbj.g_00378
OG0000030	Syah.g_00264	Prbj.g_01288
OG0000030	Syah.g_00265	Prbj.g_01287
OG0000031	Syah.g_00146	Prbj.g_01522, Prbj.g_01527
OG0000032	Syah.g_01246	Prbj.g_00659
OG0000033	Syah.g_00078, Syah.g_00211	Prbj.g_00518
OG0000034	Syah.g_00048, Syah.g_02213	Prbj.g_01740
OG0000035	Syah.g_01293	Prbj.g_01056
OG0000036	Syah.g_00963, Syah.g_00962, Syah.g_00949	Prbj.g_01099
OG0000036	Syah.g_00964	Prbj.g_02686
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbj.g_00624
OG0000038	Syah.g_00508	Prbj.g_01959
OG0000038	Syah.g_00506	Prbj.g_01961
OG0000041	Syah.g_02271, Syah.g_02039	Prbj.g_00450
OG0000042	Syah.g_00261	Prbj.g_01808, Prbj.g_00001
OG0000045	Syah.g_02356	Prbj.g_00563
OG0000046	Syah.g_00823, Syah.g_00830, Syah.g_00816	Prbj.g_00358
OG0000047	Syah.g_00847	Prbj.g_00666, Prbj.g_02509
OG0000048	Syah.g_00637	Prbj.g_01393
OG0000052	Syah.g_00171	Prbj.g_01487
OG0000053	Syah.g_01267	Prbj.g_00638
OG0000054	Syah.g_01982, Syah.g_01862	Prbj.g_01758
OG0000057	Syah.g_02020	Prbj.g_00758
OG0000058	Syah.g_00152	Prbj.g_01467
OG0000059	Syah.g_00737	Prbj.g_01029
OG0000061	Syah.g_02158	Prbj.g_00971
OG0000062	Syah.g_02365	Prbj.g_00881
