Orthogroup	Syah	Pray
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Pray.g_01844
OG0000002	Syah.g_01829	Pray.g_01836, Pray.g_01085
OG0000004	Syah.g_02017	Pray.g_01068
OG0000004	Syah.g_01967, Syah.g_00901	Pray.g_00713
OG0000005	Syah.g_02403	Pray.g_01546
OG0000005	Syah.g_02363	Pray.g_01646
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Pray.g_00722
OG0000007	Syah.g_01016	Pray.g_00988, Pray.g_00987
OG0000007	Syah.g_02384	Pray.g_01559
OG0000008	Syah.g_01994	Pray.g_01931
OG0000009	Syah.g_02457	Pray.g_01920, Pray.g_01610
OG0000009	Syah.g_01910, Syah.g_02535	Pray.g_00184
OG0000010	Syah.g_01220	Pray.g_00592
OG0000011	Syah.g_01991	Pray.g_01930
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Pray.g_01140
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Pray.g_00805
OG0000014	Syah.g_00127	Pray.g_00784
OG0000014	Syah.g_00323	Pray.g_01792
OG0000015	Syah.g_01511, Syah.g_01510	Pray.g_00309
OG0000016	Syah.g_00359	Pray.g_01475
OG0000017	Syah.g_01152, Syah.g_01159	Pray.g_01165
OG0000018	Syah.g_01264	Pray.g_00083
OG0000019	Syah.g_00669	Pray.g_00730, Pray.g_00328
OG0000022	Syah.g_01881	Pray.g_00101
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Pray.g_00838
OG0000024	Syah.g_01990	Pray.g_00289, Pray.g_01088
OG0000025	Syah.g_02082	Pray.g_00809, Pray.g_00383
OG0000026	Syah.g_00340	Pray.g_01493, Pray.g_00599
OG0000027	Syah.g_01541	Pray.g_00960, Pray.g_01887
OG0000028	Syah.g_00141	Pray.g_01935, Pray.g_00798
OG0000029	Syah.g_01292	Pray.g_00296, Pray.g_00853
OG0000030	Syah.g_00264, Syah.g_00265	Pray.g_01374
OG0000031	Syah.g_00146, Syah.g_00226, Syah.g_00322	Pray.g_01806
OG0000034	Syah.g_00048, Syah.g_02213	Pray.g_01860
OG0000035	Syah.g_01293	Pray.g_01722
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Pray.g_00180
OG0000038	Syah.g_00508, Syah.g_00506	Pray.g_01415
OG0000039	Syah.g_02074	Pray.g_01077
OG0000040	Syah.g_01908	Pray.g_01585
OG0000040	Syah.g_00431	Pray.g_00084
OG0000042	Syah.g_00261	Pray.g_01371
OG0000043	Syah.g_02119	Pray.g_01924
OG0000044	Syah.g_02454, Syah.g_02072, Syah.g_01194	Pray.g_00002
OG0000045	Syah.g_01872	Pray.g_00849
OG0000047	Syah.g_00847	Pray.g_00808, Pray.g_00897
OG0000048	Syah.g_00637	Pray.g_00852
OG0000050	Syah.g_00941	Pray.g_00619
OG0000051	Syah.g_02473	Pray.g_01894
OG0000053	Syah.g_01267	Pray.g_01702
OG0000054	Syah.g_01982, Syah.g_01862	Pray.g_01157
OG0000055	Syah.g_01878, Syah.g_02071	Pray.g_00329
OG0000057	Syah.g_02020	Pray.g_01065
OG0000058	Syah.g_00152	Pray.g_01786
OG0000059	Syah.g_00737	Pray.g_01258
OG0000061	Syah.g_02158	Pray.g_00064
OG0000062	Syah.g_02365	Pray.g_01644
OG0000063	Syah.g_00337	Pray.g_01495
OG0000065	Syah.g_02537, Syah.g_02443	Pray.g_00182
OG0000066	Syah.g_01073	Pray.g_01222
OG0000067	Syah.g_01779	Pray.g_00348
OG0000068	Syah.g_00986	Pray.g_01829
OG0000069	Syah.g_01715	Pray.g_01609
OG0000070	Syah.g_02217	Pray.g_00940
OG0000071	Syah.g_01863, Syah.g_02199	Pray.g_01870
OG0000072	Syah.g_00080	Pray.g_00652
OG0000073	Syah.g_01018	Pray.g_00990
OG0000074	Syah.g_00951	Pray.g_01081
OG0000075	Syah.g_00186	Pray.g_01339
OG0000076	Syah.g_00250	Pray.g_01364
OG0000077	Syah.g_02494	Pray.g_00211
