Orthogroup	Syah	Pram
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Pram.g_01954, Pram.g_01953
OG0000002	Syah.g_01829	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Syah.g_02017	Pram.g_00789
OG0000004	Syah.g_01967, Syah.g_00901	Pram.g_00219
OG0000005	Syah.g_02363	Pram.g_01295
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Pram.g_00229
OG0000007	Syah.g_01016	Pram.g_00433
OG0000007	Syah.g_02384	Pram.g_01632
OG0000008	Syah.g_01994	Pram.g_01263
OG0000008	Syah.g_01993	Pram.g_01262
OG0000009	Syah.g_02457	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syah.g_01220	Pram.g_00704, Pram.g_01000
OG0000011	Syah.g_01991	Pram.g_01579
OG0000012	Syah.g_01960	Pram.g_00561
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Pram.g_00315
OG0000014	Syah.g_00127	Pram.g_00295
OG0000015	Syah.g_01511, Syah.g_01510	Pram.g_00696, Pram.g_01545
OG0000016	Syah.g_01402, Syah.g_01859	Pram.g_01193
OG0000017	Syah.g_01152	Pram.g_00535
OG0000017	Syah.g_01159	Pram.g_00542
OG0000018	Syah.g_01264	Pram.g_01162
OG0000019	Syah.g_00669	Pram.g_00237, Pram.g_01164
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Pram.g_00689
OG0000024	Syah.g_01990	Pram.g_01004, Pram.g_00765
OG0000025	Syah.g_02082	Pram.g_00844
OG0000026	Syah.g_00340	Pram.g_00018
OG0000028	Syah.g_00141	Pram.g_00363, Pram.g_00308
OG0000029	Syah.g_01292	Pram.g_01529, Pram.g_01723
OG0000030	Syah.g_00264, Syah.g_00265	Pram.g_01844
OG0000031	Syah.g_00146	Pram.g_01413
OG0000032	Syah.g_01246	Pram.g_01339
OG0000034	Syah.g_00048, Syah.g_02213	Pram.g_01240
OG0000035	Syah.g_01293	Pram.g_01381, Pram.g_01378
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Pram.g_00093
OG0000038	Syah.g_00508, Syah.g_00506	Pram.g_01884
