Orthogroup	Syah	Prae
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Prae.g_01353
OG0000002	Syah.g_01829	Prae.g_01361, Prae.g_00652
OG0000004	Syah.g_02017	Prae.g_00669
OG0000004	Syah.g_01967, Syah.g_00901	Prae.g_00235
OG0000005	Syah.g_02403	Prae.g_01636
OG0000005	Syah.g_02363	Prae.g_01535
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prae.g_00244
OG0000007	Syah.g_01016	Prae.g_00471
OG0000007	Syah.g_02384	Prae.g_01623
OG0000009	Syah.g_02457	Prae.g_01270, Prae.g_01572
OG0000010	Syah.g_01220	Prae.g_01048
OG0000011	Syah.g_01991	Prae.g_01245
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Prae.g_00597
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prae.g_00328
OG0000014	Syah.g_00127	Prae.g_00307
OG0000014	Syah.g_00323	Prae.g_01401
OG0000015	Syah.g_01511, Syah.g_01510	Prae.g_00769, Prae.g_01235
OG0000016	Syah.g_00359	Prae.g_00013
OG0000017	Syah.g_01152, Syah.g_01159	Prae.g_00572
OG0000018	Syah.g_01264	Prae.g_01144
OG0000019	Syah.g_00669	Prae.g_00252, Prae.g_00786
OG0000022	Syah.g_01881	Prae.g_01125
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prae.g_00359
OG0000024	Syah.g_01990	Prae.g_00748, Prae.g_00649
OG0000025	Syah.g_02082	Prae.g_00332, Prae.g_00840
OG0000026	Syah.g_00340	Prae.g_00031, Prae.g_01056
OG0000027	Syah.g_01541	Prae.g_00444, Prae.g_01311
OG0000028	Syah.g_00141	Prae.g_00321
OG0000029	Syah.g_01292	Prae.g_00755, Prae.g_00375
OG0000030	Syah.g_00264, Syah.g_00265	Prae.g_01825
OG0000031	Syah.g_00322	Prae.g_01402
OG0000033	Syah.g_00078	Prae.g_01396
OG0000034	Syah.g_00048, Syah.g_02213	Prae.g_01339
OG0000035	Syah.g_01293	Prae.g_01459
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prae.g_00108
OG0000038	Syah.g_00508, Syah.g_00506	Prae.g_01865
