Orthogroup	Syah	Syaq
OG0000001	Syah.g_01516	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syah.g_00040, Syah.g_00041	Syaq.g_01434
OG0000001	Syah.g_00710	Syaq.g_02178, Syaq.g_02413
OG0000004	Syah.g_02017	Syaq.g_02603
OG0000004	Syah.g_01967	Syaq.g_02042
OG0000004	Syah.g_00901	Syaq.g_01567
OG0000005	Syah.g_02403	Syaq.g_01658
OG0000005	Syah.g_02363	Syaq.g_01692
OG0000005	Syah.g_01827	Syaq.g_00236
OG0000006	Syah.g_01912	Syaq.g_02108
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syaq.g_00696, Syaq.g_01590
OG0000007	Syah.g_01016	Syaq.g_01793
OG0000007	Syah.g_02384	Syaq.g_01673
OG0000008	Syah.g_01994	Syaq.g_02162
OG0000008	Syah.g_01993	Syaq.g_02575
OG0000009	Syah.g_01910, Syah.g_02535	Syaq.g_01489
OG0000010	Syah.g_01220	Syaq.g_00443
OG0000011	Syah.g_01991	Syaq.g_01038
OG0000012	Syah.g_01960	Syaq.g_02059
OG0000012	Syah.g_02169, Syah.g_01340	Syaq.g_00077
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syah.g_00127	Syaq.g_00862
OG0000015	Syah.g_01511, Syah.g_01510	Syaq.g_02255
OG0000016	Syah.g_00359	Syaq.g_01136
OG0000016	Syah.g_01402	Syaq.g_00169
OG0000017	Syah.g_01152	Syaq.g_01992
OG0000017	Syah.g_01159	Syaq.g_01999
OG0000018	Syah.g_01264	Syaq.g_00401
OG0000019	Syah.g_00669	Syaq.g_00717
OG0000022	Syah.g_01881	Syaq.g_02126
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Syaq.g_02540
OG0000025	Syah.g_02082	Syaq.g_02381
OG0000026	Syah.g_00340	Syaq.g_01114
OG0000028	Syah.g_00141	Syaq.g_00878
OG0000030	Syah.g_00264	Syaq.g_01047
OG0000030	Syah.g_00265	Syaq.g_01048
OG0000031	Syah.g_00146	Syaq.g_01009
OG0000032	Syah.g_01246	Syaq.g_00421
OG0000033	Syah.g_00078	Syaq.g_01399
OG0000034	Syah.g_00048, Syah.g_02213	Syaq.g_00312, Syaq.g_01431
OG0000035	Syah.g_01293	Syaq.g_00372, Syaq.g_00371
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Syaq.g_01483
OG0000038	Syah.g_00508	Syaq.g_01260
OG0000038	Syah.g_00506	Syaq.g_01258
OG0000041	Syah.g_02039	Syaq.g_02688
OG0000042	Syah.g_00261	Syaq.g_00200, Syaq.g_01044
OG0000043	Syah.g_01546	Syaq.g_01920
OG0000044	Syah.g_02072	Syaq.g_02701
OG0000045	Syah.g_01872, Syah.g_02356	Syaq.g_02047
OG0000046	Syah.g_00816	Syaq.g_00570, Syaq.g_00573
OG0000048	Syah.g_00637	Syaq.g_00749
OG0000052	Syah.g_00171	Syaq.g_00969
OG0000053	Syah.g_01267	Syaq.g_00397
OG0000054	Syah.g_01982, Syah.g_01862	Syaq.g_02005
OG0000055	Syah.g_02071	Syaq.g_02700
OG0000058	Syah.g_00152	Syaq.g_00944
OG0000059	Syah.g_00737	Syaq.g_00657
OG0000060	Syah.g_01515	Syaq.g_00201
OG0000061	Syah.g_02158	Syaq.g_00249
OG0000062	Syah.g_02365	Syaq.g_01690
OG0000063	Syah.g_00337	Syaq.g_01110
OG0000065	Syah.g_02443	Syaq.g_01908
OG0000067	Syah.g_01779	Syaq.g_02340, Syaq.g_02560
OG0000068	Syah.g_00986	Syaq.g_01763
OG0000070	Syah.g_02217	Syaq.g_00484
OG0000071	Syah.g_02199	Syaq.g_00297
OG0000072	Syah.g_00080	Syaq.g_01397
OG0000073	Syah.g_01018	Syaq.g_01795
OG0000075	Syah.g_00186	Syaq.g_00986
OG0000076	Syah.g_00250	Syaq.g_01028
OG0000077	Syah.g_02494	Syaq.g_01547
OG0000078	Syah.g_00912	Syaq.g_01585
OG0000079	Syah.g_00665	Syaq.g_00721
OG0000081	Syah.g_00922, Syah.g_02471	Syaq.g_01893
OG0000082	Syah.g_01136	Syaq.g_01975
OG0000084	Syah.g_02105, Syah.g_01296	Syaq.g_00367
OG0000085	Syah.g_02372	Syaq.g_01683
OG0000086	Syah.g_02511	Syaq.g_01525
OG0000087	Syah.g_00038	Syaq.g_01438
OG0000088	Syah.g_00074	Syaq.g_01402
OG0000089	Syah.g_00888	Syaq.g_00529
OG0000090	Syah.g_01064	Syaq.g_01838
OG0000091	Syah.g_01927	Syaq.g_02090
OG0000093	Syah.g_01794	Syaq.g_02323
OG0000094	Syah.g_01692	Syaq.g_00056
OG0000095	Syah.g_02030	Syaq.g_02679
OG0000097	Syah.g_01400	Syaq.g_00167
OG0000099	Syah.g_00144	Syaq.g_00882
OG0000100	Syah.g_01747	Syaq.g_02371
OG0000101	Syah.g_00785	Syaq.g_00607
OG0000102	Syah.g_00255	Syaq.g_01033
OG0000103	Syah.g_00391	Syaq.g_01170
OG0000104	Syah.g_00377	Syaq.g_01154
OG0000105	Syah.g_00632	Syaq.g_00754
OG0000106	Syah.g_01544	Syaq.g_01863
OG0000108	Syah.g_00997	Syaq.g_01772
OG0000109	Syah.g_01012	Syaq.g_01788
OG0000110	Syah.g_01124	Syaq.g_01962
OG0000111	Syah.g_02021	Syaq.g_02606
OG0000112	Syah.g_01613	Syaq.g_02476
