Orthogroup	Syah	Praj
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Praj.g_01549
OG0000002	Syah.g_01829	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000004	Syah.g_02017	Praj.g_01396
OG0000004	Syah.g_01967, Syah.g_00901	Praj.g_00271
OG0000005	Syah.g_02403	Praj.g_01349
OG0000005	Syah.g_02363	Praj.g_01712
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syah.g_01016	Praj.g_00489
OG0000007	Syah.g_02384	Praj.g_01768
OG0000008	Syah.g_01994	Praj.g_01829
OG0000008	Syah.g_01993	Praj.g_01830
OG0000010	Syah.g_01220	Praj.g_01026
OG0000011	Syah.g_01991	Praj.g_01158
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Praj.g_00362
OG0000014	Syah.g_00127	Praj.g_00341
OG0000014	Syah.g_00323	Praj.g_01609
OG0000015	Syah.g_01511, Syah.g_01510	Praj.g_01113
OG0000016	Syah.g_00359	Praj.g_00013
OG0000016	Syah.g_01402, Syah.g_01859	Praj.g_01865
OG0000018	Syah.g_01264	Praj.g_01482
OG0000019	Syah.g_00669	Praj.g_00747
OG0000022	Syah.g_01881	Praj.g_01216
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Praj.g_01365, Praj.g_01329
OG0000024	Syah.g_01990	Praj.g_01134, Praj.g_00666
OG0000025	Syah.g_02082	Praj.g_00805
OG0000026	Syah.g_00340	Praj.g_00031
OG0000027	Syah.g_01541	Praj.g_01331
OG0000028	Syah.g_00141	Praj.g_01571
OG0000029	Syah.g_01292	Praj.g_01745
OG0000030	Syah.g_00264, Syah.g_00265	Praj.g_02024
OG0000031	Syah.g_00146, Syah.g_00226, Syah.g_00322	Praj.g_00371
OG0000032	Syah.g_01246	Praj.g_01669
OG0000033	Syah.g_00078, Syah.g_00211	Praj.g_00209
OG0000034	Syah.g_00048, Syah.g_02213	Praj.g_01538
OG0000035	Syah.g_01293	Praj.g_01632
