Orthogroup	Syah	Pras
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Pras.g_00235
OG0000002	Syah.g_01829	Pras.g_00243, Pras.g_01554
OG0000004	Syah.g_02017	Pras.g_01571
OG0000004	Syah.g_01967, Syah.g_00901	Pras.g_01084
OG0000005	Syah.g_02403	Pras.g_00563
OG0000005	Syah.g_02363	Pras.g_00429
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Pras.g_00148, Pras.g_01093
OG0000007	Syah.g_01016	Pras.g_01375
OG0000007	Syah.g_02384	Pras.g_00550
OG0000009	Syah.g_02457	Pras.g_00157, Pras.g_00463
OG0000009	Syah.g_01910, Syah.g_02535	Pras.g_00956
OG0000010	Syah.g_01220	Pras.g_00523, Pras.g_01942
OG0000011	Syah.g_01991	Pras.g_00142, Pras.g_00166
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Pras.g_01499
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Pras.g_01179
OG0000014	Syah.g_00127	Pras.g_01158
OG0000015	Syah.g_01511, Syah.g_01510	Pras.g_00127
OG0000016	Syah.g_00359	Pras.g_00855
OG0000017	Syah.g_01152, Syah.g_01159	Pras.g_01474
OG0000018	Syah.g_01264	Pras.g_00037
OG0000019	Syah.g_00669	Pras.g_01101, Pras.g_01681
OG0000022	Syah.g_01881	Pras.g_00019
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Pras.g_01213
OG0000024	Syah.g_01990	Pras.g_01645, Pras.g_01551
OG0000025	Syah.g_02082	Pras.g_01183, Pras.g_01735
OG0000026	Syah.g_00340	Pras.g_00873, Pras.g_01949
OG0000027	Syah.g_01541	Pras.g_01348, Pras.g_00185
OG0000028	Syah.g_00141	Pras.g_00169, Pras.g_01172
OG0000029	Syah.g_01292	Pras.g_01653, Pras.g_01228
OG0000030	Syah.g_00264, Syah.g_00265	Pras.g_00753
OG0000031	Syah.g_00226, Syah.g_00322	Pras.g_00331
OG0000034	Syah.g_00048, Syah.g_02213	Pras.g_00219
OG0000035	Syah.g_01293	Pras.g_00350
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Pras.g_00960
OG0000038	Syah.g_00508, Syah.g_00506	Pras.g_00795
OG0000039	Syah.g_02074	Pras.g_01562
OG0000040	Syah.g_01908	Pras.g_00489
OG0000040	Syah.g_00431	Pras.g_00036
OG0000041	Syah.g_02271, Syah.g_02039	Pras.g_00597
OG0000042	Syah.g_00261	Pras.g_00750
OG0000043	Syah.g_02119	Pras.g_00153
OG0000045	Syah.g_01872	Pras.g_01224
OG0000045	Syah.g_02356	Pras.g_00509
OG0000047	Syah.g_00847	Pras.g_01182, Pras.g_01263
OG0000048	Syah.g_00637	Pras.g_01227
OG0000050	Syah.g_00941	Pras.g_01969
OG0000051	Syah.g_02473	Pras.g_00179
OG0000053	Syah.g_01267	Pras.g_00886, Pras.g_00370
OG0000054	Syah.g_01982, Syah.g_01862	Pras.g_01482
OG0000055	Syah.g_01878, Syah.g_02071	Pras.g_01682
OG0000057	Syah.g_02020	Pras.g_01574
OG0000059	Syah.g_00737	Pras.g_00637
OG0000061	Syah.g_02158	Pras.g_00056
OG0000062	Syah.g_02365	Pras.g_00431
OG0000063	Syah.g_00337	Pras.g_00875
OG0000065	Syah.g_02537, Syah.g_02443	Pras.g_00958
OG0000066	Syah.g_01073	Pras.g_01416
OG0000067	Syah.g_01779	Pras.g_01701, Pras.g_00311
OG0000068	Syah.g_00986	Pras.g_00250
OG0000069	Syah.g_01715	Pras.g_00538, Pras.g_00464
OG0000070	Syah.g_02217	Pras.g_01328
OG0000071	Syah.g_01863, Syah.g_02199	Pras.g_00209
OG0000072	Syah.g_00080	Pras.g_01022
OG0000073	Syah.g_01018	Pras.g_01377
OG0000074	Syah.g_00951	Pras.g_01558
OG0000075	Syah.g_00186	Pras.g_00719
OG0000076	Syah.g_00250	Pras.g_00883, Pras.g_00743
OG0000077	Syah.g_02494	Pras.g_00929
OG0000078	Syah.g_00912	Pras.g_01091
OG0000079	Syah.g_00665	Pras.g_01104
OG0000080	Syah.g_00290	Pras.g_00279, Pras.g_00277
OG0000081	Syah.g_00922, Syah.g_02471	Pras.g_01408
OG0000082	Syah.g_01136	Pras.g_01462
OG0000084	Syah.g_02105, Syah.g_01296	Pras.g_00346
OG0000085	Syah.g_02372	Pras.g_00543
OG0000086	Syah.g_02511	Pras.g_00939
OG0000087	Syah.g_00038	Pras.g_00990
OG0000088	Syah.g_00074	Pras.g_01017
OG0000089	Syah.g_00888	Pras.g_01209
OG0000090	Syah.g_01064	Pras.g_01410
OG0000091	Syah.g_01927	Pras.g_01518
OG0000093	Syah.g_01794	Pras.g_01827
OG0000094	Syah.g_01692	Pras.g_01915
OG0000095	Syah.g_02030	Pras.g_01934
OG0000097	Syah.g_01400	Pras.g_00098
OG0000098	Syah.g_00723	Pras.g_00232
OG0000099	Syah.g_00144	Pras.g_00294
OG0000100	Syah.g_01747	Pras.g_00427
OG0000101	Syah.g_00785	Pras.g_00687
OG0000102	Syah.g_00255	Pras.g_00748
OG0000103	Syah.g_00391	Pras.g_00829
OG0000104	Syah.g_00377	Pras.g_00838
OG0000105	Syah.g_00632	Pras.g_01126
OG0000106	Syah.g_01544	Pras.g_01223
OG0000107	Syah.g_00688	Pras.g_01239
OG0000108	Syah.g_00997	Pras.g_01358
OG0000109	Syah.g_01012	Pras.g_01372
OG0000110	Syah.g_01124	Pras.g_01451
OG0000111	Syah.g_02021	Pras.g_01575
OG0000112	Syah.g_01613	Pras.g_01665
OG0000113	Syah.g_01752	Pras.g_01723
OG0000114	Syah.g_01529	Pras.g_01801
OG0000115	Syah.g_01269	Pras.g_01994
OG0000116	Syah.g_02175	Pras.g_00046
OG0000117	Syah.g_01425	Pras.g_00150
OG0000118	Syah.g_01173	Pras.g_00221, Pras.g_00222
OG0000120	Syah.g_00145	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syah.g_01287	Pras.g_00352
OG0000122	Syah.g_01900	Pras.g_00391
OG0000123	Syah.g_00793	Pras.g_00694
OG0000124	Syah.g_00272	Pras.g_00759
OG0000125	Syah.g_00504	Pras.g_00797
OG0000126	Syah.g_00379	Pras.g_00837
OG0000128	Syah.g_00361	Pras.g_00853
OG0000129	Syah.g_00516	Pras.g_00897
OG0000130	Syah.g_02483	Pras.g_00921
OG0000131	Syah.g_00052	Pras.g_00996
OG0000132	Syah.g_00072	Pras.g_01015
OG0000133	Syah.g_01618	Pras.g_01174
OG0000134	Syah.g_00891	Pras.g_01210
OG0000135	Syah.g_00465	Pras.g_01236
OG0000136	Syah.g_02227	Pras.g_01319
OG0000137	Syah.g_01221	Pras.g_01353
OG0000138	Syah.g_01013	Pras.g_01373
OG0000139	Syah.g_01070	Pras.g_01414
OG0000140	Syah.g_01071	Pras.g_01415
OG0000141	Syah.g_01981	Pras.g_01483
OG0000142	Syah.g_01935	Pras.g_01511
OG0000143	Syah.g_01931	Pras.g_01515
OG0000144	Syah.g_01824	Pras.g_01528
OG0000145	Syah.g_01019	Pras.g_01664
OG0000146	Syah.g_01612	Pras.g_01666
