Orthogroup	Syah	Praq
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Praq.g_00160
OG0000002	Syah.g_01829	Praq.g_00168, Praq.g_00807
OG0000004	Syah.g_02017	Praq.g_00824
OG0000004	Syah.g_01967, Syah.g_00901	Praq.g_01770
OG0000005	Syah.g_02403	Praq.g_00484
OG0000005	Syah.g_02363	Praq.g_00370
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Praq.g_01761
OG0000007	Syah.g_01016	Praq.g_01105
OG0000007	Syah.g_02384	Praq.g_00497
OG0000008	Syah.g_01994	Praq.g_00071
OG0000009	Syah.g_02457	Praq.g_00017
OG0000009	Syah.g_01910, Syah.g_02535	Praq.g_01898
OG0000010	Syah.g_01220	Praq.g_00552, Praq.g_01626
OG0000011	Syah.g_01991	Praq.g_00100
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Praq.g_00979
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Praq.g_01675
OG0000014	Syah.g_00127	Praq.g_01696
OG0000015	Syah.g_01511, Syah.g_01510	Praq.g_00065
OG0000017	Syah.g_01152, Syah.g_01159	Praq.g_01004
OG0000018	Syah.g_01264	Praq.g_01314
OG0000019	Syah.g_00669	Praq.g_01753, Praq.g_00649
OG0000022	Syah.g_01881	Praq.g_01296
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Praq.g_01184
OG0000024	Syah.g_01990	Praq.g_00618, Praq.g_00804
OG0000025	Syah.g_02082	Praq.g_01671, Praq.g_01432
OG0000026	Syah.g_00340	Praq.g_01234, Praq.g_01633
OG0000027	Syah.g_01541	Praq.g_00521
OG0000028	Syah.g_00141	Praq.g_00103, Praq.g_01682
OG0000029	Syah.g_01292	Praq.g_00627, Praq.g_01168
OG0000030	Syah.g_00264, Syah.g_00265	Praq.g_00772
OG0000031	Syah.g_00146, Syah.g_00226, Syah.g_00322	Praq.g_00209
OG0000034	Syah.g_00048, Syah.g_02213	Praq.g_00143
OG0000035	Syah.g_01293	Praq.g_00294
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Praq.g_01894
OG0000038	Syah.g_00508, Syah.g_00506	Praq.g_00716
OG0000039	Syah.g_02074	Praq.g_00815
OG0000040	Syah.g_01908	Praq.g_01955
OG0000040	Syah.g_00431	Praq.g_01313
OG0000041	Syah.g_02271, Syah.g_02039	Praq.g_00451
OG0000042	Syah.g_00261	Praq.g_00770
OG0000044	Syah.g_02454, Syah.g_02072, Syah.g_01194	Praq.g_00058
OG0000045	Syah.g_01872	Praq.g_01172
OG0000045	Syah.g_02356	Praq.g_00567
OG0000047	Syah.g_00847	Praq.g_01672, Praq.g_01137
OG0000048	Syah.g_00637	Praq.g_01169
OG0000050	Syah.g_00941	Praq.g_01654
OG0000053	Syah.g_01267	Praq.g_01246, Praq.g_00314
OG0000054	Syah.g_01982, Syah.g_01862	Praq.g_00996
OG0000055	Syah.g_01878, Syah.g_02071	Praq.g_00650
OG0000057	Syah.g_02020	Praq.g_00827
OG0000059	Syah.g_00737	Praq.g_00927
OG0000061	Syah.g_02158	Praq.g_01333
OG0000062	Syah.g_02365	Praq.g_00372
