Orthogroup	Syah	Prbd
OG0000001	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710	Prbd.g_01779
OG0000002	Syah.g_01829	Prbd.g_01771, Prbd.g_00566
OG0000004	Syah.g_02017	Prbd.g_00549
OG0000004	Syah.g_01967, Syah.g_00901	Prbd.g_01007
OG0000005	Syah.g_02403	Prbd.g_01512
OG0000005	Syah.g_02363	Prbd.g_01612
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Prbd.g_00998
OG0000007	Syah.g_01016	Prbd.g_00745
OG0000007	Syah.g_02384	Prbd.g_01525
OG0000009	Syah.g_02457	Prbd.g_01887, Prbd.g_01576
OG0000009	Syah.g_01910, Syah.g_02535	Prbd.g_01139
OG0000010	Syah.g_01220	Prbd.g_00348
OG0000011	Syah.g_01991	Prbd.g_00534, Prbd.g_01867
OG0000012	Syah.g_01960, Syah.g_02169, Syah.g_01340	Prbd.g_00621
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Prbd.g_00912
OG0000014	Syah.g_00127	Prbd.g_00933
OG0000015	Syah.g_01511, Syah.g_01510	Prbd.g_00065, Prbd.g_00826
OG0000016	Syah.g_00359	Prbd.g_01224
OG0000017	Syah.g_01152, Syah.g_01159	Prbd.g_00646
OG0000018	Syah.g_01264	Prbd.g_00449
OG0000019	Syah.g_00669	Prbd.g_00990, Prbd.g_00082
OG0000022	Syah.g_01881	Prbd.g_00423
OG0000023	Syah.g_01330, Syah.g_02167, Syah.g_00930	Prbd.g_00879
OG0000024	Syah.g_01990	Prbd.g_00045, Prbd.g_00569
OG0000025	Syah.g_02082	Prbd.g_00908, Prbd.g_00137
OG0000026	Syah.g_00340	Prbd.g_01206, Prbd.g_00355
OG0000027	Syah.g_01541	Prbd.g_00772, Prbd.g_01832
OG0000028	Syah.g_00141	Prbd.g_01864, Prbd.g_00919
OG0000029	Syah.g_01292	Prbd.g_00052, Prbd.g_00863
OG0000030	Syah.g_00264, Syah.g_00265	Prbd.g_01325
OG0000034	Syah.g_00048, Syah.g_02213	Prbd.g_01791
OG0000035	Syah.g_01293	Prbd.g_01689
OG0000037	Syah.g_02541, Syah.g_00956, Syah.g_01365	Prbd.g_01135
OG0000038	Syah.g_00508, Syah.g_00506	Prbd.g_01283
OG0000039	Syah.g_02074	Prbd.g_00558
OG0000040	Syah.g_01908	Prbd.g_01550
OG0000040	Syah.g_00431	Prbd.g_00448
OG0000041	Syah.g_02271, Syah.g_02039	Prbd.g_01478
OG0000042	Syah.g_00261	Prbd.g_01328
OG0000043	Syah.g_02119	Prbd.g_01891
OG0000045	Syah.g_01872	Prbd.g_00867
OG0000047	Syah.g_00847	Prbd.g_00909
OG0000048	Syah.g_00637	Prbd.g_00439, Prbd.g_00864
OG0000050	Syah.g_00941	Prbd.g_00375
OG0000053	Syah.g_01267	Prbd.g_01669
OG0000054	Syah.g_01982, Syah.g_01862	Prbd.g_00638
OG0000055	Syah.g_01878, Syah.g_02071	Prbd.g_00083
OG0000057	Syah.g_02020	Prbd.g_00546
OG0000059	Syah.g_00737	Prbd.g_01439
OG0000060	Syah.g_01515	Prbd.g_00824
OG0000061	Syah.g_02158	Prbd.g_00468
OG0000062	Syah.g_02365	Prbd.g_01610
OG0000063	Syah.g_00337	Prbd.g_01204
OG0000065	Syah.g_02537, Syah.g_02443	Prbd.g_01137
OG0000066	Syah.g_01073	Prbd.g_00703
OG0000067	Syah.g_01779	Prbd.g_00102
OG0000068	Syah.g_00986	Prbd.g_01764
OG0000069	Syah.g_01715	Prbd.g_01575
OG0000070	Syah.g_02217	Prbd.g_00792
OG0000071	Syah.g_01863, Syah.g_02199	Prbd.g_01801
OG0000072	Syah.g_00080	Prbd.g_01069
OG0000073	Syah.g_01018	Prbd.g_00743
OG0000074	Syah.g_00951	Prbd.g_00562
OG0000075	Syah.g_00186	Prbd.g_01359
OG0000076	Syah.g_00250	Prbd.g_01335
OG0000077	Syah.g_02494	Prbd.g_01166
OG0000078	Syah.g_00912	Prbd.g_01000
OG0000079	Syah.g_00665	Prbd.g_00987
OG0000081	Syah.g_00922, Syah.g_02471	Prbd.g_00711
OG0000082	Syah.g_01136	Prbd.g_00658
OG0000084	Syah.g_02105, Syah.g_01296	Prbd.g_01693
OG0000085	Syah.g_02372	Prbd.g_01532
OG0000086	Syah.g_02511	Prbd.g_01156
OG0000087	Syah.g_00038	Prbd.g_01104, Prbd.g_01103
OG0000088	Syah.g_00074	Prbd.g_01074
OG0000089	Syah.g_00888	Prbd.g_00883
OG0000090	Syah.g_01064	Prbd.g_00709
OG0000091	Syah.g_01927	Prbd.g_00602
OG0000093	Syah.g_01794	Prbd.g_00232
