Orthogroup	Syad	Prah
OG0000001	Syad.g_02864	Prah.g_01159
OG0000001	Syad.g_02865	Prah.g_02270
OG0000002	Syad.g_00619	Prah.g_00562, Prah.g_01226
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Prah.g_02447, Prah.g_00270, Prah.g_01119, Prah.g_02431, Prah.g_01063, Prah.g_00269, Prah.g_00926, Prah.g_00927, Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169, Prah.g_00935, Prah.g_02436, Prah.g_00271, Prah.g_00273, Prah.g_00930, Prah.g_02446, Prah.g_00226, Prah.g_00272, Prah.g_02434, Prah.g_02451, Prah.g_02432, Prah.g_01064
OG0000003	Syad.g_01327, Syad.g_01331	Prah.g_01005, Prah.g_01056
OG0000004	Syad.g_01304	Prah.g_01022
OG0000004	Syad.g_02184, Syad.g_00810	Prah.g_01413
OG0000005	Syad.g_02596	Prah.g_01652
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prah.g_00475, Prah.g_01767
OG0000007	Syad.g_00923	Prah.g_01546
OG0000007	Syad.g_02623	Prah.g_01676
OG0000008	Syad.g_01371	Prah.g_00969
OG0000009	Syad.g_02799	Prah.g_00432, Prah.g_01895
OG0000010	Syad.g_02354	Prah.g_00311
OG0000011	Syad.g_02006	Prah.g_01084
OG0000012	Syad.g_02176	Prah.g_00524
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prah.g_01956
OG0000014	Syad.g_00480	Prah.g_02171
OG0000014	Syad.g_00260	Prah.g_00101
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prah.g_01155, Prah.g_00576
OG0000016	Syad.g_00176	Prah.g_00015
OG0000016	Syad.g_01460	Prah.g_01270
OG0000017	Syad.g_01091	Prah.g_01397
OG0000018	Syad.g_02306	Prah.g_00378
OG0000019	Syad.g_00569	Prah.g_02086
OG0000020	Syad.g_00845	Prah.g_01100
OG0000021	Syad.g_01835, Syad.g_00874	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syad.g_02090	Prah.g_01209
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prah.g_00688
OG0000024	Syad.g_01374	Prah.g_01043
OG0000025	Syad.g_01241	Prah.g_00604
OG0000026	Syad.g_00198	Prah.g_00038
OG0000028	Syad.g_00463	Prah.g_02184
OG0000029	Syad.g_02099	Prah.g_01972
OG0000030	Syad.g_00328	Prah.g_00132
OG0000030	Syad.g_00327	Prah.g_00131
OG0000031	Syad.g_00458	Prah.g_02248
OG0000032	Syad.g_02326	Prah.g_00358
OG0000033	Syad.g_02903, Syad.g_00289	Prah.g_02307
OG0000034	Syad.g_02420, Syad.g_02872	Prah.g_01376
OG0000035	Syad.g_02275	Prah.g_00408
OG0000037	Syad.g_02805	Prah.g_01901
OG0000038	Syad.g_03038	Prah.g_02494
OG0000039	Syad.g_01111	Prah.g_02382
OG0000041	Syad.g_02498, Syad.g_01281	Prah.g_01737
OG0000042	Syad.g_00333	Prah.g_00135, Prah.g_01256
OG0000044	Syad.g_02214	Prah.g_00994, Prah.g_00343
OG0000045	Syad.g_00964	Prah.g_01837
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prah.g_01955
OG0000047	Syad.g_00754	Prah.g_00353, Prah.g_00321, Prah.g_00322
OG0000048	Syad.g_00534	Prah.g_02122
OG0000050	Syad.g_02478	Prah.g_01120
OG0000051	Syad.g_01967	Prah.g_00717
OG0000052	Syad.g_00434	Prah.g_02219
OG0000053	Syad.g_02302	Prah.g_00381
OG0000054	Syad.g_02209	Prah.g_01394
OG0000055	Syad.g_01255	Prah.g_00942
OG0000057	Syad.g_01301	Prah.g_01027
OG0000058	Syad.g_00452	Prah.g_02195
OG0000059	Syad.g_00642	Prah.g_02043
OG0000060	Syad.g_00899	Prah.g_01569
OG0000060	Syad.g_01508	Prah.g_01156
OG0000061	Syad.g_01152	Prah.g_01322
OG0000062	Syad.g_02598	Prah.g_01654
OG0000063	Syad.g_00202	Prah.g_00042
OG0000066	Syad.g_00992	Prah.g_01485
