Orthogroup	Syad	Prau
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prau.g_01394
OG0000002	Syad.g_00619	Prau.g_01402, Prau.g_00718
OG0000004	Syad.g_01304	Prau.g_00735
OG0000004	Syad.g_02184, Syad.g_00810	Prau.g_00233
OG0000005	Syad.g_02639	Prau.g_01745
OG0000005	Syad.g_02596	Prau.g_01607
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prau.g_01316
OG0000007	Syad.g_00923	Prau.g_00538
OG0000007	Syad.g_02623	Prau.g_01732
OG0000009	Syad.g_01952, Syad.g_00868	Prau.g_01324, Prau.g_01641
OG0000009	Syad.g_02799	Prau.g_00106
OG0000010	Syad.g_02354	Prau.g_01698, Prau.g_01096
OG0000011	Syad.g_02006	Prau.g_00441
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Prau.g_00663
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prau.g_00329
OG0000014	Syad.g_00480	Prau.g_00308
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prau.g_00817
OG0000016	Syad.g_00176	Prau.g_00013
OG0000017	Syad.g_01084, Syad.g_01091	Prau.g_00636
OG0000018	Syad.g_02306	Prau.g_01188
OG0000019	Syad.g_00569	Prau.g_00251, Prau.g_00834
OG0000020	Syad.g_00845	Prau.g_01153, Prau.g_01704
OG0000021	Syad.g_01835, Syad.g_00874	Prau.g_01680, Prau.g_00367
OG0000022	Syad.g_02090	Prau.g_01170
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prau.g_00362
OG0000024	Syad.g_01374	Prau.g_00796, Prau.g_00715
OG0000025	Syad.g_01241	Prau.g_00333, Prau.g_00888
OG0000026	Syad.g_00198	Prau.g_00030, Prau.g_01103
OG0000027	Syad.g_01257	Prau.g_01353
OG0000028	Syad.g_00463	Prau.g_01338, Prau.g_00322
OG0000029	Syad.g_02099	Prau.g_00804, Prau.g_00378
OG0000030	Syad.g_00328, Syad.g_00327	Prau.g_01935
OG0000033	Syad.g_02903	Prau.g_01465
OG0000034	Syad.g_02420, Syad.g_02872	Prau.g_01381
OG0000035	Syad.g_02275	Prau.g_01531, Prau.g_01528
OG0000037	Syad.g_02805	Prau.g_00110
OG0000038	Syad.g_03038	Prau.g_01976
OG0000039	Syad.g_01249, Syad.g_01111	Prau.g_00726
OG0000040	Syad.g_00104	Prau.g_01187
OG0000041	Syad.g_02498, Syad.g_01281	Prau.g_01778
OG0000042	Syad.g_00333	Prau.g_01932
OG0000045	Syad.g_00964	Prau.g_01682
OG0000047	Syad.g_00754	Prau.g_00332, Prau.g_00414
OG0000048	Syad.g_00534	Prau.g_00377
OG0000050	Syad.g_02478	Prau.g_01123
OG0000051	Syad.g_00842	Prau.g_01347
OG0000053	Syad.g_02302	Prau.g_00040, Prau.g_01551
OG0000054	Syad.g_02209	Prau.g_00644
OG0000055	Syad.g_01255	Prau.g_00835
OG0000057	Syad.g_01301	Prau.g_00738
OG0000059	Syad.g_00642	Prau.g_01818
OG0000061	Syad.g_01152	Prau.g_01206
OG0000062	Syad.g_02598	Prau.g_01609
OG0000063	Syad.g_00202	Prau.g_00032, Prau.g_01295
OG0000065	Syad.g_02801, Syad.g_02574	Prau.g_00108
OG0000066	Syad.g_00992	Prau.g_00579
OG0000067	Syad.g_01889	Prau.g_00854
OG0000068	Syad.g_00891	Prau.g_01409
OG0000070	Syad.g_02424	Prau.g_00491
OG0000071	Syad.g_02405	Prau.g_01371
OG0000072	Syad.g_02905	Prau.g_00172
OG0000073	Syad.g_00926	Prau.g_00540
OG0000075	Syad.g_00416	Prau.g_01901
OG0000076	Syad.g_00348	Prau.g_00037, Prau.g_01925
OG0000077	Syad.g_02741	Prau.g_00079
OG0000078	Syad.g_00824	Prau.g_00240
OG0000079	Syad.g_00565	Prau.g_00254
OG0000081	Syad.g_00833	Prau.g_00571
OG0000082	Syad.g_01063	Prau.g_00624
OG0000084	Syad.g_02272	Prau.g_01524
OG0000085	Syad.g_02612	Prau.g_01725
OG0000086	Syad.g_02770	Prau.g_00089
OG0000087	Syad.g_02860	Prau.g_00140
OG0000088	Syad.g_02899	Prau.g_00167
OG0000089	Syad.g_00785, Syad.g_02829	Prau.g_00358
OG0000090	Syad.g_00977	Prau.g_00573
OG0000091	Syad.g_02144	Prau.g_00682
OG0000092	Syad.g_01190	Prau.g_00052, Prau.g_00451
OG0000093	Syad.g_01905	Prau.g_00983
OG0000094	Syad.g_01676	Prau.g_01070
OG0000095	Syad.g_01290	Prau.g_01089
OG0000097	Syad.g_01458	Prau.g_01247
OG0000098	Syad.g_00625	Prau.g_01391
OG0000099	Syad.g_00460	Prau.g_01435
OG0000100	Syad.g_01846	Prau.g_01605
OG0000101	Syad.g_00694	Prau.g_01869
OG0000102	Syad.g_00343	Prau.g_01930
OG0000103	Syad.g_00143	Prau.g_02009
OG0000104	Syad.g_00158	Prau.g_02018
OG0000105	Syad.g_00530	Prau.g_00276
OG0000106	Syad.g_01993	Prau.g_00373
OG0000107	Syad.g_00590	Prau.g_00389
OG0000108	Syad.g_00904	Prau.g_00521
OG0000109	Syad.g_00919	Prau.g_00535
OG0000110	Syad.g_01048	Prau.g_00614
OG0000111	Syad.g_01300	Prau.g_00739
OG0000112	Syad.g_01766	Prau.g_00818
OG0000113	Syad.g_01851	Prau.g_00876
OG0000114	Syad.g_01617	Prau.g_00956
OG0000115	Syad.g_02300	Prau.g_01148
OG0000116	Syad.g_01123	Prau.g_01197
OG0000117	Syad.g_01510	Prau.g_01318
OG0000118	Syad.g_01104	Prau.g_01383
OG0000119	Syad.g_01168	Prau.g_01405
OG0000120	Syad.g_00459	Prau.g_01430
OG0000121	Syad.g_02280	Prau.g_01533
OG0000122	Syad.g_02122	Prau.g_01571
OG0000123	Syad.g_00701	Prau.g_01876
OG0000124	Syad.g_00320	Prau.g_01941
OG0000125	Syad.g_03040	Prau.g_01978
OG0000126	Syad.g_00156	Prau.g_02017
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Prau.g_01292
OG0000128	Syad.g_00174	Prau.g_00011
OG0000129	Syad.g_03028	Prau.g_00051
OG0000130	Syad.g_02728	Prau.g_00071
OG0000131	Syad.g_02876	Prau.g_00146
OG0000132	Syad.g_02897	Prau.g_00165
OG0000133	Syad.g_01761	Prau.g_00324
OG0000134	Syad.g_00788	Prau.g_00359
OG0000135	Syad.g_00063	Prau.g_00386
OG0000136	Syad.g_02445	Prau.g_00482
OG0000137	Syad.g_02353	Prau.g_00516
OG0000138	Syad.g_00920	Prau.g_00536
OG0000139	Syad.g_00983	Prau.g_00577
OG0000140	Syad.g_00987	Prau.g_00578
OG0000141	Syad.g_02208	Prau.g_00645
OG0000142	Syad.g_02152	Prau.g_00675
OG0000143	Syad.g_02148	Prau.g_00679
OG0000144	Syad.g_02024	Prau.g_00692
OG0000145	Syad.g_00927	Prau.g_00816
OG0000146	Syad.g_01767	Prau.g_00819
OG0000147	Syad.g_01768	Prau.g_00820
OG0000148	Syad.g_01861	Prau.g_00870
OG0000149	Syad.g_01221	Prau.g_00900
OG0000150	Syad.g_02207, Syad.g_00989	Prau.g_00909
OG0000151	Syad.g_01956	Prau.g_00966
OG0000152	Syad.g_01757	Prau.g_01015
OG0000153	Syad.g_01713	Prau.g_01034
OG0000154	Syad.g_01686	Prau.g_01063
OG0000155	Syad.g_01189	Prau.g_01226
OG0000156	Syad.g_01116	Prau.g_01359
OG0000157	Syad.g_01115	Prau.g_01360
OG0000158	Syad.g_00374	Prau.g_01436
OG0000160	Syad.g_02279	Prau.g_01532
OG0000161	Syad.g_02287	Prau.g_01538
OG0000162	Syad.g_02293	Prau.g_01544
OG0000163	Syad.g_02542	Prau.g_01578
OG0000164	Syad.g_02659	Prau.g_01756
OG0000165	Syad.g_02476	Prau.g_01763
OG0000166	Syad.g_00654	Prau.g_01833
OG0000167	Syad.g_00419	Prau.g_01899
OG0000168	Syad.g_00371	Prau.g_01909
OG0000169	Syad.g_00360	Prau.g_01919
OG0000170	Syad.g_00353	Prau.g_01921
OG0000171	Syad.g_00321	Prau.g_01940
OG0000172	Syad.g_00244	Prau.g_01949
OG0000173	Syad.g_00220	Prau.g_01964
OG0000174	Syad.g_00065	Prau.g_01991
OG0000175	Syad.g_00129	Prau.g_02001
OG0000176	Syad.g_00166	Prau.g_00004
OG0000177	Syad.g_00167	Prau.g_00005
OG0000178	Syad.g_00168	Prau.g_00006
OG0000179	Syad.g_00183	Prau.g_00016
OG0000180	Syad.g_00184	Prau.g_00017
OG0000181	Syad.g_00185	Prau.g_00018
OG0000182	Syad.g_00186	Prau.g_00019
OG0000183	Syad.g_00190	Prau.g_00023
OG0000184	Syad.g_03018	Prau.g_00054
OG0000185	Syad.g_03006	Prau.g_00057
OG0000186	Syad.g_02722	Prau.g_00066
OG0000187	Syad.g_02724	Prau.g_00067
OG0000188	Syad.g_02759	Prau.g_00083
OG0000189	Syad.g_02788	Prau.g_00097
OG0000190	Syad.g_02790	Prau.g_00098
OG0000191	Syad.g_02824	Prau.g_00118
OG0000192	Syad.g_02834	Prau.g_00122
OG0000193	Syad.g_02877	Prau.g_00147
OG0000194	Syad.g_02880	Prau.g_00150
OG0000195	Syad.g_02884	Prau.g_00152
OG0000196	Syad.g_02894	Prau.g_00162
OG0000197	Syad.g_02895	Prau.g_00163
OG0000198	Syad.g_02896	Prau.g_00164
OG0000199	Syad.g_02904	Prau.g_00171
OG0000200	Syad.g_02921	Prau.g_00185
OG0000201	Syad.g_02937	Prau.g_00193
OG0000202	Syad.g_02938	Prau.g_00194
OG0000203	Syad.g_02939	Prau.g_00195
OG0000204	Syad.g_02940	Prau.g_00196
OG0000205	Syad.g_02948	Prau.g_00203
OG0000206	Syad.g_02955	Prau.g_00208
OG0000207	Syad.g_02957	Prau.g_00210
OG0000208	Syad.g_02958	Prau.g_00211
OG0000209	Syad.g_02981	Prau.g_00220
OG0000210	Syad.g_02982	Prau.g_00221
OG0000211	Syad.g_00813	Prau.g_00234
OG0000212	Syad.g_00825	Prau.g_00241
OG0000213	Syad.g_00556	Prau.g_00259
OG0000214	Syad.g_00538	Prau.g_00269
OG0000215	Syad.g_00508	Prau.g_00294
OG0000216	Syad.g_00504, Syad.g_00285	Prau.g_00296
OG0000217	Syad.g_00500	Prau.g_00299
OG0000218	Syad.g_00498	Prau.g_00301
OG0000219	Syad.g_00497	Prau.g_00302
OG0000220	Syad.g_00496	Prau.g_00303
OG0000221	Syad.g_00488	Prau.g_00304
OG0000222	Syad.g_00473	Prau.g_00312
OG0000223	Syad.g_00451	Prau.g_00325
OG0000224	Syad.g_00444	Prau.g_00327
OG0000225	Syad.g_00777	Prau.g_00348
OG0000226	Syad.g_00781	Prau.g_00352
OG0000227	Syad.g_00783	Prau.g_00354
OG0000228	Syad.g_00784	Prau.g_00357
OG0000229	Syad.g_02450	Prau.g_00477
OG0000230	Syad.g_02448	Prau.g_00479
OG0000231	Syad.g_02436	Prau.g_00490
OG0000232	Syad.g_02392	Prau.g_00499
OG0000233	Syad.g_02382	Prau.g_00505
OG0000234	Syad.g_02351	Prau.g_00517
OG0000235	Syad.g_00903	Prau.g_00520
OG0000236	Syad.g_00918	Prau.g_00534
OG0000237	Syad.g_00936	Prau.g_00547
OG0000238	Syad.g_00941	Prau.g_00553
OG0000239	Syad.g_00957	Prau.g_00565
OG0000240	Syad.g_00958	Prau.g_00566
OG0000241	Syad.g_02160	Prau.g_00570
OG0000242	Syad.g_00975	Prau.g_00572
OG0000243	Syad.g_01000	Prau.g_00583
OG0000244	Syad.g_01012	Prau.g_00586
OG0000245	Syad.g_01014	Prau.g_00588
OG0000246	Syad.g_01017	Prau.g_00592
OG0000247	Syad.g_01029	Prau.g_00602
OG0000248	Syad.g_01032	Prau.g_00604
OG0000249	Syad.g_01034	Prau.g_00606
OG0000250	Syad.g_01044	Prau.g_00611
OG0000251	Syad.g_01071	Prau.g_00629
OG0000252	Syad.g_01078	Prau.g_00632
OG0000253	Syad.g_01081	Prau.g_00633
OG0000254	Syad.g_02203	Prau.g_00649
OG0000255	Syad.g_02185	Prau.g_00655
OG0000256	Syad.g_02167	Prau.g_00667
OG0000257	Syad.g_02161	Prau.g_00670
OG0000258	Syad.g_02143	Prau.g_00683
OG0000259	Syad.g_01576	Prau.g_00700
OG0000260	Syad.g_01587	Prau.g_00703
OG0000261	Syad.g_01590	Prau.g_00705
OG0000262	Syad.g_01595	Prau.g_00709
OG0000263	Syad.g_01475	Prau.g_00721
OG0000264	Syad.g_01360	Prau.g_00731
OG0000265	Syad.g_01383	Prau.g_00755
OG0000266	Syad.g_01804	Prau.g_00765
OG0000267	Syad.g_01645	Prau.g_00776
OG0000268	Syad.g_01646	Prau.g_00777
OG0000269	Syad.g_01894	Prau.g_00849
OG0000270	Syad.g_01891	Prau.g_00852
OG0000271	Syad.g_01883	Prau.g_00860
OG0000272	Syad.g_01882	Prau.g_00861
OG0000273	Syad.g_01247	Prau.g_00884
OG0000274	Syad.g_01246	Prau.g_00885
OG0000275	Syad.g_01242	Prau.g_00887
OG0000276	Syad.g_01229	Prau.g_00892
OG0000277	Syad.g_01228	Prau.g_00893
OG0000278	Syad.g_01225	Prau.g_00896
OG0000279	Syad.g_01208	Prau.g_00904
OG0000280	Syad.g_01198	Prau.g_00905
OG0000281	Syad.g_00624	Prau.g_00910
OG0000282	Syad.g_01619	Prau.g_00958
OG0000283	Syad.g_01661	Prau.g_00992
OG0000284	Syad.g_01787	Prau.g_00997
OG0000285	Syad.g_01776	Prau.g_01002
OG0000286	Syad.g_01758	Prau.g_01014
OG0000287	Syad.g_01720	Prau.g_01031
OG0000288	Syad.g_01687	Prau.g_01062
OG0000289	Syad.g_01672	Prau.g_01073
OG0000290	Syad.g_01287	Prau.g_01086
OG0000291	Syad.g_01289	Prau.g_01088
OG0000292	Syad.g_00155	Prau.g_01136
OG0000293	Syad.g_01124	Prau.g_01198
OG0000294	Syad.g_01125	Prau.g_01199
OG0000295	Syad.g_01181	Prau.g_01218
OG0000296	Syad.g_01183	Prau.g_01220
OG0000297	Syad.g_01512	Prau.g_01228
OG0000298	Syad.g_01511	Prau.g_01229
OG0000299	Syad.g_01462	Prau.g_01246
OG0000300	Syad.g_01455	Prau.g_01249
