Orthogroup	Syad	Syan
OG0000001	Syad.g_02865	Syan.g_02266
OG0000001	Syad.g_01238, Syad.g_00611	Syan.g_01149
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Syan.g_01063, Syan.g_01258, Syan.g_02794, Syan.g_01055
OG0000004	Syad.g_01304	Syan.g_00183
OG0000004	Syad.g_02184	Syan.g_00989
OG0000005	Syad.g_02639	Syan.g_01423
OG0000005	Syad.g_02596	Syan.g_01378
OG0000005	Syad.g_02028	Syan.g_00449
OG0000006	Syad.g_02130	Syan.g_00791
OG0000006	Syad.g_00588, Syad.g_00829	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syad.g_00923	Syan.g_02743
OG0000007	Syad.g_02623	Syan.g_01400
OG0000008	Syad.g_01371	Syan.g_00641, Syan.g_02531
OG0000009	Syad.g_01952, Syad.g_00868, Syad.g_02799	Syan.g_02972
OG0000010	Syad.g_02354	Syan.g_02847
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000014	Syad.g_00480	Syan.g_01987
OG0000015	Syad.g_00142	Syan.g_01691
OG0000016	Syad.g_00176	Syan.g_01766
OG0000016	Syad.g_01460	Syan.g_02598
OG0000017	Syad.g_01091	Syan.g_01013
OG0000018	Syad.g_02306	Syan.g_02816
OG0000019	Syad.g_00569	Syan.g_02088
OG0000021	Syad.g_01835, Syad.g_00874	Syan.g_01001
OG0000022	Syad.g_02090	Syan.g_00089
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Syan.g_00404
OG0000025	Syad.g_01241	Syan.g_00374
OG0000026	Syad.g_00198	Syan.g_01743
OG0000028	Syad.g_00463	Syan.g_01971
OG0000030	Syad.g_00328	Syan.g_01884
OG0000030	Syad.g_00327	Syan.g_01883
OG0000031	Syad.g_00458	Syan.g_01967
OG0000032	Syad.g_02326	Syan.g_02835
OG0000033	Syad.g_02903, Syad.g_00289	Syan.g_03036
OG0000034	Syad.g_02420, Syad.g_02872	Syan.g_01227, Syan.g_03003
OG0000035	Syad.g_02275	Syan.g_01279, Syan.g_01276
OG0000037	Syad.g_02805	Syan.g_00136
OG0000038	Syad.g_03038	Syan.g_01569
OG0000039	Syad.g_01249, Syad.g_01111	Syan.g_00535
OG0000040	Syad.g_00104	Syan.g_01651
OG0000042	Syad.g_00333	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syad.g_02214	Syan.g_00431, Syan.g_00435, Syan.g_01065
OG0000045	Syad.g_00964	Syan.g_00086
OG0000046	Syad.g_00723	Syan.g_02157, Syan.g_02160
OG0000048	Syad.g_00534	Syan.g_02036
OG0000052	Syad.g_00434	Syan.g_01954, Syan.g_01953
OG0000053	Syad.g_02302	Syan.g_02812
OG0000057	Syad.g_01301	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Syad.g_00452	Syan.g_01964
OG0000059	Syad.g_00642	Syan.g_02255
OG0000060	Syad.g_02370, Syad.g_00899	Syan.g_02856
OG0000060	Syad.g_01508	Syan.g_00277
OG0000061	Syad.g_01152	Syan.g_02696
OG0000062	Syad.g_02598	Syan.g_01380
OG0000063	Syad.g_00202	Syan.g_01739
OG0000064	Syad.g_00081, Syad.g_02125	Syan.g_02518
OG0000066	Syad.g_00992	Syan.g_01156
OG0000067	Syad.g_01889	Syan.g_00690
OG0000068	Syad.g_00891	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Syad.g_02424	Syan.g_00289
