Orthogroup	Syad	Syab
OG0000001	Syad.g_02865	Syab.g_02553, Syab.g_02555
OG0000001	Syad.g_01238, Syad.g_00611	Syab.g_01509, Syab.g_01510
OG0000002	Syad.g_00619	Syab.g_02285
OG0000003	Syad.g_01327, Syad.g_01331	Syab.g_01580
OG0000004	Syad.g_01304	Syab.g_00549, Syab.g_01193
OG0000004	Syad.g_02184	Syab.g_01911
OG0000004	Syad.g_00810	Syab.g_02377
OG0000005	Syad.g_02639	Syab.g_02289
OG0000005	Syad.g_02596	Syab.g_02232
OG0000005	Syad.g_02028	Syab.g_00981
OG0000006	Syad.g_02130	Syab.g_01849
OG0000006	Syad.g_00588, Syad.g_00829	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syad.g_00923	Syab.g_02117
OG0000007	Syad.g_02623	Syab.g_02256
OG0000008	Syad.g_01371	Syab.g_01168
OG0000009	Syad.g_01952, Syad.g_00868	Syab.g_00995
OG0000009	Syad.g_02799	Syab.g_02498
OG0000010	Syad.g_02354	Syab.g_00696
OG0000012	Syad.g_01579, Syad.g_01008	Syab.g_01774, Syab.g_00953
OG0000013	Syad.g_00729	Syab.g_00487
OG0000013	Syad.g_00737	Syab.g_00497
OG0000013	Syad.g_00724	Syab.g_00482
OG0000014	Syad.g_00480	Syab.g_00249
OG0000015	Syad.g_00142	Syab.g_02889
OG0000016	Syad.g_00176	Syab.g_00014
OG0000016	Syad.g_01460	Syab.g_01049
OG0000017	Syad.g_01084	Syab.g_01953
OG0000017	Syad.g_01091	Syab.g_01945
OG0000018	Syad.g_02306	Syab.g_00742
OG0000019	Syad.g_00569	Syab.g_00344
OG0000020	Syad.g_00845	Syab.g_02230
OG0000022	Syad.g_02090	Syab.g_01825
OG0000023	Syad.g_02337	Syab.g_00708
OG0000023	Syad.g_01583	Syab.g_02058, Syab.g_01294
OG0000024	Syad.g_01374	Syab.g_01834
OG0000025	Syad.g_01241	Syab.g_01705
OG0000026	Syad.g_00198	Syab.g_00036
OG0000027	Syad.g_01257	Syab.g_01782
OG0000028	Syad.g_00463	Syab.g_00234
OG0000030	Syad.g_00328	Syab.g_00096
OG0000030	Syad.g_00327	Syab.g_00095
OG0000031	Syad.g_00458	Syab.g_00160
OG0000032	Syad.g_02326	Syab.g_00724
OG0000033	Syad.g_02903	Syab.g_02590
OG0000034	Syad.g_02420, Syad.g_02872	Syab.g_00900, Syab.g_02560
OG0000035	Syad.g_02275	Syab.g_00776, Syab.g_00778
OG0000036	Syad.g_02714, Syad.g_02715	Syab.g_00846
OG0000038	Syad.g_03038	Syab.g_02759
OG0000039	Syad.g_01111	Syab.g_02791
OG0000040	Syad.g_00104	Syab.g_02853
OG0000042	Syad.g_00333	Syab.g_01019, Syab.g_00099
OG0000043	Syad.g_02119	Syab.g_01785
OG0000044	Syad.g_02214	Syab.g_01262, Syab.g_01256, Syab.g_01097
OG0000045	Syad.g_00964	Syab.g_00871
OG0000046	Syad.g_00730	Syab.g_00488
OG0000046	Syad.g_00736	Syab.g_00496
OG0000046	Syad.g_00723	Syab.g_00481
OG0000047	Syad.g_00754	Syab.g_00876
OG0000048	Syad.g_00534	Syab.g_00308
OG0000051	Syad.g_01967	Syab.g_02216
OG0000052	Syad.g_00434	Syab.g_00214
OG0000053	Syad.g_02302	Syab.g_00746
OG0000055	Syad.g_01255	Syab.g_01255
OG0000057	Syad.g_01301	Syab.g_01200
OG0000058	Syad.g_00452	Syab.g_00227
OG0000059	Syad.g_00642	Syab.g_00397
OG0000060	Syad.g_02370	Syab.g_00662
OG0000060	Syad.g_00899	Syab.g_02094
OG0000061	Syad.g_01152	Syab.g_00969
OG0000062	Syad.g_02598	Syab.g_02234
OG0000063	Syad.g_00202	Syab.g_00040
OG0000064	Syad.g_00873	Syab.g_02808
OG0000064	Syad.g_00081, Syad.g_02125	Syab.g_01783
OG0000065	Syad.g_02574	Syab.g_01768
OG0000066	Syad.g_00992	Syab.g_01516
OG0000067	Syad.g_01889	Syab.g_01659
OG0000068	Syad.g_00891	Syab.g_02087
OG0000070	Syad.g_02424	Syab.g_00614
OG0000071	Syad.g_02405	Syab.g_00915
OG0000072	Syad.g_02905	Syab.g_02593
OG0000073	Syad.g_00926	Syab.g_02119
OG0000075	Syad.g_00416	Syab.g_00202
OG0000076	Syad.g_00348	Syab.g_00113
OG0000077	Syad.g_02741	Syab.g_02446
OG0000078	Syad.g_00824	Syab.g_02366
OG0000079	Syad.g_00565	Syab.g_00340
OG0000081	Syad.g_00833	Syab.g_01793
OG0000082	Syad.g_01063	Syab.g_01971
OG0000084	Syad.g_02272	Syab.g_00781
OG0000085	Syad.g_02612	Syab.g_02243
OG0000086	Syad.g_02770	Syab.g_02468
OG0000087	Syad.g_02860	Syab.g_02551
OG0000088	Syad.g_02899	Syab.g_02586
OG0000089	Syad.g_00785, Syad.g_02829	Syab.g_00551
OG0000090	Syad.g_00977	Syab.g_02041
OG0000091	Syad.g_02144	Syab.g_01866
OG0000092	Syad.g_01190	Syab.g_01242, Syab.g_00690
OG0000093	Syad.g_01905	Syab.g_01582
OG0000094	Syad.g_01676	Syab.g_01306
OG0000095	Syad.g_01290	Syab.g_01210
OG0000097	Syad.g_01458	Syab.g_01051
OG0000099	Syad.g_00460	Syab.g_00230
OG0000100	Syad.g_01846	Syab.g_01694
OG0000101	Syad.g_00694	Syab.g_00446
OG0000102	Syad.g_00343	Syab.g_00104
OG0000103	Syad.g_00143	Syab.g_02895
OG0000104	Syad.g_00158	Syab.g_02910
OG0000105	Syad.g_00530	Syab.g_00303
OG0000106	Syad.g_01993	Syab.g_01817
OG0000107	Syad.g_00590	Syab.g_00367
OG0000108	Syad.g_00904	Syab.g_02096
OG0000109	Syad.g_00919	Syab.g_02112
OG0000110	Syad.g_01048	Syab.g_01984
OG0000111	Syad.g_01300	Syab.g_01201
OG0000112	Syad.g_01766	Syab.g_01392
OG0000113	Syad.g_01851	Syab.g_01689
OG0000114	Syad.g_01617	Syab.g_02656
OG0000115	Syad.g_02300	Syab.g_00748
OG0000116	Syad.g_01123	Syab.g_00945
OG0000117	Syad.g_01510	Syab.g_01018
OG0000118	Syad.g_01104	Syab.g_00897
OG0000120	Syad.g_00459	Syab.g_00229
OG0000121	Syad.g_02280	Syab.g_00772
OG0000122	Syad.g_02122	Syab.g_01839
OG0000123	Syad.g_00701	Syab.g_00454
OG0000124	Syad.g_00320	Syab.g_00088
OG0000125	Syad.g_03040	Syab.g_02763
OG0000126	Syad.g_00156	Syab.g_02908
OG0000128	Syad.g_00174	Syab.g_00012
OG0000129	Syad.g_03028	Syab.g_02749
OG0000130	Syad.g_02728	Syab.g_02434
OG0000131	Syad.g_02876	Syab.g_02564
OG0000132	Syad.g_02897	Syab.g_02584
OG0000133	Syad.g_01761	Syab.g_01387
OG0000134	Syad.g_00788	Syab.g_00554
OG0000135	Syad.g_00063	Syab.g_02815
OG0000136	Syad.g_02445	Syab.g_00588
OG0000137	Syad.g_02353	Syab.g_00697
OG0000138	Syad.g_00920	Syab.g_02113
OG0000139	Syad.g_00983	Syab.g_02035
OG0000140	Syad.g_00987	Syab.g_02033
OG0000141	Syad.g_02208	Syab.g_01931
OG0000142	Syad.g_02152	Syab.g_01873
OG0000143	Syad.g_02148	Syab.g_01870
OG0000144	Syad.g_02024	Syab.g_01757
OG0000145	Syad.g_00927	Syab.g_02120
OG0000146	Syad.g_01767	Syab.g_01393
OG0000147	Syad.g_01768	Syab.g_01394
OG0000148	Syad.g_01861	Syab.g_01682
OG0000149	Syad.g_01221	Syab.g_01720
OG0000150	Syad.g_02207, Syad.g_00989	Syab.g_01930
OG0000151	Syad.g_01956	Syab.g_01612
OG0000152	Syad.g_01757	Syab.g_01383
OG0000153	Syad.g_01713	Syab.g_01343
OG0000154	Syad.g_01686	Syab.g_01317
OG0000155	Syad.g_01189	Syab.g_01009
OG0000156	Syad.g_01116	Syab.g_00933
OG0000157	Syad.g_01115	Syab.g_00932
OG0000158	Syad.g_00374	Syab.g_00161
OG0000159	Syad.g_00373	Syab.g_00148
OG0000160	Syad.g_02279	Syab.g_00774
OG0000161	Syad.g_02287	Syab.g_00766
OG0000162	Syad.g_02293	Syab.g_00755
OG0000163	Syad.g_02542	Syab.g_02173
OG0000164	Syad.g_02659	Syab.g_02307
OG0000165	Syad.g_02476	Syab.g_02316
OG0000166	Syad.g_00654	Syab.g_00407
OG0000167	Syad.g_00419	Syab.g_00205
OG0000168	Syad.g_00371	Syab.g_00136
OG0000169	Syad.g_00360	Syab.g_00125
OG0000170	Syad.g_00353	Syab.g_00118
OG0000171	Syad.g_00321	Syab.g_00089
OG0000172	Syad.g_00244	Syab.g_00080
OG0000173	Syad.g_00220	Syab.g_00061
OG0000174	Syad.g_00065	Syab.g_02819
OG0000175	Syad.g_00129	Syab.g_02876
OG0000176	Syad.g_00166	Syab.g_00004
OG0000177	Syad.g_00167	Syab.g_00005
OG0000178	Syad.g_00168	Syab.g_00006
OG0000179	Syad.g_00183	Syab.g_00022
OG0000180	Syad.g_00184	Syab.g_00023
OG0000181	Syad.g_00185	Syab.g_00024
OG0000182	Syad.g_00186	Syab.g_00025
OG0000183	Syad.g_00190	Syab.g_00029
OG0000184	Syad.g_03018	Syab.g_02738
OG0000185	Syad.g_03006	Syab.g_02715
OG0000186	Syad.g_02722	Syab.g_02430
OG0000187	Syad.g_02724	Syab.g_02431
OG0000188	Syad.g_02759	Syab.g_02454
OG0000189	Syad.g_02788	Syab.g_02487
OG0000190	Syad.g_02790	Syab.g_00190, Syab.g_00139
OG0000191	Syad.g_02824	Syab.g_02522
OG0000192	Syad.g_02834	Syab.g_02528
OG0000193	Syad.g_02877	Syab.g_02565
OG0000194	Syad.g_02880	Syab.g_02568
OG0000195	Syad.g_02884	Syab.g_02570
OG0000196	Syad.g_02894	Syab.g_02581
OG0000197	Syad.g_02895	Syab.g_02582
OG0000199	Syad.g_02904	Syab.g_02591
OG0000200	Syad.g_02921	Syab.g_02611
OG0000201	Syad.g_02937	Syab.g_02628
OG0000202	Syad.g_02938	Syab.g_02629
OG0000203	Syad.g_02939	Syab.g_02630
OG0000204	Syad.g_02940	Syab.g_02631
OG0000205	Syad.g_02948	Syab.g_02638
OG0000206	Syad.g_02955	Syab.g_02674
OG0000207	Syad.g_02957	Syab.g_02677
OG0000208	Syad.g_02958	Syab.g_02678
OG0000209	Syad.g_02981	Syab.g_02698
OG0000210	Syad.g_02982	Syab.g_02699
OG0000211	Syad.g_00813	Syab.g_02374
OG0000212	Syad.g_00825	Syab.g_02365
OG0000213	Syad.g_00556	Syab.g_00332
OG0000214	Syad.g_00538	Syab.g_00312
OG0000215	Syad.g_00508	Syab.g_00281
OG0000216	Syad.g_00504	Syab.g_00277
OG0000217	Syad.g_00500	Syab.g_00273
OG0000218	Syad.g_00498	Syab.g_00271
OG0000219	Syad.g_00497	Syab.g_00270
OG0000220	Syad.g_00496	Syab.g_00269
OG0000221	Syad.g_00488	Syab.g_00257
OG0000222	Syad.g_00473	Syab.g_00244
OG0000223	Syad.g_00451	Syab.g_00226
OG0000224	Syad.g_00444	Syab.g_00223
OG0000225	Syad.g_00777	Syab.g_00538
OG0000226	Syad.g_00781	Syab.g_00542
OG0000227	Syad.g_00783	Syab.g_00544
OG0000228	Syad.g_00784	Syab.g_00550
OG0000229	Syad.g_02450	Syab.g_00583
OG0000230	Syad.g_02448	Syab.g_00585
OG0000231	Syad.g_02436	Syab.g_00613
OG0000232	Syad.g_02392	Syab.g_00631
OG0000233	Syad.g_02382	Syab.g_00645
OG0000234	Syad.g_02351	Syab.g_00699
OG0000235	Syad.g_00903	Syab.g_02095
OG0000236	Syad.g_00918	Syab.g_02111
OG0000237	Syad.g_00936	Syab.g_02129
OG0000238	Syad.g_00941	Syab.g_02134
OG0000239	Syad.g_00957	Syab.g_02151
OG0000240	Syad.g_00958	Syab.g_02152
OG0000241	Syad.g_02160	Syab.g_01884
OG0000242	Syad.g_00975	Syab.g_02043
OG0000243	Syad.g_01000	Syab.g_02025
OG0000244	Syad.g_01012	Syab.g_02017
OG0000245	Syad.g_01014	Syab.g_02015
OG0000246	Syad.g_01017	Syab.g_02011
OG0000247	Syad.g_01029	Syab.g_01999
OG0000248	Syad.g_01032	Syab.g_01996
OG0000249	Syad.g_01034	Syab.g_01994
OG0000250	Syad.g_01044	Syab.g_01988
OG0000251	Syad.g_01071	Syab.g_01961
OG0000252	Syad.g_01078	Syab.g_01958
OG0000253	Syad.g_01081	Syab.g_01956
OG0000254	Syad.g_02203	Syab.g_01925
OG0000255	Syad.g_02185	Syab.g_01912
OG0000256	Syad.g_02167	Syab.g_01890
OG0000257	Syad.g_02161	Syab.g_01885
OG0000258	Syad.g_02143	Syab.g_01861
OG0000259	Syad.g_01576	Syab.g_01538
OG0000260	Syad.g_01587	Syab.g_01544
OG0000261	Syad.g_01590	Syab.g_01556
OG0000262	Syad.g_01595	Syab.g_01561
OG0000263	Syad.g_01475	Syab.g_01035
OG0000264	Syad.g_01360	Syab.g_01173
OG0000266	Syad.g_01804	Syab.g_01667
OG0000267	Syad.g_01645	Syab.g_01433
OG0000268	Syad.g_01646	Syab.g_01432
OG0000269	Syad.g_01894	Syab.g_01650
OG0000270	Syad.g_01891	Syab.g_01657
OG0000271	Syad.g_01883	Syab.g_01279
OG0000272	Syad.g_01882	Syab.g_01280
OG0000273	Syad.g_01247	Syab.g_01699
OG0000274	Syad.g_01246	Syab.g_01700
OG0000275	Syad.g_01242	Syab.g_01704
OG0000276	Syad.g_01229	Syab.g_01712
OG0000277	Syad.g_01228	Syab.g_01713
OG0000278	Syad.g_01225	Syab.g_01716
OG0000279	Syad.g_01208	Syab.g_01724
OG0000280	Syad.g_01198	Syab.g_01736
OG0000281	Syad.g_00624	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Syad.g_01619	Syab.g_01631
OG0000283	Syad.g_01661	Syab.g_01418
OG0000284	Syad.g_01787	Syab.g_01413
OG0000285	Syad.g_01776	Syab.g_01402
OG0000286	Syad.g_01758	Syab.g_01384
OG0000287	Syad.g_01720	Syab.g_01350
OG0000288	Syad.g_01687	Syab.g_01318
OG0000289	Syad.g_01672	Syab.g_01303
OG0000290	Syad.g_01287	Syab.g_01213
OG0000291	Syad.g_01289	Syab.g_01211
OG0000292	Syad.g_00155	Syab.g_02907
OG0000293	Syad.g_01124	Syab.g_00946
OG0000294	Syad.g_01125	Syab.g_00947
OG0000295	Syad.g_01181	Syab.g_01001
OG0000296	Syad.g_01183	Syab.g_01003
OG0000297	Syad.g_01512	Syab.g_01016
OG0000298	Syad.g_01511	Syab.g_01017
OG0000299	Syad.g_01462	Syab.g_01047
OG0000300	Syad.g_01455	Syab.g_01054
OG0000301	Syad.g_01454	Syab.g_01055
OG0000302	Syad.g_01453	Syab.g_01056
OG0000303	Syad.g_01442	Syab.g_01149
OG0000304	Syad.g_01436	Syab.g_01143
OG0000305	Syad.g_01292	Syab.g_01208
OG0000306	Syad.g_01989	Syab.g_01819
OG0000307	Syad.g_00883	Syab.g_02078
OG0000308	Syad.g_00881	Syab.g_02076
OG0000309	Syad.g_00876	Syab.g_02071
OG0000310	Syad.g_02250	Syab.g_00817
OG0000311	Syad.g_02254	Syab.g_00811
OG0000312	Syad.g_02265	Syab.g_00793
OG0000313	Syad.g_02284	Syab.g_00769
OG0000314	Syad.g_02313, Syad.g_02231	Syab.g_00736
OG0000315	Syad.g_02323	Syab.g_00726
OG0000316	Syad.g_02564	Syab.g_02189
OG0000317	Syad.g_02620	Syab.g_02251
OG0000318	Syad.g_02624	Syab.g_02257
OG0000319	Syad.g_02642	Syab.g_02291
OG0000320	Syad.g_02644	Syab.g_02293
OG0000321	Syad.g_02645	Syab.g_02294
OG0000322	Syad.g_02646	Syab.g_02295
OG0000323	Syad.g_02661	Syab.g_02310
OG0000324	Syad.g_02505	Syab.g_02341
OG0000325	Syad.g_00591	Syab.g_00368
OG0000326	Syad.g_00598	Syab.g_00375
OG0000327	Syad.g_00649	Syab.g_00402
OG0000328	Syad.g_00650	Syab.g_00403
OG0000329	Syad.g_00668	Syab.g_00420
OG0000330	Syad.g_00669	Syab.g_00421
OG0000331	Syad.g_00670	Syab.g_00422
OG0000332	Syad.g_00685	Syab.g_00437
OG0000333	Syad.g_00688	Syab.g_00440
OG0000334	Syad.g_00697	Syab.g_00450
OG0000335	Syad.g_00702	Syab.g_00455
OG0000336	Syad.g_00706	Syab.g_00459
