Orthogroup	Syad	Prbg
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbg.g_00502
OG0000002	Syad.g_00619	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Syad.g_01304	Prbg.g_01140
OG0000004	Syad.g_02184, Syad.g_00810	Prbg.g_01014
OG0000005	Syad.g_02596	Prbg.g_00674
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbg.g_01024
OG0000007	Syad.g_00923	Prbg.g_00216
OG0000007	Syad.g_02623	Prbg.g_01650
OG0000008	Syad.g_01371	Prbg.g_00745
OG0000009	Syad.g_01952, Syad.g_00868	Prbg.g_00686
OG0000010	Syad.g_02354	Prbg.g_01053, Prbg.g_01348
OG0000012	Syad.g_02176	Prbg.g_00342
OG0000012	Syad.g_01702	Prbg.g_00706
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbg.g_00104
OG0000014	Syad.g_00480	Prbg.g_00086
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbg.g_01589, Prbg.g_01635
OG0000016	Syad.g_01460, Syad.g_02065	Prbg.g_01544
OG0000017	Syad.g_01084	Prbg.g_00317
OG0000017	Syad.g_01091	Prbg.g_00324
OG0000018	Syad.g_02306	Prbg.g_01508
OG0000019	Syad.g_00569	Prbg.g_01032, Prbg.g_01510
OG0000020	Syad.g_00845	Prbg.g_00698, Prbg.g_00727
OG0000021	Syad.g_01835, Syad.g_00874	Prbg.g_00699, Prbg.g_01145
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbg.g_00013
OG0000024	Syad.g_01374	Prbg.g_01352, Prbg.g_01116
OG0000025	Syad.g_01241	Prbg.g_01195
OG0000026	Syad.g_00198	Prbg.g_00842
OG0000027	Syad.g_01257	Prbg.g_00721, Prbg.g_01569
OG0000028	Syad.g_00463	Prbg.g_00743
OG0000029	Syad.g_02099	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syad.g_00328, Syad.g_00327	Prbg.g_01858
OG0000031	Syad.g_00458, Syad.g_00294	Prbg.g_00550
OG0000032	Syad.g_02326	Prbg.g_00630
OG0000033	Syad.g_02903	Prbg.g_00557
OG0000034	Syad.g_02420, Syad.g_02872	Prbg.g_00488
OG0000035	Syad.g_02275	Prbg.g_00591
OG0000037	Syad.g_02805	Prbg.g_00881
OG0000038	Syad.g_03038	Prbg.g_01898
OG0000039	Syad.g_01249, Syad.g_01111	Prbg.g_01128
OG0000041	Syad.g_02498, Syad.g_01281	Prbg.g_01697
OG0000042	Syad.g_00333	Prbg.g_01855
OG0000043	Syad.g_02119	Prbg.g_01507
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prbg.g_00105
OG0000047	Syad.g_00754	Prbg.g_00143
OG0000048	Syad.g_00534	Prbg.g_00464
OG0000050	Syad.g_02114	Prbg.g_01055
OG0000052	Syad.g_00434	Prbg.g_00816
OG0000053	Syad.g_02302	Prbg.g_00612, Prbg.g_01595
OG0000054	Syad.g_02209	Prbg.g_00326
OG0000057	Syad.g_01301	Prbg.g_01143
OG0000058	Syad.g_00452	Prbg.g_00551
OG0000059	Syad.g_00642	Prbg.g_01737
OG0000061	Syad.g_01152	Prbg.g_01486
OG0000062	Syad.g_02598	Prbg.g_00676
OG0000063	Syad.g_00202	Prbg.g_00730
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prbg.g_00802
OG0000065	Syad.g_02801, Syad.g_02574	Prbg.g_00879
OG0000066	Syad.g_00992	Prbg.g_00256
OG0000067	Syad.g_01889	Prbg.g_01159
OG0000068	Syad.g_00891	Prbg.g_00529
OG0000070	Syad.g_02424	Prbg.g_00170
OG0000071	Syad.g_02405	Prbg.g_00477
OG0000072	Syad.g_02905	Prbg.g_00949
OG0000073	Syad.g_00926	Prbg.g_00219
OG0000075	Syad.g_00416	Prbg.g_01821
OG0000076	Syad.g_00348	Prbg.g_01847
OG0000077	Syad.g_02741	Prbg.g_00791
OG0000078	Syad.g_00824	Prbg.g_01022
OG0000079	Syad.g_00565	Prbg.g_01035
OG0000080	Syad.g_02256	Prbg.g_00563, Prbg.g_00565
OG0000081	Syad.g_00833	Prbg.g_00248
OG0000082	Syad.g_01063	Prbg.g_00304, Prbg.g_01639
OG0000084	Syad.g_02272	Prbg.g_00588
OG0000085	Syad.g_02612	Prbg.g_00716, Prbg.g_01642
OG0000086	Syad.g_02770	Prbg.g_00782
OG0000087	Syad.g_02860	Prbg.g_00913
OG0000088	Syad.g_02899	Prbg.g_00944
OG0000089	Syad.g_00785, Syad.g_02829	Prbg.g_00137
