Orthogroup	Syad	Prbf
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbf.g_00068
OG0000002	Syad.g_00619	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Syad.g_01304	Prbf.g_01264
OG0000004	Syad.g_02184, Syad.g_00810	Prbf.g_01570
OG0000005	Syad.g_02596	Prbf.g_00240
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbf.g_01580
OG0000007	Syad.g_00923	Prbf.g_01780
OG0000007	Syad.g_02623	Prbf.g_00693
OG0000008	Syad.g_01371	Prbf.g_00792
OG0000009	Syad.g_01952, Syad.g_00868	Prbf.g_00252
OG0000010	Syad.g_02354	Prbf.g_00847, Prbf.g_01056
OG0000012	Syad.g_02176	Prbf.g_01905
OG0000012	Syad.g_01702	Prbf.g_00272
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbf.g_01665
OG0000014	Syad.g_00480	Prbf.g_01647
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbf.g_00754, Prbf.g_00708
OG0000016	Syad.g_01460, Syad.g_02065	Prbf.g_00860
OG0000017	Syad.g_01084	Prbf.g_01880
OG0000017	Syad.g_01091	Prbf.g_01887
OG0000018	Syad.g_02306	Prbf.g_00896
OG0000019	Syad.g_00569	Prbf.g_01588, Prbf.g_00894
OG0000020	Syad.g_00845	Prbf.g_00264, Prbf.g_00811
OG0000021	Syad.g_01835, Syad.g_00874	Prbf.g_00265, Prbf.g_01259
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbf.g_00287
OG0000024	Syad.g_01374	Prbf.g_01052, Prbf.g_01288
OG0000025	Syad.g_01241	Prbf.g_01209
OG0000026	Syad.g_00198	Prbf.g_01354
OG0000027	Syad.g_01257	Prbf.g_00817, Prbf.g_00774
OG0000028	Syad.g_00463	Prbf.g_00794
OG0000029	Syad.g_02099	Prbf.g_00804, Prbf.g_00762, Prbf.g_00603
OG0000030	Syad.g_00328, Syad.g_00327	Prbf.g_00484
OG0000031	Syad.g_00458, Syad.g_00294	Prbf.g_00116
OG0000032	Syad.g_02326	Prbf.g_00196
OG0000033	Syad.g_02903	Prbf.g_00123
OG0000034	Syad.g_02420, Syad.g_02872	Prbf.g_00015
OG0000035	Syad.g_02275	Prbf.g_00157
OG0000037	Syad.g_02805	Prbf.g_01437
OG0000038	Syad.g_03038	Prbf.g_00445
OG0000039	Syad.g_01249, Syad.g_01111	Prbf.g_01276
OG0000041	Syad.g_02498, Syad.g_01281	Prbf.g_00646
OG0000042	Syad.g_00333	Prbf.g_00487
OG0000043	Syad.g_02119	Prbf.g_00897
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prbf.g_01666
OG0000047	Syad.g_00754	Prbf.g_01707
OG0000048	Syad.g_00534	Prbf.g_00039
OG0000050	Syad.g_02114	Prbf.g_00845
OG0000052	Syad.g_00434	Prbf.g_01380
OG0000053	Syad.g_02302	Prbf.g_00178, Prbf.g_00748
OG0000054	Syad.g_02209	Prbf.g_01889
OG0000057	Syad.g_01301	Prbf.g_01261
OG0000058	Syad.g_00452	Prbf.g_00117
OG0000059	Syad.g_00642	Prbf.g_00606
OG0000061	Syad.g_01152	Prbf.g_00918
OG0000062	Syad.g_02598	Prbf.g_00242
OG0000063	Syad.g_00202	Prbf.g_00808
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prbf.g_01394
OG0000065	Syad.g_02801, Syad.g_02574	Prbf.g_01435
OG0000066	Syad.g_00992	Prbf.g_01820, Prbf.g_00781
OG0000067	Syad.g_01889	Prbf.g_01245
OG0000068	Syad.g_00891	Prbf.g_00095
OG0000070	Syad.g_02424	Prbf.g_01734
OG0000071	Syad.g_02405	Prbf.g_00026
OG0000072	Syad.g_02905	Prbf.g_01505
OG0000073	Syad.g_00926	Prbf.g_01783
OG0000075	Syad.g_00416	Prbf.g_00522
OG0000076	Syad.g_00348	Prbf.g_00496
OG0000077	Syad.g_02741	Prbf.g_01405
OG0000078	Syad.g_00824	Prbf.g_01578
OG0000079	Syad.g_00565	Prbf.g_01591
OG0000080	Syad.g_02256	Prbf.g_00129, Prbf.g_00131
OG0000081	Syad.g_00833	Prbf.g_01812
OG0000082	Syad.g_01063	Prbf.g_01867, Prbf.g_00704
OG0000084	Syad.g_02272	Prbf.g_00154
OG0000085	Syad.g_02612	Prbf.g_00822, Prbf.g_00701
OG0000086	Syad.g_02770	Prbf.g_01414
OG0000087	Syad.g_02860	Prbf.g_01469
OG0000088	Syad.g_02899	Prbf.g_01500
OG0000089	Syad.g_00785, Syad.g_02829	Prbf.g_01701
OG0000090	Syad.g_00977	Prbf.g_01814
OG0000091	Syad.g_02144	Prbf.g_00990
OG0000093	Syad.g_01905	Prbf.g_01019
OG0000094	Syad.g_01676	Prbf.g_01068
OG0000095	Syad.g_01290	Prbf.g_01170
OG0000097	Syad.g_01458	Prbf.g_00964
OG0000098	Syad.g_00625	Prbf.g_00071
OG0000099	Syad.g_00460	Prbf.g_00118
OG0000100	Syad.g_01846	Prbf.g_00236
OG0000101	Syad.g_00694	Prbf.g_00558
OG0000102	Syad.g_00343	Prbf.g_00491
OG0000103	Syad.g_00143	Prbf.g_00406
OG0000104	Syad.g_00158	Prbf.g_00397
OG0000105	Syad.g_00530	Prbf.g_01614
OG0000106	Syad.g_01993	Prbf.g_00320
OG0000107	Syad.g_00590	Prbf.g_00629
OG0000108	Syad.g_00904	Prbf.g_01763
OG0000109	Syad.g_00919	Prbf.g_01777
OG0000110	Syad.g_01048	Prbf.g_01856
OG0000111	Syad.g_01300	Prbf.g_01260
OG0000112	Syad.g_01766	Prbf.g_01929
OG0000113	Syad.g_01851	Prbf.g_01222
OG0000114	Syad.g_01617	Prbf.g_01320
OG0000115	Syad.g_02300	Prbf.g_00062
OG0000116	Syad.g_01123	Prbf.g_00907
OG0000117	Syad.g_01510	Prbf.g_00945
OG0000118	Syad.g_01104	Prbf.g_00013
OG0000119	Syad.g_01168	Prbf.g_00864, Prbf.g_00254
OG0000120	Syad.g_00459	Prbf.g_00115
OG0000121	Syad.g_02280	Prbf.g_00159
OG0000122	Syad.g_02122	Prbf.g_00055, Prbf.g_00200
OG0000123	Syad.g_00701	Prbf.g_00551
OG0000124	Syad.g_00320	Prbf.g_00478
OG0000125	Syad.g_03040	Prbf.g_00443
OG0000126	Syad.g_00156	Prbf.g_00398
OG0000128	Syad.g_00174	Prbf.g_00382
OG0000129	Syad.g_03028	Prbf.g_01367
OG0000130	Syad.g_02728	Prbf.g_01396
OG0000131	Syad.g_02876	Prbf.g_01478
OG0000132	Syad.g_02897	Prbf.g_01498
OG0000133	Syad.g_01761	Prbf.g_01661
OG0000134	Syad.g_00788	Prbf.g_01703
OG0000135	Syad.g_00063	Prbf.g_00044
OG0000136	Syad.g_02445	Prbf.g_01725
OG0000137	Syad.g_02353	Prbf.g_01758
OG0000138	Syad.g_00920	Prbf.g_01778
OG0000139	Syad.g_00983	Prbf.g_01818
OG0000140	Syad.g_00987	Prbf.g_01819
OG0000141	Syad.g_02208	Prbf.g_01890
OG0000142	Syad.g_02152	Prbf.g_00982
