Orthogroup	Syad	Syai
OG0000001	Syad.g_00628	Syai.g_01716
OG0000001	Syad.g_02864	Syai.g_01197, Syai.g_02594
OG0000001	Syad.g_02865	Syai.g_02595
OG0000001	Syad.g_01238	Syai.g_01729
OG0000002	Syad.g_00619	Syai.g_01728
OG0000004	Syad.g_01304	Syai.g_01994
OG0000004	Syad.g_02184	Syai.g_01062
OG0000004	Syad.g_00810	Syai.g_00530
OG0000005	Syad.g_02639	Syai.g_02393
OG0000005	Syad.g_02596	Syai.g_02356
OG0000005	Syad.g_02028	Syai.g_02068, Syai.g_01611
OG0000006	Syad.g_02130	Syai.g_01126
OG0000006	Syad.g_00588, Syad.g_00829	Syai.g_00317, Syai.g_00547
OG0000007	Syad.g_00923	Syai.g_00657
OG0000007	Syad.g_02623	Syai.g_02378
OG0000008	Syad.g_01371	Syai.g_01955
OG0000009	Syad.g_01952, Syad.g_00868	Syai.g_01626
OG0000009	Syad.g_02799	Syai.g_02541
OG0000010	Syad.g_02354	Syai.g_00864
OG0000011	Syad.g_02006	Syai.g_01894, Syai.g_00582
OG0000012	Syad.g_02176	Syai.g_01068
OG0000012	Syad.g_01579, Syad.g_01008	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Syad.g_00729	Syai.g_00442
OG0000013	Syad.g_00737	Syai.g_00450
OG0000013	Syad.g_00724	Syai.g_00436
OG0000014	Syad.g_00480	Syai.g_00220
OG0000015	Syad.g_01600, Syad.g_01601	Syai.g_01246
OG0000016	Syad.g_00176	Syai.g_00014
OG0000016	Syad.g_01460	Syai.g_01785
OG0000016	Syad.g_02065	Syai.g_01632
OG0000017	Syad.g_01084	Syai.g_00801
OG0000017	Syad.g_01091	Syai.g_00808
OG0000018	Syad.g_02306	Syai.g_00915
OG0000019	Syad.g_00569	Syai.g_00304
OG0000020	Syad.g_00845	Syai.g_00476
OG0000021	Syad.g_00874	Syai.g_00556
OG0000022	Syad.g_02090	Syai.g_01159
OG0000023	Syad.g_02337	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000023	Syad.g_01583	Syai.g_02318
OG0000024	Syad.g_01374	Syai.g_01951
OG0000025	Syad.g_01241	Syai.g_02044
OG0000026	Syad.g_00198	Syai.g_00038
OG0000027	Syad.g_01257	Syai.g_01654
OG0000028	Syad.g_00463	Syai.g_00205
OG0000029	Syad.g_02099	Syai.g_01035, Syai.g_01584
OG0000030	Syad.g_00328	Syai.g_00096
OG0000030	Syad.g_00327	Syai.g_00095
OG0000031	Syad.g_00458	Syai.g_00197
OG0000032	Syad.g_02326	Syai.g_00895
OG0000033	Syad.g_02903	Syai.g_02634
OG0000034	Syad.g_02420, Syad.g_02872	Syai.g_02192, Syai.g_02604
OG0000035	Syad.g_02275	Syai.g_00955
OG0000036	Syad.g_02714, Syad.g_02715	Syai.g_01848
OG0000037	Syad.g_02805	Syai.g_02544
OG0000038	Syad.g_03038	Syai.g_02780
OG0000039	Syad.g_01249	Syai.g_02034
OG0000040	Syad.g_00104	Syai.g_02876
OG0000041	Syad.g_02498	Syai.g_02265
OG0000041	Syad.g_01281	Syai.g_02016
OG0000042	Syad.g_00333	Syai.g_00099
OG0000043	Syad.g_02119	Syai.g_01599
OG0000044	Syad.g_02214	Syai.g_00833
OG0000046	Syad.g_00730	Syai.g_00443
OG0000046	Syad.g_00736	Syai.g_00449
OG0000046	Syad.g_00723	Syai.g_00435
OG0000047	Syad.g_00754	Syai.g_00462
OG0000048	Syad.g_00534	Syai.g_00272
OG0000050	Syad.g_02478	Syai.g_01332
OG0000051	Syad.g_00842	Syai.g_01773
OG0000052	Syad.g_00434	Syai.g_00176
OG0000053	Syad.g_02302	Syai.g_00930
OG0000054	Syad.g_02209	Syai.g_01040
OG0000055	Syad.g_01255	Syai.g_02029
OG0000057	Syad.g_01301	Syai.g_01997
OG0000058	Syad.g_00452	Syai.g_00195
OG0000059	Syad.g_00642	Syai.g_00351
OG0000060	Syad.g_00899	Syai.g_00635
OG0000060	Syad.g_01508	Syai.g_01758
OG0000061	Syad.g_01152	Syai.g_02144
OG0000062	Syad.g_02598	Syai.g_02358
OG0000063	Syad.g_00202	Syai.g_00042
OG0000064	Syad.g_00081, Syad.g_02125	Syai.g_02844
OG0000066	Syad.g_00992	Syai.g_01709, Syai.g_00719
OG0000067	Syad.g_01889	Syai.g_01321
OG0000068	Syad.g_00891	Syai.g_00628
OG0000070	Syad.g_02424	Syai.g_02196
OG0000071	Syad.g_02405	Syai.g_02179
OG0000072	Syad.g_02905	Syai.g_02636
OG0000073	Syad.g_00926	Syai.g_00659
OG0000075	Syad.g_00416	Syai.g_00161
OG0000076	Syad.g_00348	Syai.g_00111
OG0000077	Syad.g_02741	Syai.g_02486
OG0000078	Syad.g_00824	Syai.g_00543
OG0000079	Syad.g_00565	Syai.g_00300
OG0000081	Syad.g_00833	Syai.g_00553
OG0000082	Syad.g_01063	Syai.g_00781
OG0000084	Syad.g_02272	Syai.g_01196, Syai.g_00958
OG0000085	Syad.g_02612	Syai.g_02365
OG0000086	Syad.g_02770	Syai.g_02507
OG0000087	Syad.g_02860	Syai.g_02592
OG0000088	Syad.g_02899	Syai.g_02630
OG0000089	Syad.g_00785	Syai.g_00517
OG0000090	Syad.g_00977	Syai.g_00707
OG0000091	Syad.g_02144	Syai.g_01112
OG0000092	Syad.g_01190	Syai.g_01358
OG0000093	Syad.g_01905	Syai.g_01306
OG0000094	Syad.g_01676	Syai.g_01424
OG0000095	Syad.g_01290	Syai.g_02007
OG0000097	Syad.g_01458	Syai.g_01787
OG0000098	Syad.g_00625	Syai.g_01718
OG0000099	Syad.g_00460	Syai.g_00199
OG0000100	Syad.g_01846	Syai.g_01372
OG0000101	Syad.g_00694	Syai.g_00404
OG0000102	Syad.g_00343	Syai.g_00106
OG0000103	Syad.g_00143	Syai.g_02912
OG0000104	Syad.g_00158	Syai.g_02929
OG0000105	Syad.g_00530	Syai.g_00267
OG0000106	Syad.g_01993	Syai.g_01601
OG0000107	Syad.g_00590	Syai.g_00319
