Orthogroup	Syad	Prbk
OG0000001	Syad.g_02865	Prbk.g_00561, Prbk.g_02701
OG0000002	Syad.g_00619	Prbk.g_02574, Prbk.g_01649
OG0000003	Syad.g_01931, Syad.g_01926, Syad.g_02599	Prbk.g_02222
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Prbk.g_01375, Prbk.g_00214, Prbk.g_02704, Prbk.g_02705, Prbk.g_00332, Prbk.g_01523, Prbk.g_00695, Prbk.g_01676, Prbk.g_01675, Prbk.g_00349
OG0000003	Syad.g_01327, Syad.g_01331	Prbk.g_02121, Prbk.g_00049
OG0000004	Syad.g_01304	Prbk.g_01760
OG0000004	Syad.g_02184, Syad.g_00810	Prbk.g_01134
OG0000005	Syad.g_02596	Prbk.g_00933
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbk.g_02695
OG0000007	Syad.g_02623	Prbk.g_00907
OG0000008	Syad.g_01371	Prbk.g_01820
OG0000009	Syad.g_02799	Prbk.g_01932, Prbk.g_00013
OG0000010	Syad.g_02354	Prbk.g_02112
OG0000011	Syad.g_02006	Prbk.g_01851
OG0000012	Syad.g_02176	Prbk.g_02610
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbk.g_00853
OG0000014	Syad.g_00480	Prbk.g_00454
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbk.g_02558
OG0000017	Syad.g_01084	Prbk.g_01142
OG0000017	Syad.g_01091	Prbk.g_01150
OG0000018	Syad.g_02306	Prbk.g_01227
OG0000019	Syad.g_00569	Prbk.g_01004
OG0000020	Syad.g_00845	Prbk.g_01331, Prbk.g_02697
OG0000021	Syad.g_01835, Syad.g_00874	Prbk.g_01960, Prbk.g_01137
OG0000022	Syad.g_02090	Prbk.g_01667
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbk.g_02448
OG0000024	Syad.g_01374	Prbk.g_01780
OG0000025	Syad.g_01241	Prbk.g_02531
OG0000026	Syad.g_00198	Prbk.g_01617
OG0000028	Syad.g_00463	Prbk.g_00469
OG0000029	Syad.g_02099	Prbk.g_00833
OG0000030	Syad.g_00328	Prbk.g_01532
OG0000030	Syad.g_00327	Prbk.g_01533
OG0000031	Syad.g_00458	Prbk.g_00534, Prbk.g_00539
OG0000032	Syad.g_02326	Prbk.g_01209
OG0000033	Syad.g_02903, Syad.g_00289	Prbk.g_00776
OG0000034	Syad.g_02420, Syad.g_02872	Prbk.g_01171
OG0000035	Syad.g_02275	Prbk.g_00259
OG0000036	Syad.g_02714, Syad.g_02715	Prbk.g_01948
OG0000037	Syad.g_02805	Prbk.g_00007
OG0000038	Syad.g_03038	Prbk.g_02164
OG0000039	Syad.g_01111	Prbk.g_00642
OG0000041	Syad.g_02498, Syad.g_01281	Prbk.g_01406
OG0000042	Syad.g_00333	Prbk.g_01495, Prbk.g_00140
OG0000044	Syad.g_02214	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Syad.g_00964	Prbk.g_01321
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prbk.g_00854
OG0000047	Syad.g_00754	Prbk.g_01202, Prbk.g_02565
OG0000048	Syad.g_00534	Prbk.g_00405
OG0000051	Syad.g_01967	Prbk.g_02418
OG0000052	Syad.g_00434	Prbk.g_00499
OG0000053	Syad.g_02302	Prbk.g_01230
OG0000054	Syad.g_02209	Prbk.g_01153
OG0000057	Syad.g_01301	Prbk.g_01765
OG0000058	Syad.g_00452	Prbk.g_00479
OG0000059	Syad.g_00642	Prbk.g_00992
OG0000060	Syad.g_00899	Prbk.g_02058
OG0000061	Syad.g_01152	Prbk.g_01019
OG0000062	Syad.g_02598	Prbk.g_00931
OG0000063	Syad.g_00202	Prbk.g_01613
OG0000066	Syad.g_00992	Prbk.g_01094
OG0000067	Syad.g_01889	Prbk.g_02468
OG0000068	Syad.g_00891	Prbk.g_02052
OG0000070	Syad.g_02424	Prbk.g_00310
OG0000071	Syad.g_02405	Prbk.g_01183
OG0000072	Syad.g_02905	Prbk.g_00778
OG0000073	Syad.g_00926	Prbk.g_01862
OG0000075	Syad.g_00416	Prbk.g_00514
OG0000076	Syad.g_00348	Prbk.g_00237
OG0000077	Syad.g_02741	Prbk.g_00307
OG0000078	Syad.g_00824	Prbk.g_01515
OG0000082	Syad.g_01063	Prbk.g_01122
OG0000084	Syad.g_02272	Prbk.g_00255
OG0000085	Syad.g_02612	Prbk.g_00919
OG0000086	Syad.g_02770	Prbk.g_01295
OG0000087	Syad.g_02860	Prbk.g_00559
OG0000088	Syad.g_02899	Prbk.g_00773, Prbk.g_01836
