Orthogroup	Syad	Prat
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prat.g_01285, Prat.g_01286
OG0000002	Syad.g_00619	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syad.g_01304	Prat.g_00772
OG0000004	Syad.g_02184, Syad.g_00810	Prat.g_00236
OG0000005	Syad.g_02596	Prat.g_01440
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prat.g_00248
OG0000007	Syad.g_00923	Prat.g_00458
OG0000007	Syad.g_02623	Prat.g_01592
OG0000008	Syad.g_01371	Prat.g_00377
OG0000009	Syad.g_01952, Syad.g_00868	Prat.g_01451
OG0000010	Syad.g_02354	Prat.g_00682, Prat.g_00662
OG0000012	Syad.g_02176	Prat.g_00586
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prat.g_00334
OG0000014	Syad.g_00480	Prat.g_00314
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prat.g_00701
OG0000016	Syad.g_00176	Prat.g_00014
OG0000016	Syad.g_01460, Syad.g_02065	Prat.g_01219
OG0000017	Syad.g_01084	Prat.g_00560
OG0000017	Syad.g_01091	Prat.g_00567
OG0000018	Syad.g_02306	Prat.g_01177
OG0000019	Syad.g_00569	Prat.g_00255, Prat.g_01180
OG0000020	Syad.g_00845	Prat.g_01470, Prat.g_00617, Prat.g_00648
OG0000021	Syad.g_01835, Syad.g_00874	Prat.g_00854, Prat.g_00461
OG0000022	Syad.g_02090	Prat.g_01448
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prat.g_00834
OG0000024	Syad.g_01374	Prat.g_00622, Prat.g_00749
OG0000025	Syad.g_01241	Prat.g_01003
OG0000026	Syad.g_00198	Prat.g_00033
OG0000027	Syad.g_01257	Prat.g_01474, Prat.g_01548
OG0000028	Syad.g_00463	Prat.g_00380, Prat.g_00327
OG0000030	Syad.g_00328, Syad.g_00327	Prat.g_01799
OG0000032	Syad.g_02326	Prat.g_01394
OG0000033	Syad.g_02903	Prat.g_01265
OG0000034	Syad.g_02420, Syad.g_02872	Prat.g_01259
OG0000035	Syad.g_02275	Prat.g_01353, Prat.g_01352
OG0000037	Syad.g_02805	Prat.g_00106
OG0000038	Syad.g_03038	Prat.g_01839
OG0000039	Syad.g_01249, Syad.g_01111	Prat.g_00760
OG0000041	Syad.g_02498, Syad.g_01281	Prat.g_01640
OG0000042	Syad.g_00333	Prat.g_01796
OG0000043	Syad.g_02119	Prat.g_01176
OG0000044	Syad.g_02214	Prat.g_00619
OG0000045	Syad.g_00964	Prat.g_01203
OG0000046	Syad.g_00730, Syad.g_00736, Syad.g_00723	Prat.g_00335
OG0000047	Syad.g_00754	Prat.g_00374
OG0000048	Syad.g_00534	Prat.g_00278
OG0000050	Syad.g_02114	Prat.g_00685
OG0000052	Syad.g_00434	Prat.g_00058
OG0000053	Syad.g_02302	Prat.g_01375
OG0000054	Syad.g_02209	Prat.g_00569
OG0000056	Syad.g_01997, Syad.g_01971, Syad.g_01409, Syad.g_02690, Syad.g_01425, Syad.g_00400, Syad.g_01999, Syad.g_01346, Syad.g_02228, Syad.g_02691	Prat.g_01571
OG0000057	Syad.g_01301	Prat.g_00775
OG0000058	Syad.g_00452	Prat.g_01311
OG0000059	Syad.g_00642	Prat.g_01679
OG0000061	Syad.g_01152	Prat.g_01156
OG0000062	Syad.g_02598	Prat.g_01442
OG0000063	Syad.g_00202	Prat.g_01516
OG0000064	Syad.g_00873, Syad.g_00081, Syad.g_02125	Prat.g_00064
OG0000065	Syad.g_02801, Syad.g_02574	Prat.g_00104
OG0000066	Syad.g_00992	Prat.g_01499
OG0000067	Syad.g_01889	Prat.g_01037
