Orthogroup	Prai	Praf
OG0000000	Prai.g_01363	Praf.g_01631
OG0000000	Prai.g_00707	Praf.g_00948
OG0000002	Prai.g_01235, Prai.g_01356	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293
OG0000004	Prai.g_00441, Prai.g_01313	Praf.g_01014, Praf.g_02005
OG0000006	Prai.g_00527	Praf.g_00614
OG0000006	Prai.g_01638	Praf.g_00480
OG0000007	Prai.g_00701	Praf.g_01223, Praf.g_01224
OG0000009	Prai.g_00867, Prai.g_00262	Praf.g_02214
OG0000011	Prai.g_00424	Praf.g_01898
OG0000011	Prai.g_00343	Praf.g_01864
OG0000012	Prai.g_00626	Praf.g_00760, Praf.g_00752
OG0000013	Prai.g_01243	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prai.g_01366	Praf.g_01108, Praf.g_01143
OG0000017	Prai.g_01483	Praf.g_01828
OG0000018	Prai.g_00252, Prai.g_00254	Praf.g_00396, Praf.g_01719
OG0000019	Prai.g_00378	Praf.g_00746
OG0000020	Prai.g_00387	Praf.g_02267
OG0000024	Prai.g_00319	Praf.g_02319, Praf.g_00112
OG0000025	Prai.g_01093	Praf.g_01105
OG0000026	Prai.g_00033, Prai.g_01261	Praf.g_00041
OG0000028	Prai.g_01463	Praf.g_01794
OG0000031	Prai.g_00434, Prai.g_01263	Praf.g_01022
OG0000032	Prai.g_01444	Praf.g_02400
OG0000033	Prai.g_00013	Praf.g_00014
OG0000033	Prai.g_01573	Praf.g_00906
OG0000036	Prai.g_00613	Praf.g_00731
OG0000037	Prai.g_00652	Praf.g_01668
OG0000038	Prai.g_00885	Praf.g_00965, Praf.g_00201
OG0000039	Prai.g_00177	Praf.g_01239, Praf.g_02454
OG0000042	Prai.g_00748	Praf.g_01238, Praf.g_01302
OG0000043	Prai.g_00862	Praf.g_00943, Praf.g_00941
OG0000044	Prai.g_01171	Praf.g_00854
OG0000045	Prai.g_01859	Praf.g_02345
OG0000046	Prai.g_01631	Praf.g_00491
OG0000047	Prai.g_01838	Praf.g_00178
OG0000048	Prai.g_01845	Praf.g_00920, Praf.g_00164
OG0000050	Prai.g_00031	Praf.g_00037
OG0000051	Prai.g_00168, Prai.g_01288	Praf.g_02445
OG0000052	Prai.g_00383	Praf.g_00496
OG0000053	Prai.g_00567	Praf.g_00672
OG0000054	Prai.g_00909	Praf.g_00348
OG0000055	Prai.g_00825	Praf.g_01556
OG0000056	Prai.g_01132	Praf.g_02587
OG0000057	Prai.g_00248	Praf.g_00386
OG0000058	Prai.g_00505	Praf.g_01907
OG0000059	Prai.g_00727	Praf.g_01125
OG0000062	Prai.g_01143	Praf.g_01034, Praf.g_02690
OG0000063	Prai.g_01273	Praf.g_00919
OG0000065	Prai.g_01335	Praf.g_00796
OG0000066	Prai.g_01443	Praf.g_02343
OG0000068	Prai.g_01782	Praf.g_02119
OG0000071	Prai.g_00011	Praf.g_00012
OG0000072	Prai.g_00335	Praf.g_02336
OG0000073	Prai.g_00698	Praf.g_01012, Praf.g_01748
OG0000074	Prai.g_00720	Praf.g_01218, Praf.g_01219
OG0000075	Prai.g_00840, Prai.g_00841	Praf.g_01537
OG0000076	Prai.g_00918	Praf.g_01274
OG0000078	Prai.g_01393	Praf.g_02342
OG0000079	Prai.g_01540	Praf.g_00501
OG0000080	Prai.g_01270	Praf.g_00549
OG0000081	Prai.g_01812	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000083	Prai.g_00003	Praf.g_00003
OG0000084	Prai.g_00006	Praf.g_00006
OG0000085	Prai.g_00023	Praf.g_00028
OG0000087	Prai.g_00056	Praf.g_00333, Praf.g_02602
OG0000088	Prai.g_00113	Praf.g_00224
OG0000089	Prai.g_00121	Praf.g_00212
OG0000090	Prai.g_00139	Praf.g_02420
OG0000091	Prai.g_00180	Praf.g_02457
OG0000092	Prai.g_00181	Praf.g_02468
OG0000093	Prai.g_00195	Praf.g_02711, Praf.g_02492
OG0000094	Prai.g_00213	Praf.g_02708, Praf.g_02521
OG0000095	Prai.g_00218	Praf.g_02532
OG0000096	Prai.g_00264	Praf.g_02217
OG0000097	Prai.g_00286, Prai.g_00287	Praf.g_02271
OG0000098	Prai.g_00297, Prai.g_00430	Praf.g_02284
OG0000099	Prai.g_00307, Prai.g_00741	Praf.g_02296
OG0000100	Prai.g_00310	Praf.g_02300
OG0000101	Prai.g_00369	Praf.g_02012
OG0000102	Prai.g_00393	Praf.g_02715, Praf.g_02705
OG0000103	Prai.g_00506	Praf.g_01905
OG0000104	Prai.g_00510	Praf.g_00595
OG0000105	Prai.g_00529	Praf.g_00143, Praf.g_00616
OG0000106	Prai.g_00560	Praf.g_00658
OG0000107	Prai.g_00561	Praf.g_00660
OG0000108	Prai.g_00571	Praf.g_00681
OG0000109	Prai.g_00580	Praf.g_00692
OG0000110	Prai.g_00597	Praf.g_00711
OG0000111	Prai.g_00680	Praf.g_01036, Praf.g_01720
OG0000112	Prai.g_00681	Praf.g_01035, Praf.g_01721
OG0000113	Prai.g_00770	Praf.g_00144, Praf.g_01435
OG0000114	Prai.g_00850	Praf.g_01528
OG0000115	Prai.g_00989	Praf.g_01392
OG0000116	Prai.g_00985	Praf.g_01383, Praf.g_01384
OG0000117	Prai.g_00921	Praf.g_01277
OG0000118	Prai.g_01107	Praf.g_02776
OG0000119	Prai.g_01146	Praf.g_02692
OG0000120	Prai.g_01177	Praf.g_00861
OG0000121	Prai.g_01197	Praf.g_00922
OG0000122	Prai.g_01217	Praf.g_00901
OG0000123	Prai.g_01230	Praf.g_00938
OG0000124	Prai.g_01238	Praf.g_01285
OG0000125	Prai.g_01347	Praf.g_00779
OG0000126	Prai.g_01370	Praf.g_00585, Praf.g_00583
OG0000127	Prai.g_01450	Praf.g_01778, Praf.g_01776
OG0000128	Prai.g_01464	Praf.g_01795
OG0000129	Prai.g_01499	Praf.g_01848
OG0000130	Prai.g_01636	Praf.g_00485
OG0000131	Prai.g_01674	Praf.g_00437
OG0000132	Prai.g_01677	Praf.g_00434
OG0000133	Prai.g_01735	Praf.g_02162
OG0000134	Prai.g_01777	Praf.g_02125
OG0000135	Prai.g_01779	Praf.g_02123
OG0000136	Prai.g_01823	Praf.g_02396
OG0000137	Prai.g_01855	Praf.g_00152
OG0000138	Prai.g_01892	Praf.g_02664
OG0000139	Prai.g_01918	Praf.g_02757
OG0000140	Prai.g_00001	Praf.g_00001
OG0000141	Prai.g_00002	Praf.g_00002
OG0000142	Prai.g_00004	Praf.g_00004
OG0000143	Prai.g_00005	Praf.g_00005
OG0000144	Prai.g_00007	Praf.g_00007
OG0000145	Prai.g_00008	Praf.g_00009
