Orthogroup	Prai	Prar
OG0000000	Prai.g_01363	Prar.g_00918
OG0000000	Prai.g_00707	Prar.g_01508
OG0000001	Prai.g_00908	Prar.g_01204
OG0000001	Prai.g_01234	Prar.g_01204
OG0000001	Prai.g_01591	Prar.g_01204
OG0000001	Prai.g_01775	Prar.g_01204
OG0000002	Prai.g_01235, Prai.g_01356	Prar.g_00926
OG0000002	Prai.g_01236	Prar.g_01202
OG0000004	Prai.g_00441	Prar.g_01623
OG0000004	Prai.g_01313	Prar.g_01630
OG0000005	Prai.g_01612	Prar.g_00713
OG0000005	Prai.g_01592	Prar.g_00729
OG0000006	Prai.g_00527	Prar.g_01328
OG0000006	Prai.g_01638	Prar.g_01143
OG0000007	Prai.g_00701	Prar.g_01185, Prar.g_01502
OG0000008	Prai.g_00394	Prar.g_00445
OG0000008	Prai.g_01246	Prar.g_01173
OG0000008	Prai.g_00437	Prar.g_01002
OG0000008	Prai.g_00433, Prai.g_01256	Prar.g_01160
OG0000009	Prai.g_00867	Prar.g_01663
OG0000009	Prai.g_00262	Prar.g_00078
OG0000010	Prai.g_01588	Prar.g_01006
OG0000011	Prai.g_00424	Prar.g_00468
OG0000011	Prai.g_00343	Prar.g_00257
OG0000012	Prai.g_00626	Prar.g_01428
OG0000013	Prai.g_01243	Prar.g_01179
OG0000014	Prai.g_00904	Prar.g_00520
OG0000015	Prai.g_01259	Prar.g_00443
OG0000016	Prai.g_01366	Prar.g_00915
OG0000017	Prai.g_01483	Prar.g_00827, Prar.g_00589
OG0000018	Prai.g_00252, Prai.g_00254	Prar.g_00086
OG0000019	Prai.g_00378	Prar.g_00425
OG0000020	Prai.g_00387	Prar.g_00435
OG0000022	Prai.g_00905, Prai.g_01772	Prar.g_00971
OG0000023	Prai.g_01578	Prar.g_00737
OG0000024	Prai.g_00319	Prar.g_00281
OG0000025	Prai.g_01093	Prar.g_01940
OG0000026	Prai.g_00033	Prar.g_00005, Prar.g_00004
OG0000026	Prai.g_01261	Prar.g_01189
OG0000027	Prai.g_01266	Prar.g_00761
OG0000028	Prai.g_01463	Prar.g_00339
OG0000029	Prai.g_01579	Prar.g_00736, Prar.g_01170
OG0000032	Prai.g_01444	Prar.g_00879
OG0000033	Prai.g_00013, Prai.g_01573	Prar.g_00025
OG0000035	Prai.g_01059	Prar.g_01761
OG0000035	Prai.g_01097	Prar.g_01943
OG0000036	Prai.g_00613	Prar.g_01414
OG0000037	Prai.g_00652	Prar.g_01453
OG0000038	Prai.g_00885	Prar.g_01649
OG0000039	Prai.g_00177	Prar.g_00161
OG0000040	Prai.g_00373	Prar.g_00420
OG0000041	Prai.g_00448	Prar.g_00476
OG0000042	Prai.g_00748	Prar.g_01599
OG0000043	Prai.g_00862	Prar.g_01668
OG0000044	Prai.g_01171	Prar.g_01263
OG0000045	Prai.g_01859	Prar.g_00362
OG0000046	Prai.g_01631	Prar.g_01150
OG0000047	Prai.g_01838	Prar.g_00653, Prar.g_00592
OG0000048	Prai.g_01845	Prar.g_00660
OG0000050	Prai.g_00031	Prar.g_00007
OG0000051	Prai.g_00168	Prar.g_00170
OG0000051	Prai.g_01288	Prar.g_01569
OG0000052	Prai.g_00383	Prar.g_00431
OG0000053	Prai.g_00567	Prar.g_01369
OG0000054	Prai.g_00909	Prar.g_01644
OG0000055	Prai.g_00825	Prar.g_01706
OG0000056	Prai.g_01132	Prar.g_01307
OG0000057	Prai.g_00248	Prar.g_00090
OG0000058	Prai.g_00505	Prar.g_00525
OG0000059	Prai.g_00727	Prar.g_01528
OG0000060	Prai.g_00431	Prar.g_01628
OG0000060	Prai.g_01258	Prar.g_01004, Prar.g_01562, Prar.g_01558
OG0000061	Prai.g_01141, Prai.g_00969	Prar.g_01298
OG0000062	Prai.g_01143	Prar.g_01296
OG0000063	Prai.g_01273	Prar.g_01003
OG0000064	Prai.g_01594	Prar.g_00997
OG0000065	Prai.g_01335	Prar.g_00955
OG0000066	Prai.g_01443	Prar.g_00880
OG0000068	Prai.g_01782	Prar.g_01027
OG0000071	Prai.g_00011	Prar.g_00027
OG0000072	Prai.g_00335	Prar.g_00265
OG0000073	Prai.g_00698	Prar.g_01499
OG0000074	Prai.g_00720	Prar.g_01521
OG0000075	Prai.g_00840, Prai.g_00841	Prar.g_01691
OG0000076	Prai.g_00918	Prar.g_01904
OG0000077	Prai.g_01613	Prar.g_00712
OG0000078	Prai.g_01393	Prar.g_00872
OG0000079	Prai.g_01540	Prar.g_00769
OG0000080	Prai.g_01270	Prar.g_01166
OG0000081	Prai.g_01812	Prar.g_00627
OG0000082	Prai.g_01901	Prar.g_00072
OG0000083	Prai.g_00003	Prar.g_00035
OG0000084	Prai.g_00006	Prar.g_00032
OG0000085	Prai.g_00023	Prar.g_00015
OG0000086	Prai.g_00443, Prai.g_00046	Prar.g_00581
OG0000087	Prai.g_00056	Prar.g_00570
OG0000088	Prai.g_00113	Prar.g_00215
OG0000089	Prai.g_00121	Prar.g_00207
OG0000090	Prai.g_00139	Prar.g_00189
OG0000091	Prai.g_00180	Prar.g_00158
OG0000092	Prai.g_00181	Prar.g_00157
OG0000093	Prai.g_00195	Prar.g_00143
OG0000094	Prai.g_00213	Prar.g_00125
OG0000095	Prai.g_00218	Prar.g_00120
OG0000096	Prai.g_00264	Prar.g_00076
OG0000097	Prai.g_00286, Prai.g_00287	Prar.g_00313
OG0000098	Prai.g_00297, Prai.g_00430	Prar.g_00303
OG0000099	Prai.g_00307, Prai.g_00741	Prar.g_00293
