Orthogroup	Prai	Prau
OG0000000	Prai.g_01363	Prau.g_01402
OG0000000	Prai.g_00707	Prau.g_00718
OG0000001	Prai.g_00908	Prau.g_01266
OG0000001	Prai.g_00908	Prau.g_01647
OG0000001	Prai.g_01234	Prau.g_01266
OG0000001	Prai.g_01234	Prau.g_01647
OG0000001	Prai.g_01591	Prau.g_01266
OG0000001	Prai.g_01591	Prau.g_01647
OG0000001	Prai.g_01775	Prau.g_01266
OG0000001	Prai.g_01775	Prau.g_01647
OG0000002	Prai.g_01235, Prai.g_01356	Prau.g_01394
OG0000003	Prai.g_01596, Prai.g_01314	Prau.g_01650
OG0000004	Prai.g_00441	Prau.g_00785
OG0000004	Prai.g_01313	Prau.g_00792
OG0000005	Prai.g_01612	Prau.g_01665
OG0000005	Prai.g_01592	Prau.g_01648
OG0000006	Prai.g_00527	Prau.g_00538
OG0000006	Prai.g_01638	Prau.g_01732
OG0000007	Prai.g_00701	Prau.g_00781, Prau.g_00712
OG0000008	Prai.g_00394	Prau.g_00387
OG0000008	Prai.g_00437	Prau.g_01319
OG0000008	Prai.g_00433, Prai.g_01256	Prau.g_01303
OG0000009	Prai.g_00867	Prau.g_00834
OG0000009	Prai.g_00262	Prau.g_00251
OG0000011	Prai.g_00424	Prau.g_00414
OG0000011	Prai.g_00343	Prau.g_00332
OG0000012	Prai.g_00626	Prau.g_00636
OG0000013	Prai.g_01243	Prau.g_00817
OG0000014	Prai.g_00904	Prau.g_01353
OG0000015	Prai.g_01259	Prau.g_01284
OG0000016	Prai.g_01366	Prau.g_01405
OG0000017	Prai.g_01483	Prau.g_01551, Prau.g_00040
OG0000018	Prai.g_00252, Prai.g_00254	Prau.g_00243, Prau.g_01316
OG0000019	Prai.g_00378	Prau.g_00367, Prau.g_01680
OG0000022	Prai.g_00905, Prai.g_01772	Prau.g_01352
OG0000023	Prai.g_01578	Prau.g_01324
OG0000024	Prai.g_00319	Prau.g_00308, Prau.g_01470
OG0000025	Prai.g_01093	Prau.g_01123
OG0000026	Prai.g_00033	Prau.g_00032
OG0000026	Prai.g_01261	Prau.g_01295
OG0000027	Prai.g_01266	Prau.g_01618
OG0000028	Prai.g_01463	Prau.g_01528
OG0000029	Prai.g_01579	Prau.g_01642, Prau.g_01285
OG0000031	Prai.g_01263	Prau.g_01275, Prau.g_01681
OG0000033	Prai.g_00013, Prai.g_01573	Prau.g_00013
OG0000034	Prai.g_00154	Prau.g_01489
OG0000035	Prai.g_01097	Prau.g_01126
OG0000036	Prai.g_00613	Prau.g_00624
OG0000037	Prai.g_00652	Prau.g_00663
OG0000038	Prai.g_00885	Prau.g_00814
OG0000039	Prai.g_00177	Prau.g_00167
OG0000040	Prai.g_00373	Prau.g_00362
OG0000041	Prai.g_00448	Prau.g_00458
OG0000042	Prai.g_00748	Prau.g_00755
OG0000043	Prai.g_00862	Prau.g_00839
OG0000045	Prai.g_01859	Prau.g_01432, Prau.g_01460
OG0000046	Prai.g_01631	Prau.g_01725
OG0000047	Prai.g_01838	Prau.g_01925, Prau.g_00037
OG0000048	Prai.g_01845	Prau.g_01932
OG0000050	Prai.g_00031	Prau.g_00030
OG0000051	Prai.g_00168	Prau.g_00158
OG0000052	Prai.g_00383	Prau.g_00373
OG0000053	Prai.g_00567	Prau.g_00579
OG0000054	Prai.g_00909	Prau.g_00808
OG0000055	Prai.g_00825	Prau.g_00876
OG0000056	Prai.g_01132	Prau.g_01162, Prau.g_00749
OG0000057	Prai.g_00248	Prau.g_00238, Prau.g_00784
OG0000058	Prai.g_00505	Prau.g_00516
OG0000059	Prai.g_00727	Prau.g_00738
OG0000060	Prai.g_00431	Prau.g_00790
OG0000060	Prai.g_01258	Prau.g_01703
OG0000061	Prai.g_00969	Prau.g_01035
OG0000062	Prai.g_01143	Prau.g_01174
OG0000063	Prai.g_01273	Prau.g_01318
OG0000064	Prai.g_01594	Prau.g_01677
OG0000065	Prai.g_01335	Prau.g_01371
OG0000066	Prai.g_01443	Prau.g_01430
OG0000068	Prai.g_01782	Prau.g_01869
OG0000071	Prai.g_00011	Prau.g_00011
OG0000073	Prai.g_00698	Prau.g_00709
OG0000074	Prai.g_00720	Prau.g_00731
OG0000075	Prai.g_00840, Prai.g_00841	Prau.g_00861
OG0000076	Prai.g_00918	Prau.g_01089
OG0000077	Prai.g_01613	Prau.g_01666
OG0000078	Prai.g_01393	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prai.g_01540	Prau.g_01609
OG0000080	Prai.g_01270	Prau.g_01658
OG0000081	Prai.g_01812	Prau.g_01899
OG0000082	Prai.g_01901	Prau.g_01987
OG0000083	Prai.g_00003	Prau.g_00003
OG0000084	Prai.g_00006	Prau.g_00006
OG0000085	Prai.g_00023	Prau.g_00023
OG0000086	Prai.g_00046	Prau.g_00429, Prau.g_00422
OG0000087	Prai.g_00056	Prau.g_00057
OG0000088	Prai.g_00113	Prau.g_00114
OG0000089	Prai.g_00121	Prau.g_00122
OG0000090	Prai.g_00139	Prau.g_00140
OG0000091	Prai.g_00180	Prau.g_00170
OG0000092	Prai.g_00181	Prau.g_00171
OG0000093	Prai.g_00195	Prau.g_00185
OG0000094	Prai.g_00213	Prau.g_00203
OG0000095	Prai.g_00218	Prau.g_00208
OG0000096	Prai.g_00264	Prau.g_00253
OG0000097	Prai.g_00286, Prai.g_00287	Prau.g_00276
OG0000098	Prai.g_00297	Prau.g_00286
OG0000099	Prai.g_00307, Prai.g_00741	Prau.g_00296
OG0000100	Prai.g_00310	Prau.g_00299
OG0000101	Prai.g_00369	Prau.g_00359
OG0000102	Prai.g_00393	Prau.g_00386
OG0000103	Prai.g_00506	Prau.g_00517
OG0000104	Prai.g_00510	Prau.g_00521
OG0000105	Prai.g_00529	Prau.g_00540
OG0000106	Prai.g_00560	Prau.g_00572
OG0000107	Prai.g_00561	Prau.g_00573
OG0000108	Prai.g_00571	Prau.g_00583
OG0000109	Prai.g_00580	Prau.g_00592
OG0000110	Prai.g_00597	Prau.g_00608
OG0000111	Prai.g_00680	Prau.g_00691
OG0000112	Prai.g_00681	Prau.g_00692
OG0000113	Prai.g_00770	Prau.g_00777
OG0000114	Prai.g_00850	Prau.g_00852
OG0000115	Prai.g_00989	Prau.g_01015
OG0000116	Prai.g_00985	Prau.g_01019
OG0000117	Prai.g_00921	Prau.g_01086
OG0000118	Prai.g_01107	Prau.g_01136
OG0000119	Prai.g_01146	Prau.g_01177
OG0000120	Prai.g_01177	Prau.g_01212
OG0000121	Prai.g_01197	Prau.g_01231
OG0000122	Prai.g_01217	Prau.g_01250
OG0000123	Prai.g_01230	Prau.g_01263
OG0000124	Prai.g_01238	Prau.g_01271
OG0000125	Prai.g_01347	Prau.g_01383
OG0000126	Prai.g_01370	Prau.g_01409
OG0000127	Prai.g_01450	Prau.g_01515
OG0000128	Prai.g_01464	Prau.g_01532
OG0000129	Prai.g_01499	Prau.g_01568
OG0000130	Prai.g_01636	Prau.g_01730
OG0000131	Prai.g_01674	Prau.g_01768
OG0000132	Prai.g_01677	Prau.g_01771
OG0000133	Prai.g_01735	Prau.g_01828
OG0000134	Prai.g_01777	Prau.g_01864
OG0000135	Prai.g_01779	Prau.g_01866
OG0000136	Prai.g_01823	Prau.g_01910
OG0000137	Prai.g_01855	Prau.g_01942
OG0000138	Prai.g_01892	Prau.g_01978
OG0000139	Prai.g_01918	Prau.g_02004
OG0000140	Prai.g_00001	Prau.g_00001
OG0000141	Prai.g_00002	Prau.g_00002
OG0000142	Prai.g_00004	Prau.g_00004
OG0000143	Prai.g_00005	Prau.g_00005
OG0000144	Prai.g_00007	Prau.g_00007
OG0000145	Prai.g_00008	Prau.g_00008
OG0000146	Prai.g_00009	Prau.g_00009
OG0000147	Prai.g_00010	Prau.g_00010
OG0000148	Prai.g_00012	Prau.g_00012
OG0000149	Prai.g_00014	Prau.g_00014
OG0000150	Prai.g_00015	Prau.g_00015
OG0000151	Prai.g_00016	Prau.g_00016
OG0000152	Prai.g_00017	Prau.g_00017
OG0000153	Prai.g_00018	Prau.g_00018
OG0000154	Prai.g_00019	Prau.g_00019
OG0000155	Prai.g_00020	Prau.g_00020
OG0000156	Prai.g_00021	Prau.g_00021
OG0000157	Prai.g_00022	Prau.g_00022
OG0000158	Prai.g_00024	Prau.g_00024
OG0000159	Prai.g_00025	Prau.g_00025
