Orthogroup	Prai	Prat
OG0000000	Prai.g_01363	Prat.g_00977
OG0000000	Prai.g_00707	Prat.g_00751, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462
OG0000002	Prai.g_01235, Prai.g_01356	Prat.g_01285, Prat.g_01286
OG0000002	Prai.g_01236	Prat.g_00851
OG0000004	Prai.g_00441, Prai.g_01313	Prat.g_00824
OG0000006	Prai.g_00527	Prat.g_00458
OG0000006	Prai.g_01638	Prat.g_01592
OG0000007	Prai.g_00701	Prat.g_00376, Prat.g_00377
OG0000009	Prai.g_00867	Prat.g_01180
OG0000009	Prai.g_00262	Prat.g_00255
OG0000010	Prai.g_01588	Prat.g_00634
OG0000011	Prai.g_00424	Prat.g_00374
OG0000012	Prai.g_00626	Prat.g_00567
OG0000013	Prai.g_01243	Prat.g_00701
OG0000014	Prai.g_00904	Prat.g_01474, Prat.g_01548
OG0000015	Prai.g_01259	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Prai.g_01366	Prat.g_00647, Prat.g_01452
OG0000017	Prai.g_01483	Prat.g_01375
OG0000018	Prai.g_00252, Prai.g_00254	Prat.g_00248
OG0000019	Prai.g_00378	Prat.g_00461
OG0000020	Prai.g_00387	Prat.g_00278
OG0000022	Prai.g_00905, Prai.g_01772	Prat.g_01191
OG0000023	Prai.g_01578	Prat.g_01451
OG0000024	Prai.g_00319	Prat.g_00314, Prat.g_01267
OG0000025	Prai.g_01093	Prat.g_00685
OG0000026	Prai.g_01261	Prat.g_01516
OG0000028	Prai.g_01463	Prat.g_01353, Prat.g_01352
OG0000029	Prai.g_01579	Prat.g_01400
OG0000033	Prai.g_00013	Prat.g_00014
OG0000033	Prai.g_01573	Prat.g_01219
OG0000035	Prai.g_01059	Prat.g_00657
OG0000036	Prai.g_00613	Prat.g_01507
OG0000037	Prai.g_00652	Prat.g_00586
OG0000038	Prai.g_00885	Prat.g_01192, Prat.g_01448
OG0000039	Prai.g_00177	Prat.g_00166
OG0000040	Prai.g_00373	Prat.g_00834
OG0000042	Prai.g_00748	Prat.g_00788
OG0000043	Prai.g_00862	Prat.g_00856
OG0000044	Prai.g_01171	Prat.g_01156
OG0000045	Prai.g_01859	Prat.g_01311
OG0000046	Prai.g_01631	Prat.g_01584
OG0000047	Prai.g_01838	Prat.g_01788
OG0000048	Prai.g_01845	Prat.g_01796
OG0000050	Prai.g_00031	Prat.g_00033
OG0000051	Prai.g_00168, Prai.g_01288	Prat.g_00157
OG0000052	Prai.g_00383	Prat.g_00637
OG0000053	Prai.g_00567	Prat.g_01499
OG0000054	Prai.g_00909	Prat.g_01503
OG0000055	Prai.g_00825	Prat.g_01014
OG0000056	Prai.g_01132	Prat.g_01463, Prat.g_00666
OG0000057	Prai.g_00248	Prat.g_00242
OG0000058	Prai.g_00505	Prat.g_00434
OG0000059	Prai.g_00727	Prat.g_00775
OG0000062	Prai.g_01143	Prat.g_01561, Prat.g_01495
OG0000063	Prai.g_01273	Prat.g_01129
OG0000065	Prai.g_01335	Prat.g_01249
OG0000066	Prai.g_01443	Prat.g_00344
OG0000068	Prai.g_01782	Prat.g_01726
OG0000071	Prai.g_00011	Prat.g_00012, Prat.g_00011
OG0000072	Prai.g_00335	Prat.g_00329
OG0000073	Prai.g_00698	Prat.g_01054
OG0000074	Prai.g_00720	Prat.g_00765
OG0000075	Prai.g_00840, Prai.g_00841	Prat.g_01030
OG0000076	Prai.g_00918	Prat.g_00965
OG0000078	Prai.g_01393	Prat.g_01312
OG0000079	Prai.g_01540	Prat.g_01442
OG0000080	Prai.g_01270	Prat.g_01539
OG0000081	Prai.g_01812	Prat.g_01759
OG0000083	Prai.g_00003	Prat.g_00003
OG0000084	Prai.g_00006	Prat.g_00006
OG0000085	Prai.g_00023	Prat.g_01314, Prat.g_00024
OG0000086	Prai.g_00046	Prat.g_00614
OG0000087	Prai.g_00056	Prat.g_00054
OG0000088	Prai.g_00113	Prat.g_00112
OG0000089	Prai.g_00121	Prat.g_00121
OG0000090	Prai.g_00139	Prat.g_00138
OG0000091	Prai.g_00180	Prat.g_00170
OG0000092	Prai.g_00181	Prat.g_00171
OG0000093	Prai.g_00195	Prat.g_00185
OG0000094	Prai.g_00213	Prat.g_00204
OG0000095	Prai.g_00218	Prat.g_00209
OG0000096	Prai.g_00264	Prat.g_00257
OG0000097	Prai.g_00286, Prai.g_00287	Prat.g_00281
OG0000098	Prai.g_00297, Prai.g_00430	Prat.g_00292
OG0000099	Prai.g_00307, Prai.g_00741	Prat.g_00302
OG0000100	Prai.g_00310	Prat.g_00305
OG0000101	Prai.g_00369	Prat.g_00372
OG0000102	Prai.g_00393	Prat.g_01477
OG0000103	Prai.g_00506	Prat.g_00435
OG0000104	Prai.g_00510	Prat.g_00440
OG0000105	Prai.g_00529	Prat.g_00462
OG0000106	Prai.g_00560	Prat.g_00494
OG0000107	Prai.g_00561	Prat.g_00495
OG0000108	Prai.g_00571	Prat.g_00504
OG0000109	Prai.g_00580	Prat.g_00514, Prat.g_00513
OG0000110	Prai.g_00597	Prat.g_00532
OG0000111	Prai.g_00680	Prat.g_01073
OG0000112	Prai.g_00681	Prat.g_01072
OG0000113	Prai.g_00770	Prat.g_00815
OG0000114	Prai.g_00850	Prat.g_01039
OG0000115	Prai.g_00989	Prat.g_00896
OG0000116	Prai.g_00985	Prat.g_00900
OG0000117	Prai.g_00921	Prat.g_00962
OG0000118	Prai.g_01107	Prat.g_01208
OG0000119	Prai.g_01146	Prat.g_01557
OG0000120	Prai.g_01177	Prat.g_01150
OG0000121	Prai.g_01197	Prat.g_01127
OG0000122	Prai.g_01217	Prat.g_01107
OG0000123	Prai.g_01230	Prat.g_00595
OG0000124	Prai.g_01238	Prat.g_01509
OG0000125	Prai.g_01347	Prat.g_01261
OG0000126	Prai.g_01370	Prat.g_01291
OG0000127	Prai.g_01450	Prat.g_01338
OG0000128	Prai.g_01464	Prat.g_01354
OG0000129	Prai.g_01499	Prat.g_01392
OG0000130	Prai.g_01636	Prat.g_01589
OG0000131	Prai.g_01674	Prat.g_01377, Prat.g_01628
OG0000132	Prai.g_01677	Prat.g_01631
OG0000133	Prai.g_01735	Prat.g_01685
OG0000134	Prai.g_01777	Prat.g_01720
OG0000135	Prai.g_01779	Prat.g_01722
OG0000136	Prai.g_01823	Prat.g_01771
OG0000137	Prai.g_01855	Prat.g_01806
OG0000138	Prai.g_01892	Prat.g_01841
OG0000139	Prai.g_01918	Prat.g_01873
OG0000140	Prai.g_00001	Prat.g_00001
OG0000141	Prai.g_00002	Prat.g_00002
OG0000142	Prai.g_00004	Prat.g_00004
OG0000143	Prai.g_00005	Prat.g_00005
OG0000144	Prai.g_00007	Prat.g_00007
OG0000145	Prai.g_00008	Prat.g_00008
OG0000146	Prai.g_00009	Prat.g_00009
OG0000147	Prai.g_00010	Prat.g_00010
OG0000148	Prai.g_00012	Prat.g_00013
OG0000149	Prai.g_00014	Prat.g_00015
OG0000150	Prai.g_00015	Prat.g_00016
OG0000151	Prai.g_00016	Prat.g_00017
OG0000152	Prai.g_00017	Prat.g_00018
OG0000153	Prai.g_00018	Prat.g_00019
OG0000154	Prai.g_00019	Prat.g_00020
OG0000155	Prai.g_00020	Prat.g_00021
OG0000156	Prai.g_00021	Prat.g_00022
OG0000157	Prai.g_00022	Prat.g_00023
OG0000158	Prai.g_00024	Prat.g_00025
OG0000159	Prai.g_00025	Prat.g_00026
OG0000160	Prai.g_00026	Prat.g_00027
OG0000161	Prai.g_00027	Prat.g_00028
OG0000162	Prai.g_00028	Prat.g_00029
OG0000163	Prai.g_00029	Prat.g_00031
OG0000164	Prai.g_00032	Prat.g_00034
OG0000165	Prai.g_00035	Prat.g_00036
OG0000166	Prai.g_00036	Prat.g_00037
OG0000167	Prai.g_00037	Prat.g_00038
OG0000168	Prai.g_00047	Prat.g_00042
OG0000169	Prai.g_00049	Prat.g_00044
OG0000170	Prai.g_00050	Prat.g_00046
OG0000171	Prai.g_00051	Prat.g_00047
OG0000172	Prai.g_00052	Prat.g_00048
OG0000173	Prai.g_00053	Prat.g_00051
OG0000174	Prai.g_00054	Prat.g_00052
OG0000175	Prai.g_00055	Prat.g_00053
OG0000176	Prai.g_00057	Prat.g_00055
