Orthogroup	Syam	Prbn
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbn.g_01213
OG0000002	Syam.g_00931	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Syam.g_00787	Prbn.g_01565
OG0000004	Syam.g_01499, Syam.g_00501	Prbn.g_00318
OG0000005	Syam.g_01970	Prbn.g_00899
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbn.g_00308
OG0000007	Syam.g_00602	Prbn.g_00617
OG0000007	Syam.g_01990	Prbn.g_01745
OG0000008	Syam.g_00810	Prbn.g_01645
OG0000008	Syam.g_00811	Prbn.g_01646
OG0000010	Syam.g_01669	Prbn.g_01939, Prbn.g_01357
OG0000012	Syam.g_01492	Prbn.g_00492
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbn.g_00092
OG0000014	Syam.g_00191	Prbn.g_00074
OG0000015	Syam.g_01218, Syam.g_01362	Prbn.g_01684, Prbn.g_01730
OG0000016	Syam.g_00876, Syam.g_01011	Prbn.g_01131
OG0000017	Syam.g_01715	Prbn.g_00517
OG0000017	Syam.g_01708	Prbn.g_00510
OG0000018	Syam.g_01640	Prbn.g_01167
OG0000019	Syam.g_00274	Prbn.g_00015, Prbn.g_01165
OG0000021	Syam.g_00523	Prbn.g_00874, Prbn.g_01560
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbn.g_01030
OG0000024	Syam.g_00815	Prbn.g_01353, Prbn.g_01589
OG0000025	Syam.g_00740	Prbn.g_01510
OG0000026	Syam.g_00035	Prbn.g_00750
OG0000027	Syam.g_01442, Syam.g_00989	Prbn.g_00139, Prbn.g_01664
OG0000028	Syam.g_00176	Prbn.g_01644
OG0000029	Syam.g_01390, Syam.g_01055	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836
OG0000030	Syam.g_00104, Syam.g_00103	Prbn.g_00985
OG0000031	Syam.g_00171, Syam.g_00086	Prbn.g_00171
OG0000032	Syam.g_01660	Prbn.g_00251
OG0000033	Syam.g_02217	Prbn.g_00178
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbn.g_01073
OG0000035	Syam.g_01612	Prbn.g_00212
OG0000037	Syam.g_02125	Prbn.g_01310
OG0000038	Syam.g_02317	Prbn.g_00946
OG0000039	Syam.g_00749	Prbn.g_01577
OG0000041	Syam.g_01899, Syam.g_00765	Prbn.g_01793
OG0000042	Syam.g_00107	Prbn.g_00988
OG0000043	Syam.g_01041	Prbn.g_01168
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbn.g_00093
OG0000047	Syam.g_00434	Prbn.g_00690
OG0000048	Syam.g_00243	Prbn.g_01097
OG0000052	Syam.g_00161	Prbn.g_00190, Prbn.g_00724
OG0000053	Syam.g_01636	Prbn.g_00233, Prbn.g_01690
OG0000054	Syam.g_01515	Prbn.g_00508
OG0000057	Syam.g_00784	Prbn.g_01562
OG0000058	Syam.g_00169	Prbn.g_00172
OG0000059	Syam.g_00320	Prbn.g_01833
OG0000061	Syam.g_01795	Prbn.g_01189
OG0000062	Syam.g_01972	Prbn.g_00897
OG0000063	Syam.g_00039	Prbn.g_00130
OG0000064	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978	Prbn.g_00710
