Orthogroup	Syam	Pras
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Pras.g_00235
OG0000002	Syam.g_00931	Pras.g_00243, Pras.g_01554
OG0000004	Syam.g_00787	Pras.g_01571
OG0000004	Syam.g_01499, Syam.g_00501	Pras.g_01084
OG0000005	Syam.g_02004	Pras.g_00563
OG0000005	Syam.g_01970	Pras.g_00429
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Pras.g_00148, Pras.g_01093
OG0000007	Syam.g_00602	Pras.g_01375
OG0000007	Syam.g_01990	Pras.g_00550
OG0000009	Syam.g_02119	Pras.g_00956
OG0000010	Syam.g_01669	Pras.g_00523, Pras.g_01942
OG0000011	Syam.g_00814	Pras.g_00142, Pras.g_00166
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Pras.g_01499
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Pras.g_01179
OG0000014	Syam.g_00191	Pras.g_01158
OG0000015	Syam.g_01218, Syam.g_01362	Pras.g_00127
OG0000016	Syam.g_00014	Pras.g_00855
OG0000017	Syam.g_01715, Syam.g_01708	Pras.g_01474
OG0000018	Syam.g_01640	Pras.g_00037
OG0000019	Syam.g_00274	Pras.g_01101, Pras.g_01681
OG0000021	Syam.g_00523	Pras.g_00507, Pras.g_01218
OG0000022	Syam.g_01418	Pras.g_00019
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Pras.g_01213
OG0000024	Syam.g_00815	Pras.g_01645, Pras.g_01551
OG0000025	Syam.g_00740	Pras.g_01183, Pras.g_01735
OG0000026	Syam.g_00035	Pras.g_00873, Pras.g_01949
OG0000027	Syam.g_01442, Syam.g_00989	Pras.g_01348, Pras.g_00185
OG0000028	Syam.g_00176	Pras.g_00169, Pras.g_01172
OG0000029	Syam.g_01390, Syam.g_01055	Pras.g_01653, Pras.g_01228
OG0000030	Syam.g_00104, Syam.g_00103	Pras.g_00753
OG0000031	Syam.g_00086	Pras.g_00331
OG0000032	Syam.g_00079	Pras.g_00326
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Pras.g_00219
OG0000035	Syam.g_01612	Pras.g_00350
OG0000037	Syam.g_02125	Pras.g_00960
OG0000038	Syam.g_02317	Pras.g_00795
OG0000039	Syam.g_00749	Pras.g_01562
OG0000040	Syam.g_02390	Pras.g_00036
OG0000041	Syam.g_01899, Syam.g_00765	Pras.g_00597
OG0000042	Syam.g_00107	Pras.g_00750
OG0000045	Syam.g_02028	Pras.g_01224
OG0000047	Syam.g_00434	Pras.g_01182, Pras.g_01263
OG0000048	Syam.g_00243	Pras.g_01227
OG0000052	Syam.g_00161	Pras.g_00285
OG0000053	Syam.g_01636	Pras.g_00886, Pras.g_00370
OG0000054	Syam.g_01515	Pras.g_01482
OG0000055	Syam.g_00754	Pras.g_01682
OG0000057	Syam.g_00784	Pras.g_01574
OG0000059	Syam.g_00320	Pras.g_00637
OG0000061	Syam.g_01795	Pras.g_00056
OG0000062	Syam.g_01972	Pras.g_00431
OG0000063	Syam.g_00039	Pras.g_00875
OG0000065	Syam.g_02121	Pras.g_00958
OG0000066	Syam.g_00552, Syam.g_00662	Pras.g_01416
OG0000067	Syam.g_01290	Pras.g_01701, Pras.g_00311
OG0000068	Syam.g_00575	Pras.g_00250
OG0000069	Syam.g_01521	Pras.g_00538, Pras.g_00464
OG0000070	Syam.g_01847	Pras.g_01328
OG0000071	Syam.g_01830	Pras.g_00209
OG0000072	Syam.g_02219	Pras.g_01022
OG0000073	Syam.g_00604	Pras.g_01377
OG0000074	Syam.g_00533	Pras.g_01558
OG0000075	Syam.g_00148	Pras.g_00719
OG0000076	Syam.g_00115	Pras.g_00883, Pras.g_00743
OG0000077	Syam.g_02074	Pras.g_00929
OG0000078	Syam.g_00514	Pras.g_01091
OG0000079	Syam.g_00270	Pras.g_01104
OG0000081	Syam.g_00520, Syam.g_01918	Pras.g_01408
OG0000082	Syam.g_01730	Pras.g_01462
OG0000084	Syam.g_00441	Pras.g_00346
OG0000085	Syam.g_01979	Pras.g_00543
OG0000086	Syam.g_02092	Pras.g_00939
OG0000087	Syam.g_02175	Pras.g_00990
OG0000088	Syam.g_02213	Pras.g_01017
OG0000089	Syam.g_00489	Pras.g_01209
OG0000090	Syam.g_00651	Pras.g_01410
OG0000091	Syam.g_01460	Pras.g_01518
OG0000093	Syam.g_01305	Pras.g_01827
OG0000094	Syam.g_01198	Pras.g_01915
OG0000095	Syam.g_00774	Pras.g_01934
OG0000097	Syam.g_00874	Pras.g_00098
OG0000098	Syam.g_00944	Pras.g_00232
OG0000099	Syam.g_00173	Pras.g_00294
OG0000100	Syam.g_01259	Pras.g_00427
OG0000101	Syam.g_00371	Pras.g_00687
OG0000102	Syam.g_00110	Pras.g_00748
OG0000103	Syam.g_02428	Pras.g_00829
OG0000104	Syam.g_02442	Pras.g_00838
OG0000105	Syam.g_00238	Pras.g_01126
OG0000106	Syam.g_01039	Pras.g_01223
OG0000107	Syam.g_00288	Pras.g_01239
OG0000108	Syam.g_00583	Pras.g_01358
OG0000109	Syam.g_00598	Pras.g_01372
OG0000110	Syam.g_01743	Pras.g_01451
OG0000111	Syam.g_00783	Pras.g_01575
OG0000112	Syam.g_01115	Pras.g_01665
OG0000113	Syam.g_01264	Pras.g_01723
OG0000114	Syam.g_01349	Pras.g_01801
OG0000115	Syam.g_01634	Pras.g_01994
OG0000116	Syam.g_01807	Pras.g_00046
OG0000117	Syam.g_00904	Pras.g_00150
OG0000118	Syam.g_01698	Pras.g_00221, Pras.g_00222
