Orthogroup	Syam	Prav
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prav.g_01458
OG0000002	Syam.g_00931	Prav.g_01466, Prav.g_01276
OG0000004	Syam.g_00787	Prav.g_01293
OG0000004	Syam.g_01499, Syam.g_00501	Prav.g_00806
OG0000005	Syam.g_02004	Prav.g_01774
OG0000005	Syam.g_01970	Prav.g_01654
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prav.g_02001
OG0000007	Syam.g_00602	Prav.g_01095
OG0000007	Syam.g_01990	Prav.g_01761
OG0000008	Syam.g_00810	Prav.g_01749
OG0000008	Syam.g_00811	Prav.g_01750
OG0000009	Syam.g_02119	Prav.g_00170
OG0000010	Syam.g_01669	Prav.g_00218
OG0000011	Syam.g_00814	Prav.g_01334
OG0000012	Syam.g_01492, Syam.g_00794, Syam.g_00994	Prav.g_01221
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prav.g_01973
OG0000014	Syam.g_00191	Prav.g_01952
OG0000015	Syam.g_01218, Syam.g_01362	Prav.g_00363, Prav.g_00961
OG0000016	Syam.g_00014	Prav.g_00081
OG0000016	Syam.g_01011	Prav.g_01385
OG0000017	Syam.g_01715, Syam.g_01708	Prav.g_01194
OG0000018	Syam.g_01640	Prav.g_00046
OG0000019	Syam.g_00274	Prav.g_01896, Prav.g_00375
OG0000021	Syam.g_00523	Prav.g_00984
OG0000022	Syam.g_01418	Prav.g_00029
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prav.g_00979
OG0000024	Syam.g_00815	Prav.g_00343, Prav.g_01273
OG0000025	Syam.g_00740	Prav.g_01977, Prav.g_00431
OG0000026	Syam.g_00035	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syam.g_01442, Syam.g_00989	Prav.g_01068, Prav.g_01416
OG0000028	Syam.g_00176	Prav.g_01885, Prav.g_01966
OG0000029	Syam.g_01390, Syam.g_01055	Prav.g_00350
OG0000030	Syam.g_00104, Syam.g_00103	Prav.g_00699
OG0000032	Syam.g_00079	Prav.g_01499
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prav.g_01448
OG0000035	Syam.g_01612	Prav.g_01578
OG0000037	Syam.g_02125	Prav.g_00174
OG0000038	Syam.g_02317	Prav.g_00739
OG0000039	Syam.g_00749	Prav.g_01284
OG0000040	Syam.g_02390	Prav.g_00045
OG0000041	Syam.g_01899, Syam.g_00765	Prav.g_01808
OG0000042	Syam.g_00107	Prav.g_00696
OG0000045	Syam.g_02028	Prav.g_00990
OG0000047	Syam.g_00434	Prav.g_01976
OG0000048	Syam.g_00243	Prav.g_00993
OG0000052	Syam.g_00161	Prav.g_01533
OG0000053	Syam.g_01636	Prav.g_01598
OG0000054	Syam.g_01515	Prav.g_01202
OG0000055	Syam.g_00754	Prav.g_00376
OG0000057	Syam.g_00784	Prav.g_01296
OG0000059	Syam.g_00320	Prav.g_00292
OG0000060	Syam.g_00902	Prav.g_00964
OG0000061	Syam.g_01795	Prav.g_00065
OG0000062	Syam.g_01972	Prav.g_01656
OG0000063	Syam.g_00039	Prav.g_00101
OG0000065	Syam.g_02121	Prav.g_00172
OG0000066	Syam.g_00552, Syam.g_00662	Prav.g_01137
OG0000067	Syam.g_01290	Prav.g_00397
OG0000068	Syam.g_00575	Prav.g_01473
OG0000069	Syam.g_01521	Prav.g_01881, Prav.g_01689
OG0000070	Syam.g_01847	Prav.g_01049
OG0000071	Syam.g_01830	Prav.g_01438
OG0000072	Syam.g_02219	Prav.g_00867
OG0000073	Syam.g_00604	Prav.g_01097
OG0000074	Syam.g_00533	Prav.g_01280
OG0000075	Syam.g_00148	Prav.g_00665
OG0000076	Syam.g_00115	Prav.g_00689
OG0000077	Syam.g_02074	Prav.g_00143
OG0000078	Syam.g_00514	Prav.g_00799
OG0000079	Syam.g_00270	Prav.g_01899
OG0000081	Syam.g_00520, Syam.g_01918	Prav.g_01129
OG0000082	Syam.g_01730	Prav.g_01182
OG0000084	Syam.g_00441	Prav.g_01574
OG0000085	Syam.g_01979	Prav.g_01754
OG0000086	Syam.g_02092	Prav.g_00153
OG0000087	Syam.g_02175	Prav.g_00204
OG0000088	Syam.g_02213	Prav.g_00872
OG0000089	Syam.g_00489	Prav.g_00975
OG0000090	Syam.g_00651	Prav.g_01131
OG0000091	Syam.g_01460	Prav.g_01240
OG0000093	Syam.g_01305	Prav.g_00525
OG0000094	Syam.g_01198	Prav.g_00914
OG0000095	Syam.g_00774	Prav.g_00933
OG0000097	Syam.g_00874	Prav.g_01840
OG0000098	Syam.g_00944	Prav.g_01455
OG0000099	Syam.g_00173	Prav.g_01514
OG0000100	Syam.g_01259	Prav.g_01652
OG0000101	Syam.g_00371	Prav.g_00632
OG0000102	Syam.g_00110	Prav.g_00694
OG0000103	Syam.g_02428	Prav.g_00773
OG0000104	Syam.g_02442	Prav.g_00782
OG0000105	Syam.g_00238	Prav.g_01920
OG0000106	Syam.g_01039	Prav.g_00989
OG0000107	Syam.g_00288	Prav.g_01001
OG0000108	Syam.g_00583	Prav.g_01078
