Orthogroup	Syam	Prbg
OG0000001	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929	Prbg.g_00502
OG0000002	Syam.g_00931	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Syam.g_00787	Prbg.g_01140
OG0000004	Syam.g_01499, Syam.g_00501	Prbg.g_01014
OG0000005	Syam.g_01970	Prbg.g_00674
OG0000006	Syam.g_01446, Syam.g_00286, Syam.g_00518	Prbg.g_01024
OG0000007	Syam.g_00602	Prbg.g_00216
OG0000007	Syam.g_01990	Prbg.g_01650
OG0000008	Syam.g_00810	Prbg.g_00744
OG0000008	Syam.g_00811	Prbg.g_00745
OG0000010	Syam.g_01669	Prbg.g_01053, Prbg.g_01348
OG0000012	Syam.g_01492	Prbg.g_00342
OG0000013	Syam.g_00409, Syam.g_00421, Syam.g_00404	Prbg.g_00104
OG0000014	Syam.g_00191	Prbg.g_00086
OG0000015	Syam.g_01218, Syam.g_01362	Prbg.g_01589, Prbg.g_01635
OG0000016	Syam.g_00876, Syam.g_01011	Prbg.g_01544
OG0000017	Syam.g_01715	Prbg.g_00317
OG0000017	Syam.g_01708	Prbg.g_00324
OG0000018	Syam.g_01640	Prbg.g_01508
OG0000019	Syam.g_00274	Prbg.g_01032, Prbg.g_01510
OG0000021	Syam.g_00523	Prbg.g_00699, Prbg.g_01145
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943	Prbg.g_00013
OG0000024	Syam.g_00815	Prbg.g_01352, Prbg.g_01116
OG0000025	Syam.g_00740	Prbg.g_01195
OG0000026	Syam.g_00035	Prbg.g_00842
OG0000027	Syam.g_01442, Syam.g_00989	Prbg.g_00721, Prbg.g_01569
OG0000028	Syam.g_00176	Prbg.g_00743
OG0000029	Syam.g_01390, Syam.g_01055	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syam.g_00104, Syam.g_00103	Prbg.g_01858
OG0000031	Syam.g_00171, Syam.g_00086	Prbg.g_00550
OG0000032	Syam.g_01660	Prbg.g_00630
OG0000033	Syam.g_02217	Prbg.g_00557
OG0000034	Syam.g_02185, Syam.g_01843, Syam.g_02187	Prbg.g_00488
OG0000035	Syam.g_01612	Prbg.g_00591
OG0000037	Syam.g_02125	Prbg.g_00881
OG0000038	Syam.g_02317	Prbg.g_01898
OG0000039	Syam.g_00749	Prbg.g_01128
OG0000041	Syam.g_01899, Syam.g_00765	Prbg.g_01697
OG0000042	Syam.g_00107	Prbg.g_01855
OG0000043	Syam.g_01041	Prbg.g_01507
OG0000046	Syam.g_00410, Syam.g_00420, Syam.g_00403	Prbg.g_00105
OG0000047	Syam.g_00434	Prbg.g_00143
OG0000048	Syam.g_00243	Prbg.g_00464
OG0000052	Syam.g_00161	Prbg.g_00569, Prbg.g_00816
OG0000053	Syam.g_01636	Prbg.g_00612, Prbg.g_01595
OG0000054	Syam.g_01515	Prbg.g_00326
OG0000057	Syam.g_00784	Prbg.g_01143
OG0000058	Syam.g_00169	Prbg.g_00551
OG0000059	Syam.g_00320	Prbg.g_01737
OG0000061	Syam.g_01795	Prbg.g_01486
OG0000062	Syam.g_01972	Prbg.g_00676
OG0000063	Syam.g_00039	Prbg.g_00730
OG0000064	Syam.g_01964, Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978	Prbg.g_00802
OG0000065	Syam.g_02121	Prbg.g_00879
OG0000066	Syam.g_00552, Syam.g_00662	Prbg.g_00256
OG0000067	Syam.g_01290	Prbg.g_01159
OG0000068	Syam.g_00575	Prbg.g_00529
OG0000069	Syam.g_01521	Prbg.g_00174
OG0000070	Syam.g_01847	Prbg.g_00170
OG0000071	Syam.g_01830	Prbg.g_00477
OG0000072	Syam.g_02219	Prbg.g_00949
OG0000073	Syam.g_00604	Prbg.g_00219
OG0000074	Syam.g_00533	Prbg.g_00021
OG0000075	Syam.g_00148	Prbg.g_01821
OG0000076	Syam.g_00115	Prbg.g_01847
OG0000077	Syam.g_02074	Prbg.g_00791
OG0000078	Syam.g_00514	Prbg.g_01022
OG0000079	Syam.g_00270	Prbg.g_01035
OG0000081	Syam.g_00520, Syam.g_01918	Prbg.g_00248
OG0000082	Syam.g_01730	Prbg.g_00304, Prbg.g_01639
OG0000084	Syam.g_00441	Prbg.g_00588
OG0000085	Syam.g_01979	Prbg.g_00716, Prbg.g_01642
OG0000086	Syam.g_02092	Prbg.g_00782
OG0000087	Syam.g_02175	Prbg.g_00913
OG0000088	Syam.g_02213	Prbg.g_00944
OG0000089	Syam.g_00489	Prbg.g_00137
OG0000090	Syam.g_00651	Prbg.g_00250
OG0000091	Syam.g_01460	Prbg.g_01414
OG0000093	Syam.g_01305	Prbg.g_01385
OG0000094	Syam.g_01198	Prbg.g_01336
OG0000095	Syam.g_00774	Prbg.g_01234
OG0000097	Syam.g_00874	Prbg.g_01440
OG0000098	Syam.g_00944	Prbg.g_00505
OG0000099	Syam.g_00173	Prbg.g_00552
OG0000100	Syam.g_01259	Prbg.g_00670
OG0000101	Syam.g_00371	Prbg.g_01785
OG0000102	Syam.g_00110	Prbg.g_01852
OG0000103	Syam.g_02428	Prbg.g_01937
OG0000104	Syam.g_02442	Prbg.g_00763
